,J1,J2,J3,J4,J5
308,-0.0001250440086936247,-0.00012505114286023468,-0.00012507590000964186,-0.00012546980771450944,-0.00012507731435199677
309,-0.00012490857746181222,-0.00012491620099212757,-0.00012493974611142432,-0.00012533894610496421,-0.00012494113314154843
310,-0.0001247732188169287,-0.00012478128265192427,-0.00012480376154168138,-0.00012520761203598408,-0.0001248051249038462
311,-0.00012463792806994542,-0.00012464638664278716,-0.00012466792768576817,-0.000125075864953334,-0.00012466927049514687
312,-0.0001231009385036602,-0.00012312922087464207,-0.00012324595398574111,-0.00012494341813942266,-0.0001232523539773478
313,-0.00012279944314219692,-0.00012282895267635318,-0.00012294251340379646,-0.0001246538594988844,-0.0001229488399837031
314,-0.0001224980303398948,-0.00012252871023129386,-0.00012263929077079404,-0.00012436366782461072,-0.00012264554901495028
315,-0.0001221966989508455,-0.00012222849350834063,-0.00012233627458237972,-0.0001240728838826455,-0.00012234246919891277
316,-0.0001218954473849243,-0.00012192830228397067,-0.00012203345380388031,-0.00012378154566621723,-0.00012203958912743617
317,-0.0001215942737068193,-0.00012162813617621448,-0.00012173081786464478,-0.00012348968863340915,-0.00012173689791297626
318,-0.00012129317571525466,-0.00012132799467577949,-0.00012142835665238548,-0.0001231973458656055,-0.0001214343851433286
319,-0.00012099215101372573,-0.00012102787717717334,-0.0001211260605244957,-0.00012290454825989117,-0.00012113204091558138
320,-0.00012069119706708708,-0.00012072778300133923,-0.00012082392027975563,-0.0001226113246705218,-0.00012082985577952731
321,-0.00012039031124399357,-0.0001204277114098029,-0.00012052192717530885,-0.00012231770205605285,-0.00012052782076029888
322,-0.0001200894908650002,-0.000120127661621649,-0.00012022007289270942,-0.00012202370560949193,-0.00012022592732441551
323,-0.00011978873321670914,-0.00011982763283615638,-0.00011991834954358071,-0.0001217293588884516,-0.00011992416740241874
324,-0.0001206306615856928,-0.00012065631254079779,-0.00012066631222104662,-0.00012143496058738767,-0.00012066799400426764
325,-0.00012045701198827557,-0.00012048195586981752,-0.00012049329192396707,-0.00012125617038985737,-0.00012049499789292816
326,-0.00012028324471738655,-0.00012030755584388929,-0.00012032009917192221,-0.00012107776361892586,-0.00012032182719608264
327,-0.00012010937299624241,-0.00012013311746539829,-0.00012014675140535447,-0.0001208997043751231,-0.0001201484995295965
328,-0.00011993540845652045,-0.00011995864511426091,-0.0001199732642510587,-0.0001207219600212811,-0.00011997503067588177
329,-0.00011976136133500209,-0.00011978414262573344,-0.00011979965171458162,-0.00012054450090525247,-0.00011980143478761418
330,-0.00011958724066314292,-0.00011960961336822062,-0.00011962592635847424,-0.00012036730009677587,-0.00011962772456315607
331,-0.00011941305441278693,-0.00011943506030410777,-0.00011945209945790902,-0.0001201903331526355,-0.00011945391141066186
332,-0.00011923880963339268,-0.00011926048604351951,-0.00011927818113083244,-0.00012001357789313827,-0.00011928000556691298
333,-0.00011906451403649903,-0.00011908589350357074,-0.00011910418133108558,-0.00011983701421254378,-0.00011910601708195023
334,-0.00011889016997899904,-0.00011891128338312407,-0.00011893010636823798,-0.00011966062380744158,-0.0001189319524011545
