iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,T1,T2,P1,J1,J2
88.0,2025-12-25 17:44:12.528970,False,0.0,0,0,6.659475803375244,6.603056907653809,0.0,56.62546157836914,56.64065933227539
89.0,2025-12-25 17:44:17.792645,False,0.0,0,0,6.508792400360107,6.465889930725098,0.0,56.4804573059082,56.49637985229492
90.0,2025-12-25 17:44:22.958439,False,0.0,0,0,6.358395576477051,6.328436851501465,0.0,56.335472106933594,56.352108001708984
91.0,2025-12-25 17:44:28.313791,False,0.0,0,0,6.208272457122803,6.190709590911865,0.0,56.190513610839844,56.20783996582031
92.0,2025-12-25 17:44:33.962105,False,0.0,0,0,6.058411121368408,6.052720546722412,0.0,56.04558181762695,56.06357955932617
93.0,2025-12-25 17:44:39.646468,False,0.0,0,1,5.9088006019592285,5.914480686187744,0.0,55.900672912597656,55.91932678222656
94.0,2025-12-25 17:44:44.764576,False,0.0,0,1,5.759429454803467,5.776001930236816,1.0,78.18047332763672,67.78426361083984
95.0,2025-12-25 17:44:49.962437,False,0.0,0,1,5.8687896728515625,5.87441873550415,1.0,78.19039916992188,67.83240509033203
96.0,2025-12-25 17:44:55.371168,False,0.0,0,1,5.977372169494629,5.972550392150879,1.0,78.19514465332031,67.85147857666016
97.0,2025-12-25 17:45:01.126377,False,0.0,0,1,6.083761215209961,6.069197654724121,1.0,78.20488739013672,67.89881896972656
98.0,2025-12-25 17:45:07.083796,False,0.0,0,1,6.189402103424072,6.165549278259277,1.0,78.21459197998047,67.94602966308594
99.0,2025-12-25 17:45:12.114270,False,0.0,0,1,6.294305324554443,6.261600017547607,1.0,78.2242660522461,67.99309539794922
100.0,2025-12-25 17:45:17.526109,False,0.0,0,1,6.39847993850708,6.357342720031738,1.0,78.23390197753906,68.04002380371094
101.0,2025-12-25 17:45:23.020988,False,0.0,0,1,6.50193452835083,6.452773094177246,1.0,78.24351501464844,68.08679962158203
102.0,2025-12-25 17:45:29.152185,False,0.0,0,1,6.604678630828857,6.547884464263916,1.0,78.25308990478516,68.13343811035156
103.0,2025-12-25 17:45:34.881767,False,0.0,0,1,6.70672082901001,6.642672538757324,1.0,78.26263427734375,68.17992401123047
104.0,2025-12-25 17:45:40.309226,False,0.0,0,1,6.808069705963135,6.737132549285889,1.0,78.27214050292969,68.22625732421875
105.0,2025-12-25 17:45:45.815181,False,0.0,0,1,6.9087324142456055,6.831258773803711,1.0,78.28162384033203,68.27244567871094
106.0,2025-12-25 17:45:51.383183,False,0.0,0,0,7.0087175369262695,6.925047874450684,1.0,78.29106903076172,68.31847381591797
107.0,2025-12-25 17:45:56.437990,False,0.0,0,0,7.108033180236816,7.018495082855225,0.0,57.03327941894531,57.047122955322266
108.0,2025-12-25 17:46:02.642953,False,0.0,0,0,6.955017566680908,6.880490779876709,0.0,57.43854904174805,57.44557571411133
109.0,2025-12-25 17:46:08.173330,False,0.0,0,0,6.839810848236084,6.777724266052246,0.0,57.32867431640625,57.3363037109375
110.0,2025-12-25 17:46:13.300999,False,0.0,0,0,6.724941253662109,6.674620151519775,0.0,57.218814849853516,57.22703170776367
111.0,2025-12-25 17:46:17.921962,False,0.0,0,0,6.610389232635498,6.571198463439941,0.0,57.10897445678711,57.117767333984375
112.0,2025-12-25 17:46:23.947288,False,0.0,0,0,6.496137619018555,6.467476844787598,0.0,56.9991569519043,57.008506774902344
113.0,2025-12-25 17:46:29.448864,False,0.0,0,0,6.382168769836426,6.363471984863281,0.0,56.88935852050781,56.899253845214844
114.0,2025-12-25 17:46:34.438907,False,0.0,0,0,6.268467426300049,6.259200096130371,0.0,56.77958679199219,56.790008544921875
