iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
190,2025-12-25 17:53:31.452477,6.018777190939774,6.019847869491561,78.413570537078,69.02853869482183,58.77261614680752,57.31518498419178,58.69868615195174,0.0,0.0,0.0,439.44294629219814,1.0,1.0,0,0
191,2025-12-25 17:53:36.243749,6.180799904921103,6.163345434803456,78.42805783744447,69.09596975673406,58.916725312505115,57.45868055135418,58.84347558046126,0.0,0.0,0.0,437.99421625555334,1.0,1.0,0,0
192,2025-12-25 17:53:41.520619,6.34173085018043,6.306383117219173,78.4369872965552,69.13472175967989,59.03859943979448,57.60171123043353,58.966196520830266,0.0,0.0,0.0,437.1012703444793,1.0,1.0,0,0
193,2025-12-25 17:53:46.798397,6.500218292336615,6.447798904893317,78.45129016910775,69.20128411195141,59.1799316571642,57.74312501468942,59.10818600365511,0.0,0.0,0.0,435.6709830892266,1.0,1.0,0,0
194,2025-12-25 17:53:52.234423,6.657640727600914,6.588747800849273,78.46555879605764,69.26764675568683,59.32044242736649,57.88407188949071,59.24934567539265,0.0,0.0,0.0,434.2441203942348,1.0,1.0,0,0
195,2025-12-25 17:53:57.389799,6.814007296312675,6.729224332610923,78.4797930456965,69.3338073530112,59.46013593439816,58.0245463833118,59.38967988692889,0.0,0.0,0.0,432.8206954303494,1.0,1.0,0,0
196,2025-12-25 17:54:02.595981,6.969326977630548,6.8692232029749904,78.49399279015554,69.39976363814914,59.599016350086046,58.16454319987199,59.529192971977594,0.0,0.0,0.0,431.40072098444557,1.0,1.0,0,0
197,2025-12-25 17:54:08.935775,7.123608594252375,7.00873928490608,78.5081579052851,69.46551341531115,59.73708783325181,58.30405721303126,59.667889246434804,0.0,0.0,0.0,429.98420947149106,1.0,1.0,0,0
198,2025-12-25 17:54:14.556002,7.27686081694091,7.147767616583194,58.03252729147314,58.033752763667046,58.08624824185068,58.44266252174367,58.0885197558401,0.0,0.0,0.0,0.0,0.0,0.0,0,0
199,2025-12-25 17:54:19.741142,7.1850856502015805,7.071292456125903,57.947771340199616,57.94944380845622,57.99971788842721,58.36618600272497,58.00192290760055,0.0,0.0,0.0,0.0,0.0,0.0,0,0
200,2025-12-25 17:54:25.642047,7.093842706671876,6.994285074567131,57.86297592392541,57.865118749275595,57.91330326470234,58.28917735721363,57.915447579575606,0.0,0.0,0.0,0.0,0.0,0.0,0,0
201,2025-12-25 17:54:30.200339,7.003092124037728,6.9167853342160495,57.77815599490922,57.7807823141652,57.827003226986314,58.21167644037229,57.82909202780698,0.0,0.0,0.0,0.0,0.0,0.0,0,0
202,2025-12-25 17:54:35.018765,6.91279744944878,6.838829687922801,57.69332344009005,57.69643849226463,57.740815594426515,58.13371969853575,57.742853546987774,0.0,0.0,0.0,0.0,0.0,0.0,0,0
203,2025-12-25 17:54:40.608935,6.822925281636365,6.760451536961007,57.608487672041676,57.6120905993763,57.654737430754444,58.05534052702234,57.656728740636815,0.0,0.0,0.0,0.0,0.0,0.0,0,0
204,2025-12-25 17:54:46.057539,6.733444961107952,6.681681540832362,57.28044819852963,57.28785061301601,57.34556387709551,57.97651083848749,57.3483918294867,0.0,0.0,0.0,0.0,0.0,0.0,0,0
205,2025-12-25 17:54:52.314743,6.62308922307089,6.582308937221581,57.17475413437206,57.182716504633184,57.23874111653585,57.87713725944946,57.24152661346633,0.0,0.0,0.0,0.0,0.0,0.0,0,0
206,2025-12-25 17:54:57.447295,6.513039692092674,6.482630129188621,57.069079993979756,57.07758726943649,57.13201149483324,57.777457530316774,57.1347572729996,0.0,0.0,0.0,0.0,0.0,0.0,0,0
207,2025-12-25 17:55:03.443576,6.403278579868997,6.382662905035904,56.96342757594663,56.97246371694961,57.025371422614185,57.677489436237565,57.02808001832133,0.0,0.0,0.0,0.0,0.0,0.0,0,0
208,2025-12-25 17:55:08.552767,6.293789213478703,6.282423937676708,56.857798229358565,56.867346490907806,56.91881732529145,57.57724964716941,56.92149109172724,0.0,0.0,0.0,0.0,0.0,0.0,0,0
209,2025-12-25 17:55:13.356648,6.184555955798788,6.181928864242139,56.752192924553306,56.76223609242175,56.81234566658777,57.47675379747167,56.81498678932641,0.0,0.0,0.0,0.0,0.0,0.0,0,0
210,2025-12-25 17:55:19.389107,6.075564132756922,6.081192358800656,56.6466123133094,56.65713290020329,56.70595296711326,57.37601655861209,56.70856347806113,0.0,0.0,0.0,0.0,0.0,0.0,0,0
211,2025-12-25 17:55:24.716522,5.966799966689105,5.980228199014644,56.54105678020439,56.552037188272614,56.59963581895636,57.27505170581135,56.60221760892375,0.0,0.0,0.0,0.0,0.0,0.0,0,0
212,2025-12-25 17:55:30.448922,5.858250515173498,5.879049327306161,78.32107361633942,68.55127875233923,58.332672538222496,57.17431918100911,58.26058905766995,0.0,0.0,0.0,448.69263836605967,1.0,1.0,0,0
213,2025-12-25 17:55:35.848053,6.001840471671862,6.006299412185074,78.33393055359804,68.611966713673,58.46155846298849,57.30156774682883,58.39008465006097,0.0,0.0,0.0,447.4069446401972,1.0,1.0,0,0
214,2025-12-25 17:55:41.202455,6.144440677042449,6.133162215393101,78.34675332001333,68.67248513172092,58.58968786079287,57.428429010025866,58.51881518900514,0.0,0.0,0.0,446.12466799866763,1.0,1.0,0,0
215,2025-12-25 17:55:46.598796,6.286061163719354,6.259631364349802,78.359541799061,68.73283126220691,58.71706514683347,57.55489659910313,58.64678529030917,0.0,0.0,0.0,444.845820093899,1.0,1.0,0,0
216,2025-12-25 17:55:52.380573,6.426711749881532,6.3857007132006816,78.41241052380217,69.00390997730182,58.991694061866,57.68099878393282,58.9206633822673,0.0,0.0,0.0,439.5589476197827,1.0,1.0,0,0
217,2025-12-25 17:55:58.254704,6.576598777186098,6.519970819452898,78.4260034905175,69.0675171079383,59.125994787650136,57.81526707279112,59.05558396804188,0.0,0.0,0.0,438.19965094824806,1.0,1.0,0,0
218,2025-12-25 17:56:04.031382,6.725472609274923,6.653798256248332,78.43956188682364,69.13093304638376,59.25951118454894,57.949092674955445,59.1897121492574,0.0,0.0,0.0,436.84381131763433,1.0,1.0,0,0
219,2025-12-25 17:56:09.321066,6.873342415258988,6.7871775571311215,78.45308560739664,69.19415545092176,59.39224752761934,58.08247012491238,59.32305236990876,0.0,0.0,0.0,435.49143926033634,1.0,1.0,0,0
220,2025-12-25 17:56:14.744811,7.020217193031505,6.9201034381208375,78.46657453851356,69.25718204749086,59.52420805966488,58.21539413959729,59.45560903691628,0.0,0.0,0.0,434.1425461486442,1.0,1.0,0,0
221,2025-12-25 17:56:21.135348,7.166105774217397,7.052570793700689,57.82711940437456,57.82996767760312,57.88730194693058,58.34743964661248,57.88987025938731,0.0,0.0,0.0,0.0,0.0,0.0,0,0
222,2025-12-25 17:56:26.532693,7.065666106318762,6.966381768178804,57.733029259820654,57.73641597806064,57.7916311643464,58.261249355872515,57.79414016871717,0.0,0.0,0.0,0.0,0.0,0.0,0,0
223,2025-12-25 17:56:31.620809,6.965674418099465,6.879744765310909,57.63893051960763,57.64285809038704,57.696073025778404,58.174611167275316,57.69852725925938,0.0,0.0,0.0,0.0,0.0,0.0,0,0
