iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS
14,2025-01-14 15:44:25.697402,4.9385014108712335,4.6064296543651,64.58061425768413,64.94694003576294,56.09649596251701,55.78206496534208,56.096495514572545,143.6340516622911,1.0,159.5734336498475,1.0,-149.81449723109108,1.0
15,2025-01-14 15:44:30.325634,5.07386724163834,4.725911597656104,64.60560766018595,64.96645328483444,56.233804444631524,55.90166979487728,56.233804002132985,142.7850010374614,1.0,158.48593336052915,1.0,-147.99311258286707,1.0
16,2025-01-14 15:44:34.514631,5.207366124282625,4.845196766056811,64.63041315739062,64.9859310146591,56.369162586676936,56.02115100623959,56.36916214939029,141.93749590813763,1.0,157.40660911146836,1.0,-146.25000163619006,1.0
17,2025-01-14 15:44:38.981273,5.339071954730709,4.964221431500144,64.6550388137489,65.00537072045528,56.50265417060093,56.14043520724818,56.502653738319914,141.09164526110902,1.0,156.33511000636202,1.0,-144.57587561821583,1.0
18,2025-01-14 15:44:43.328534,5.469050532216468,5.082929716086071,64.67949164630973,65.02477019029006,56.63435304970669,56.25945870021722,56.63435262224758,140.24754534088353,1.0,155.27113072292434,1.0,-142.96319283346293,1.0
19,2025-01-14 15:44:47.697938,5.597361005062314,5.201272208840231,64.70377782011339,65.04412744592454,56.76432498812634,56.37816563253177,56.764324565324046,139.40528222359285,1.0,154.21440301104366,1.0,-141.4057298620719,1.0
20,2025-01-14 15:44:51.893559,5.724056932910689,5.3192049090949185,64.72790280414019,65.06344070283387,56.89262910467168,56.496506614575424,56.89262868637665,138.5649335565787,1.0,153.16468890720986,1.0,-139.89827734235405,1.0
21,2025-01-14 15:44:56.277961,5.849187137417326,5.4366884016187065,64.75187148359947,65.08270833672378,57.01931893393655,56.61443766394528,57.019318520012504,137.72657001531118,1.0,152.1217758486677,1.0,-138.43640818606673,1.0
22,2025-01-14 15:45:00.479075,5.972796387785442,5.55368720201312,64.77568825050997,65.101928858651,57.144443276117336,56.73191938119778,57.14444286643929,136.89025638593802,1.0,151.08547273211968,1.0,-137.01633850757844,1.0
23,2025-01-14 15:45:04.953504,6.0949259107550695,5.670169229499487,64.79935707691291,65.12110089588028,57.26804688169343,56.84891629570906,57.268046476146296,136.05605239822023,1.0,150.0556067281159,1.0,-135.63475957994342,1.0
24,2025-01-14 15:45:09.432518,6.215613863499817,5.786105375431463,64.82288156712167,65.14022317355635,57.390170961138,56.965396338812326,57.39017055961526,135.22401352301503,1.0,149.03202100759637,1.0,-134.288805964502,1.0
25,2025-01-14 15:45:13.677839,6.326149579113729,5.8973904204903835,64.82036662988685,65.12408193939086,57.510822158306894,57.081315899900595,57.51082177019801,135.9263427406412,1.0,149.1414496846353,1.0,-129.80255756815495,1.0
26,2025-01-14 15:45:18.178435,6.435536975653273,6.007969145715521,64.84208971056331,65.14215574780434,57.6213538883403,57.19259847703462,57.621353503437156,135.13992432973114,1.0,148.19624598462588,1.0,-128.73040255612977,1.0
