iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
157.0,2025-02-03 18:02:06.446272,0.0,6.83759880065918,78.2034683227539,58.45691680908203,1.0,6.7879791259765625,71.79837799072266,58.006187438964844,1.0,67.62217712402344,296.5197448730469,187.19924926757812,1.0
158.0,2025-02-03 18:02:12.012932,0.0,6.920650005340576,77.54259490966797,58.5343132019043,1.0,6.864574432373047,71.5148696899414,58.08308410644531,1.0,67.64009094238281,295.5753479003906,186.54335021972656,1.0
159.0,2025-02-03 18:02:17.903351,0.0,7.00300407409668,76.8916244506836,58.611141204833984,1.0,6.940859317779541,71.22522735595703,58.1596794128418,1.0,67.6579360961914,294.634765625,185.89093017578125,1.0
160.0,2025-02-03 18:02:23.309296,0.0,7.084671497344971,76.2502670288086,58.687408447265625,1.0,7.0168280601501465,70.92977905273438,58.2359619140625,1.0,67.67571258544922,293.69793701171875,185.24195861816406,1.0
161.0,2025-02-03 18:02:28.664517,0.0,7.165661811828613,75.6181869506836,58.763118743896484,1.0,7.092474460601807,70.62886047363281,58.31193161010742,1.0,67.69341278076172,292.7649230957031,184.59642028808594,1.0
162.0,2025-02-03 18:02:34.499287,0.0,7.2459845542907715,74.99508666992188,58.83827590942383,1.0,7.167793273925781,70.32273864746094,58.387577056884766,1.0,67.69341278076172,292.7649230957031,184.59642028808594,1.0
163.0,2025-02-03 18:02:40.447696,0.0,7.325649261474609,74.38069915771484,58.91289138793945,1.0,7.242778778076172,70.01171875,58.462894439697266,1.0,67.72859954833984,290.91033935546875,183.3154754638672,1.0
164.0,2025-02-03 18:02:46.280474,0.0,7.404664993286133,73.77474212646484,58.986961364746094,1.0,7.317425727844238,69.69607543945312,58.537879943847656,1.0,67.74608612060547,289.98870849609375,182.68002319335938,1.0
165.0,2025-02-03 18:02:52.561364,0.0,7.483040809631348,73.17696380615234,59.06050109863281,1.0,7.391730785369873,69.37606048583984,58.612525939941406,1.0,67.76350402832031,289.0709228515625,182.04786682128906,1.0
166.0,2025-02-03 18:02:58.587502,0.0,7.560784339904785,72.58710479736328,59.133506774902344,1.0,7.465688228607178,69.05191802978516,58.68682861328125,1.0,67.78084564208984,288.15692138671875,181.41900634765625,1.0
167.0,2025-02-03 18:03:04.897629,0.0,7.637904644012451,72.00494384765625,59.205989837646484,1.0,7.465688228607178,69.05191802978516,58.68682861328125,1.0,67.79811096191406,287.2467346191406,180.79339599609375,1.0
