iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
46,52:29.2,6.504268555,6.556676721,57.76385411,57.77014111,57.76652194,57.88774402,57.76666358,6.471663664,57.76385412,57.88774412,0,0,0,0,-28.56590857,1,-2.311157361,1,-33.69950853,1,0
47,52:34.4,6.473305225,6.52095122,57.73150018,57.73717212,57.73449817,57.85165095,57.734653,6.439653082,57.73150018,57.85165105,0,0,0,0,-28.9095584,1,-2.461440782,1,-33.3558616,1,0
48,52:39.8,6.442020747,6.485546865,57.69897631,57.7041364,57.70227623,57.81592588,57.702443,6.407443092,57.69897632,57.81592598,0,0,0,0,-29.20940381,1,-2.59233541,1,-33.05601618,1,0
49,52:45.0,6.381081332,6.425498935,57.49223175,57.49877458,57.5098021,57.78047954,57.51059876,6.215598933,57.49223177,57.78047971,0,0,0,0,-56.8973611,1,-6.39514047,1,-56.06500477,1,0
50,52:50.2,6.320180205,6.365412717,57.43163707,57.43824556,57.44912913,57.72043153,57.44992281,6.15492298,57.43163709,57.7204317,0,0,0,0,-56.86161121,1,-6.379755759,1,-56.10074887,1,0
51,52:55.3,6.25931405,6.305291531,57.3710504,57.37771929,57.38847116,57.66034524,57.38926213,6.094262301,57.37105042,57.66034541,0,0,0,0,-56.82895853,1,-6.365700913,1,-56.13340155,1,0
52,53:00.4,6.19847985,6.245138385,57.31047133,57.31719565,57.32782708,57.60022399,57.32861558,6.033615749,57.31047135,57.60022416,0,0,0,0,-56.79912204,1,-6.352854244,1,-56.16324383,1,0
53,53:05.4,6.13767486,6.184956045,57.24989943,57.25667458,57.26719579,57.54007078,57.26798204,5.972982208,57.24989945,57.54007095,0,0,0,0,-56.77185257,1,-6.341108553,1,-56.19049882,1,0
54,53:10.6,6.076896554,6.124747013,57.18933389,57.19615566,57.20657609,57.47988839,57.20736027,5.912360443,57.1893339,57.47988856,0,0,0,0,-56.74693282,1,-6.330376921,1,-56.21542437,1,0
55,53:15.6,6.016142644,6.064513592,57.12877435,57.13563886,57.14596712,57.4196793,57.14674943,5.851749597,57.12877437,57.41967947,0,0,0,0,-56.72415707,1,-6.320566632,1,-56.23819722,1,0
56,53:20.6,5.95541103,6.004257877,57.0682203,57.07512397,57.08536792,57.35944584,57.08614851,5.791148682,57.06822032,57.35944601,0,0,0,0,-56.70333701,1,-6.311599461,1,-56.25900859,1,0
57,53:25.6,6.062504134,6.097362703,67.55839962,62.94163757,57.92986067,57.29940944,57.89369854,6.598698239,67.55839905,57.29940918,0,0,299.8811784,1,99.98971961,1,192.6074681,1,86.9292646,1,0
58,53:30.7,6.168658542,6.190179932,67.58012251,62.99282258,58.02612955,57.3925134,57.9903881,6.695387804,67.58012194,57.39251314,0,0,298.7362326,1,99.11328362,1,191.8008341,1,86.66075069,1,0
59,53:36.0,6.273888284,6.282699658,67.60177253,63.04385449,58.12170001,57.48532973,58.08637074,6.791370445,67.60177196,57.48532948,0,0,297.5951271,1,98.24994926,1,190.9981172,1,86.38297987,1,0
60,53:41.2,6.378206939,6.374912427,67.62334954,63.09472915,58.21657758,57.57784854,58.18165229,6.886651994,67.62334897,57.57784828,0,0,296.4578697,1,97.39929063,1,190.1992828,1,86.09637227,1,0
61,53:46.6,6.450323439,6.440363288,67.45497017,62.6393537,58.01377273,57.66999138,57.9824978,6.687497604,67.4549696,57.6699912,0,0,305.332624,1,67.33308009,1,190.5748088,1,61.10956462,1,0
62,53:51.4,6.521797297,6.505593969,67.47025468,62.67629666,58.08053465,57.73544175,58.04952931,6.754529113,67.47025412,57.73544157,0,0,304.5270246,1,66.73306187,1,190.0130379,1,60.90398606,1,0
63,53:56.7,6.592640892,6.570595838,67.48547273,62.71311383,58.14679583,57.80067193,58.11605383,6.821053629,67.48547216,57.80067174,0,0,303.7249286,1,66.14460392,1,189.4546048,1,60.69035587,1,0
64,54:01.8,6.662866087,6.635360783,67.50062417,62.74980138,58.21256217,57.86567327,58.18207756,6.887077364,67.5006236,57.86567309,0,0,302.9263435,1,65.56722527,1,188.8994746,1,60.46914922,1,0
