iteration,timestamp,P79,T41,V41F,J21,V41,T42,V42F,J19,V42,J2,P1F,V_UF,P1
42.0,2025-01-23 01:25:48.937897,0.0,6.623879909515381,26.63564109802246,57.89188766479492,1.0,6.703820705413818,-35.629783630371094,58.03695297241211,1.0,57.89066696166992,0.0,-1.4618459939956665,0.0
43.0,2025-01-23 01:25:53.704634,0.0,6.594732284545898,27.214441299438477,57.861106872558594,1.0,6.666279315948486,-35.05097961425781,57.9987907409668,1.0,57.85947036743164,0.0,-1.7174204587936401,0.0
44.0,2025-01-23 01:25:58.374288,0.0,6.565038204193115,27.724578857421875,57.82993698120117,1.0,6.629284858703613,-34.54084777832031,57.96125030517578,1.0,57.8278923034668,0.0,-1.942034363746643,0.0
45.0,2025-01-23 01:26:02.957361,0.0,6.5348639488220215,28.17291831970215,57.798439025878906,1.0,6.592770099639893,-34.092506408691406,57.924259185791016,1.0,57.79600143432617,0.0,-2.138947010040283,0.0
46.0,2025-01-23 01:26:07.688875,0.0,6.504268646240234,28.565908432006836,57.76666259765625,1.0,6.556676864624023,-33.69950866699219,57.88774490356445,1.0,57.76385498046875,0.0,-2.311157464981079,0.0
47.0,2025-01-23 01:26:12.350289,0.0,6.4733052253723145,28.90955924987793,57.73465347290039,1.0,6.520951271057129,-33.35586166381836,57.85165023803711,1.0,57.73149871826172,0.0,-2.4614408016204834,0.0
48.0,2025-01-23 01:26:17.122716,0.0,6.442020893096924,29.20940399169922,57.70244216918945,1.0,6.485547065734863,-33.05601501464844,57.81592559814453,1.0,57.698974609375,0.0,-2.5923354625701904,0.0
49.0,2025-01-23 01:26:21.892558,0.0,6.3810811042785645,56.897361755371094,57.510597229003906,1.0,6.425498962402344,-56.065006256103516,57.780479431152344,1.0,57.49223327636719,0.0,-6.395140647888184,0.0
50.0,2025-01-23 01:26:26.811564,0.0,6.320180416107178,56.861610412597656,57.44992446899414,1.0,6.365412712097168,-56.10074996948242,57.72043228149414,1.0,57.431636810302734,0.0,-6.379755973815918,0.0
51.0,2025-01-23 01:26:31.582030,0.0,6.259314060211182,56.82896041870117,57.38926315307617,1.0,6.305291652679443,-56.133399963378906,57.66034698486328,1.0,57.37105178833008,0.0,-6.365700721740723,0.0
52.0,2025-01-23 01:26:36.451580,0.0,6.198479652404785,56.79912185668945,57.328617095947266,1.0,6.245138168334961,-56.16324234008789,57.600223541259766,1.0,57.31047058105469,0.0,-6.352854251861572,0.0
53.0,2025-01-23 01:26:41.252339,0.0,6.137674808502197,56.771854400634766,57.267982482910156,1.0,6.184956073760986,-56.19049835205078,57.540069580078125,1.0,57.249900817871094,0.0,-6.341108322143555,0.0
54.0,2025-01-23 01:26:46.200265,0.0,6.076896667480469,56.74693298339844,57.207359313964844,1.0,6.124746799468994,-56.215423583984375,57.479888916015625,1.0,57.189334869384766,0.0,-6.330377101898193,0.0
55.0,2025-01-23 01:26:51.093232,0.0,6.016142845153809,56.72415542602539,57.14674758911133,1.0,6.064513683319092,-56.238197326660156,57.419677734375,1.0,57.1287727355957,0.0,-6.320566654205322,0.0
56.0,2025-01-23 01:26:55.819378,0.0,5.955410957336426,56.703338623046875,57.08614730834961,1.0,6.004257678985596,-56.259010314941406,57.35944747924805,1.0,57.06822204589844,0.0,-6.311599254608154,0.0
57.0,2025-01-23 01:27:00.735611,0.0,6.062504291534424,-99.9897232055664,57.893699645996094,1.0,6.097362518310547,86.92926788330078,57.299407958984375,1.0,67.55840301513672,299.88116455078125,192.6074676513672,1.0
58.0,2025-01-23 01:27:05.482710,0.0,6.16865873336792,-99.11328125,57.990386962890625,1.0,6.190179824829102,86.66075134277344,57.392513275146484,1.0,67.58012390136719,298.7362365722656,191.8008270263672,1.0
59.0,2025-01-23 01:27:10.300130,0.0,6.273888111114502,-98.24994659423828,58.08637237548828,1.0,6.2826995849609375,86.38298034667969,57.485328674316406,1.0,67.60177612304688,297.5951232910156,190.9981231689453,1.0
60.0,2025-01-23 01:27:15.181806,0.0,6.378206729888916,-97.3992919921875,58.1816520690918,1.0,6.374912261962891,86.09637451171875,57.577850341796875,1.0,67.62335205078125,296.4578552246094,190.19927978515625,1.0
61.0,2025-01-23 01:27:19.923253,0.0,6.450323581695557,-67.33307647705078,57.98249816894531,1.0,6.44036340713501,61.10956573486328,57.66999053955078,1.0,67.45497131347656,305.3326110839844,190.57481384277344,1.0
62.0,2025-01-23 01:27:24.674381,0.0,6.521797180175781,-66.73306274414062,58.049530029296875,1.0,6.505593776702881,60.903987884521484,57.735443115234375,1.0,67.47025299072266,304.52703857421875,190.01303100585938,1.0
63.0,2025-01-23 01:27:29.509741,0.0,6.5926408767700195,-66.14460754394531,58.11605453491211,1.0,6.570595741271973,60.69035720825195,57.8006706237793,1.0,67.4854736328125,303.72491455078125,189.45460510253906,1.0
64.0,2025-01-23 01:27:34.201249,0.0,6.662866115570068,-65.56722259521484,58.18207931518555,1.0,6.6353607177734375,60.46915054321289,57.86567306518555,1.0,67.50062561035156,302.92633056640625,188.89947509765625,1.0
65.0,2025-01-23 01:27:39.138481,0.0,6.732484340667725,-65.00044250488281,58.24760818481445,1.0,6.699881076812744,60.24083709716797,57.93043899536133,1.0,67.51570892333984,302.1312561035156,188.34759521484375,1.0
66.0,2025-01-23 01:27:43.960357,0.0,6.801506042480469,-64.44383239746094,58.312644958496094,1.0,6.764150142669678,60.00586700439453,57.994956970214844,1.0,67.53073120117188,301.3396911621094,187.79893493652344,1.0
67.0,2025-01-23 01:27:48.675798,0.0,6.869942665100098,-63.89698028564453,58.37720489501953,1.0,6.828160285949707,59.764644622802734,58.059226989746094,1.0,67.5456771850586,300.5516052246094,187.2534637451172,1.0
68.0,2025-01-23 01:27:53.381141,0.0,6.937803268432617,-63.3594970703125,58.441280364990234,1.0,6.891906261444092,59.51757049560547,58.123233795166016,1.0,67.56056213378906,299.76702880859375,186.7111358642578,1.0
69.0,2025-01-23 01:27:57.881338,0.0,7.00509786605835,-62.831016540527344,58.50489044189453,1.0,6.955381393432617,59.264984130859375,58.186981201171875,1.0,67.57538604736328,298.9859924316406,186.17193603515625,1.0
70.0,2025-01-23 01:28:02.850422,0.0,6.905200481414795,93.271240234375,57.734561920166016,1.0,6.865821838378906,-83.61891174316406,58.250240325927734,1.0,57.67754364013672,0.0,-11.801782608032227,0.0
71.0,2025-01-23 01:28:07.420259,0.0,6.805617809295654,92.97730255126953,57.63795852661133,1.0,6.7759480476379395,-83.912841796875,58.16067886352539,1.0,57.58205032348633,0.0,-11.676531791687012,0.0
72.0,2025-01-23 01:28:12.190185,0.0,6.706330299377441,92.70201873779297,57.54145812988281,1.0,6.685779094696045,-84.18811798095703,58.070804595947266,1.0,57.486576080322266,0.0,-11.559118270874023,0.0
