iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
182,2025-01-23 01:37:18.862938,8.539588594833377,8.441861363560252,67.98670338191042,63.939484661251925,60.06130614553338,59.67178311307268,60.03559740955224,8.74059722332249,67.98670286347358,59.671782931177056,0.0,0.0,277.3066165775836,1.0,-62.2843191439415,1.0,173.3905848118411,1.0,60.83477803770165,1.0,1
183,2025-01-23 01:37:24.675538,8.60577501448092,8.506665030783486,68.00221265102009,63.97630747652035,60.12394321009433,59.73693888088725,60.09843485304822,8.803434668277523,68.00221213425013,59.736938699976754,0.0,0.0,276.4891711350278,1.0,-61.79633986562294,1.0,172.83310198649815,1.0,60.50530184609215,1.0,1
184,2025-01-23 01:37:30.659394,8.671445010435244,8.571113581121779,68.01765183348462,64.01294649544914,60.1861323484447,59.801741764083566,60.16082128192426,8.86582109859527,68.01765131837274,59.801741584164446,0.0,0.0,275.6754197420259,1.0,-61.31416389735023,1.0,172.27855703254136,1.0,60.17373669465087,1.0,1
185,2025-01-23 01:37:36.810106,8.736604597154999,8.635204948892312,68.03302055367239,64.04940048368154,60.24787724992491,59.866189529533834,60.22276047670641,8.927760294802303,68.03302004020982,59.86618935061185,0.0,0.0,274.865382196957,1.0,-60.83761450327074,1.0,171.72694994997073,1.0,59.84024772999419,1.0,1
186,2025-01-23 01:37:42.761372,8.801259641149219,8.698937246039803,68.04831903732867,64.08566862012894,60.30918191941873,59.9302801120102,60.284256533016226,8.989256352520652,68.04831852550672,59.930279934090635,0.0,0.0,274.05904660148605,1.0,-60.366532331386225,1.0,171.17824597107756,1.0,59.504988509502255,1.0,1
187,2025-01-23 01:37:48.708587,8.865415832265807,8.762308719240357,68.06354754177423,64.12175017597467,60.370050051983604,59.994011623812305,60.34531322883717,9.05031304973422,68.06354703158428,59.99401144690003,0.0,0.0,273.2563993930371,1.0,-59.900769618934646,1.0,170.63242771200748,1.0,59.16810100131897,1.0,1
188,2025-01-23 01:37:54.509677,8.92907871283995,8.82531779309417,68.07870601964066,64.15764430478798,60.43048541508784,60.05738231205916,60.405934415126126,9.110934237400343,68.07870551107415,60.05738213615859,0.0,0.0,272.4574430682489,1.0,-59.44017860315398,1.0,170.08947199428803,1.0,58.82973876282449,1.0,1
189,2025-01-23 01:38:00.384352,8.992253661119618,8.887963028256326,68.09379446207264,64.19335025687758,60.490491552559426,60.12039060169671,60.466123712901414,9.171123536537774,68.09379395512101,60.12039042681186,0.0,0.0,271.6621780938612,1.0,-58.984611521282204,1.0,169.54936722868297,1.0,58.490032172926476,1.0,1
190,2025-01-23 01:38:06.266959,9.054945921392807,8.950243130628792,68.10881320551212,64.22886753613062,60.55007209630643,60.183035053739964,60.52588482905915,9.230884654043022,68.10881270016696,60.183034879874434,0.0,0.0,270.87058673705906,1.0,-58.533937994411644,1.0,169.0120902367198,1.0,58.14912030245978,1.0,1
191,2025-01-23 01:38:12.491819,9.117160589016358,9.01215693910758,68.12376217500618,64.26419547294908,60.60923047407842,60.245314374418754,60.58522126302716,9.2902210893443,68.12376167125913,60.2453142015758,0.0,0.0,270.08267294838134,1.0,-58.08802764363463,1.0,168.47760625068986,1.0,57.80711904378677,1.0,1
192,2025-01-23 01:38:18.491212,9.178902636061146,9.07370342107575,68.13864148813845,64.2993335631647,60.66797017832772,60.30722740294198,60.644136577243444,9.34913640487999,68.13864098598113,60.307227231124486,0.0,0.0,269.298430530358,1.0,-57.646752987352556,1.0,167.94592106521122,1.0,57.46415877581512,1.0,1
