iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J2V1_LEVEL,J13V2_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
32,2025-01-16 11:24:52.416758,7.091758773375061,7.127533345462996,58.40122376514203,58.38790530494376,58.45572620734208,58.44809454905351,58.45883390830983,58.401223800377686,58.387905326629436,0.0,0.0,0.0,0.0,-11.784523559867921,1.0,-7.252749746271547,1.0,0
33,2025-01-16 11:25:00.574271,7.029789895345776,7.091759147409522,58.34268114012591,58.33692423653942,58.38489817778364,58.4225076111233,58.38668870638543,58.3426811708222,58.33692426276447,0.0,0.0,0.0,0.0,-10.266339407394298,1.0,-8.77093679605423,1.0,0
34,2025-01-16 11:25:08.522652,6.9707248953671,7.0530810695045965,58.28744141171131,58.284696030732,58.32324882771735,58.38672941113357,58.32472578746025,58.28744143979608,58.28469605956858,0.0,0.0,0.0,0.0,-9.392919515676112,1.0,-9.644359585081475,1.0,0
35,2025-01-16 11:25:16.588195,6.91367970346674,7.012383196578706,58.23327551885869,58.23216373450643,58.26438946541859,58.34804839353931,58.265664788293996,58.2332755448917,58.23216376539477,0.0,0.0,0.0,0.0,-8.706706351517823,1.0,-10.330569851930704,1.0,0
36,2025-01-16 11:25:25.708317,6.8581602902184935,6.970159541355164,58.17995355554795,58.17965631642263,58.20749046804571,58.30734821569667,58.20862253985538,58.17995357991958,58.17965634897233,0.0,0.0,0.0,0.0,-8.151063317427543,1.0,-10.886209988711926,1.0,0
37,2025-01-16 11:25:33.102419,6.828098458044818,6.934892568509271,58.14953694225052,58.15448509840174,58.15296993251673,58.26513447867634,58.15314193783357,58.14953695016882,58.154485128528606,0.0,0.0,0.0,0.0,-2.648267961831152,1.0,-10.075893488306065,1.0,0
38,2025-01-16 11:25:41.291271,6.797550930136683,6.900111303255112,58.118966598238586,58.12319971983281,58.12288844569281,58.22986814133406,58.123079552744414,58.11896660674707,58.12319974936948,0.0,0.0,0.0,0.0,-2.845652936116494,1.0,-9.878505616711664,1.0,0
39,2025-01-16 11:25:49.298083,6.766601153994047,6.865732283943403,58.08797573389026,58.09165704995602,58.09232393640275,58.19508739669197,58.09253156120724,58.08797574288632,58.09165707900511,0.0,0.0,0.0,0.0,-3.0087221819030674,1.0,-9.71543347361603,1.0,0
40,2025-01-16 11:25:57.699185,6.735320558235978,6.831684076724296,58.05664652955162,58.059901581102565,58.06135971980585,58.16070880166867,58.061581399894585,58.05664653894786,58.05990160975151,0.0,0.0,0.0,0.0,-3.142560476590006,1.0,-9.58160676816533,1.0,0
41,2025-01-16 11:26:05.715269,6.7037695593879665,6.797906283228548,58.02504602787846,58.02797121784352,58.03006700438269,58.12666093867514,58.03030048671921,58.02504603760119,58.02797124616595,0.0,0.0,0.0,0.0,-3.2517571577272975,1.0,-9.47240139510086,1.0,0
42,2025-01-16 11:26:13.556813,6.671998674833198,6.764348372994676,57.99322845241932,57.9958977884776,57.99850594114015,58.092883423357,57.99874922803951,57.99322846240716,57.9958978165349,0.0,0.0,0.0,0.0,-3.340420609561079,1.0,-9.38373214864896,1.0,0
43,2025-01-16 11:26:22.232359,6.640049787694624,6.730968460885295,57.96123758620477,57.96370792515739,57.966726772402126,58.05932573717706,57.96697813201939,57.961237596406995,57.963707953000316,0.0,0.0,0.0,0.0,-3.412123214161511,1.0,-9.312035338666647,1.0,0
44,2025-01-16 11:26:29.703050,6.607957346416339,6.697732106195567,57.92910859268426,57.93142379708215,57.93477111535862,58.02594600502977,57.9350290736069,57.929108603059184,57.931423824752365,0.0,0.0,0.0,0.0,-3.469881070259362,1.0,-9.254271687950677,1.0,0
45,2025-01-16 11:26:39.117934,6.575749481029899,6.664611168795433,57.89686958553688,57.899063495259675,57.90267317329148,57.992709794546606,57.9029364941422,57.89686959605057,57.89906352279113,0.0,0.0,0.0,0.0,-3.5162930640808554,1.0,-9.207862591438243,1.0,0
46,2025-01-16 11:26:47.051361,6.543449065805164,6.631582792869892,57.8645431063513,57.86664200329172,57.870460860292305,57.959588972487246,57.87072851764929,57.86454311697618,57.86664203071199,0.0,0.0,0.0,0.0,-3.553480025857425,1.0,-9.170675629661673,1.0,0
47,2025-01-16 11:26:54.072938,6.511074580511584,6.598628490884506,57.832147041033636,57.83417133678139,57.83815686186647,57.926560688667045,57.83842801330747,57.832147051747455,57.83417136411273,0.0,0.0,0.0,0.0,-3.583223800660562,1.0,-9.140934752167595,1.0,0
48,2025-01-16 11:27:02.590573,6.478640910825383,6.56573336467757,57.79969565901814,57.8016612542373,57.80577949837549,57.893606460135636,57.80605345668147,57.79969566980301,57.801661281497594,0.0,0.0,0.0,0.0,-3.6069846322561716,1.0,-9.117173920571986,1.0,0
49,2025-01-16 11:27:11.136354,6.40689263801023,6.51896169004142,57.71991011830717,57.71584604634791,57.771422879259646,57.860691087110816,57.77354899914305,57.71991015248565,57.71584608119002,0.0,0.0,0.0,0.0,-11.430953346120987,1.0,-11.652901706611374,1.0,0
50,2025-01-16 11:27:18.284012,6.337263638589096,6.470070750467768,57.65420675678765,57.65224139279052,57.6999309180563,57.81391579648262,57.70180569095915,57.65420678883557,57.65224142976317,0.0,0.0,0.0,0.0,-10.718389156068042,1.0,-12.3654601020462,1.0,0
51,2025-01-16 11:27:27.357979,6.269299681784988,6.419514769767376,57.58936860584024,57.58861030846978,57.63049294458541,57.76502192030532,57.63218050282885,57.58936863610495,57.58861034722563,0.0,0.0,0.0,0.0,-10.12199547005821,1.0,-12.961847993437914,1.0,0
52,2025-01-16 11:27:36.510050,6.202684152426251,6.36761036397748,57.52527149433136,57.525112167609805,57.562676971803086,57.71446350018436,57.564219574931876,57.52527152308612,57.5251122078756,0.0,0.0,0.0,0.0,-9.616994501016052,1.0,-13.466848962480071,1.0,0
53,2025-01-16 11:27:43.840912,6.137180840597081,6.3145937354641895,57.46182019816442,57.461823769903134,57.496178944204416,57.66255704119282,57.49760650493067,57.46182022562986,57.46182381145826,0.0,0.0,0.0,0.0,-9.185782199097048,1.0,-13.898064161708135,1.0,0
54,2025-01-16 11:27:51.886145,6.072595849282214,6.260658790237605,57.398867877294876,57.39904940823555,57.430769523768966,57.609538689525934,57.43210519709561,57.39886790368169,57.3990494508693,0.0,0.0,0.0,0.0,-8.8250382481192,1.0,-14.258808112685983,1.0,0
55,2025-01-16 11:27:59.953853,6.0087727200033,6.205961980208014,57.33633750806003,57.33683944243335,57.36626026908401,57.55560229559992,57.367521850029966,57.336337533550044,57.3368394859639,0.0,0.0,0.0,0.0,-8.525103019678681,1.0,-14.558740443817442,1.0,0
56,2025-01-16 11:28:07.300351,5.9455883251063355,6.150626442508084,57.274194202239606,57.2750753595346,57.30249912151891,57.50090425768988,57.303700086446526,57.27419422697594,57.275075403818825,0.0,0.0,0.0,0.0,-8.273037131516503,1.0,-14.81080633197962,1.0,0
57,2025-01-16 11:28:16.309362,5.882943575815891,6.094751264144783,57.212398455970586,57.21367550679651,57.239366011864824,57.44556767313488,57.24051683625387,57.212398480068835,57.21367555171881,0.0,0.0,0.0,0.0,-8.059630038133037,1.0,-15.024207630744968,1.0,0
58,2025-01-16 11:28:23.821958,6.039624511796118,6.146484151093038,67.45656862062327,62.91916517641101,57.238481079851965,57.38980222040494,57.17833403667089,67.45656802594863,62.919164927414876,0.0,0.0,305.2483745992182,1.0,198.88823150154167,1.0,83.27646192128668,1.0,0
59,2025-01-16 11:28:31.274035,6.189169793581343,6.203812280317496,67.48385621295328,62.95655386366449,57.39114055936022,57.441545781969594,57.33498267991167,67.48385562222973,62.95655361501761,0.0,0.0,303.8101302931343,1.0,197.5667978126694,1.0,83.15965400925052,1.0,0
60,2025-01-16 11:28:39.822318,6.324615218975464,6.27376535296381,67.50998316762286,62.99558029909568,57.533115276717034,57.49890138151531,57.48446794398424,67.5099825805702,62.99558005089534,0.0,0.0,302.4330595961532,1.0,196.33906889339414,1.0,83.01030931647801,1.0,0
61,2025-01-16 11:28:48.523768,6.414346339419709,6.329057630780637,67.39133573636458,62.55951919883118,57.6570535650868,57.56882299191815,57.61975429698253,67.39133515706294,62.55951896324112,0.0,0.0,308.686597481611,1.0,193.74674796949876,1.0,78.79281820578399,1.0,0
62,2025-01-16 11:28:58.055900,6.501462309332884,6.3859559280030505,67.40921180733115,62.59354600253825,57.74559401713709,57.62411840836571,57.709478003754406,67.409211230304,62.59354576749082,0.0,0.0,307.7444052584254,1.0,192.986047886734,1.0,78.61133366361628,1.0,0
63,2025-01-16 11:29:06.050041,6.586385282206943,6.4440507772521505,67.42686319067604,62.628141856795466,57.83172524735103,57.68101909409255,57.79658790143447,67.42686261586043,62.62814162231828,0.0,0.0,306.8140556224718,1.0,192.24640544621252,1.0,78.42061829478553,1.0,0
64,2025-01-16 11:29:14.523176,6.669391953124865,6.503076803753938,67.44431388356321,62.66314489870696,57.91579796055285,57.73911583126501,57.8815056762762,67.44431331090605,62.66314466482143,0.0,0.0,305.8942837577112,1.0,191.52451192098852,1.0,78.22273788065104,1.0,0
65,2025-01-16 11:29:22.126254,6.750683871556087,6.562842802463246,67.46158154304783,62.69845080850293,57.998051913045394,57.79814337622651,57.9645077816715,67.46158097250286,62.69845057522648,0.0,0.0,304.9841590155653,1.0,190.81809002614136,1.0,78.01903387530729,1.0,0
66,2025-01-16 11:29:31.191022,6.830416791449243,6.623202613110471,67.47867934902497,62.7339849789987,58.078666148148606,57.857910605108245,58.04579561983784,67.4786787805509,62.733984746345854,0.0,0.0,304.08298672466583,1.0,190.12548250088912,1.0,77.81046818536197,1.0,0
67,2025-01-16 11:29:38.984482,6.908716010196369,6.684039924881537,67.49561778235238,62.76969003893577,58.157781462572984,57.91827141248165,58.12552484689476,67.49561721591175,62.76968980691887,0.0,0.0,303.19021447153017,1.0,189.44540294000944,1.0,77.59777962462522,1.0,0
68,2025-01-16 11:29:49.190809,6.985685281909939,6.745259482744079,67.51240570578348,62.80552170532426,58.23551258575749,57.979109526964585,58.203820691153986,67.512405141342,62.80552147395387,0.0,0.0,302.30537512792955,1.0,188.7767851337685,1.0,77.38155634683608,1.0,0
69,2025-01-16 11:29:58.035589,7.0614124086194705,6.806781563760971,67.52905052711148,62.84144305693641,58.31195545855326,58.040329723156965,58.28078685569703,67.52904996463748,62.841442826221666,0.0,0.0,301.42807825207217,1.0,188.1187656840666,1.0,77.16227640798934,1.0,0
70,2025-01-16 11:30:07.336384,7.135972959042645,6.868538319820231,67.54555859283157,62.877423593696136,58.387191902445,58.10185230118855,58.356511103532924,67.54555803229553,62.877423363644944,0.0,0.0,300.5579893398944,1.0,187.4706144690208,1.0,76.94034832866237,1.0,0
71,2025-01-16 11:30:16.752179,6.982206448542233,6.836711961576817,58.166344796428305,58.06707954086286,58.41581281481877,58.16351759643389,58.43059584232382,58.16634487653657,58.06707956883452,0.0,0.0,0.0,0.0,-26.7921151231576,1.0,-9.35508935128837,1.0,0
72,2025-01-16 11:30:25.340599,6.835880604692542,6.797444948334298,58.05343828629073,57.98608922510576,58.26421826436065,58.131681381315545,58.27686242951227,58.05343835943164,57.986089260044785,0.0,0.0,0.0,0.0,-24.461890571387812,1.0,-11.685316800367218,1.0,0
73,2025-01-16 11:30:34.386995,6.691914198278859,6.746353205389891,57.92356346706929,57.87576739947827,58.11938754031316,58.0923951554658,58.13054678835762,57.92356353736059,57.87576744277893,0.0,0.0,0.0,0.0,-23.508841037482853,1.0,-14.481854553309859,1.0,0
74,2025-01-16 11:30:42.747192,6.5626749943000435,6.6805342528106415,57.80804311094746,57.77641219517057,57.97902570114528,58.041273610197116,57.98664085405223,57.808043176274104,57.77641224343588,0.0,0.0,0.0,0.0,-21.848419291359278,1.0,-16.142276299433433,1.0,0
75,2025-01-16 11:30:51.438265,6.43827718880494,6.609873905458561,57.69632166287409,57.67416477326635,57.850833375804505,57.975443475957725,57.85742031065384,57.69632172472377,57.67416482500863,0.0,0.0,0.0,0.0,-20.68555242999537,1.0,-17.305146058106402,1.0,0
76,2025-01-16 11:31:00.398711,6.317368731738577,6.535724213328353,57.58606970515623,57.57075122154004,57.72714698668294,57.90477465234565,57.733035577262335,57.58606976404151,57.57075127624671,0.0,0.0,0.0,0.0,-19.694113551054215,1.0,-18.296579142429437,1.0,0
77,2025-01-16 11:31:08.289423,6.1992422844741055,6.458792511040608,57.476989186232046,57.466688356049325,57.60677962832017,57.83061795374069,57.61213731510663,57.476989242524816,57.466688413348514,0.0,0.0,0.0,0.0,-18.82705035541221,1.0,-19.1636452353805,1.0,0
78,2025-01-16 11:31:16.664739,6.0834301277637195,6.379546521408316,57.36892520333473,57.362292558051344,57.48908549252382,57.75368025560325,57.494019194265285,57.368925257332265,57.36229261764577,0.0,0.0,0.0,0.0,-18.05941121745036,1.0,-19.93128437334235,1.0,0
79,2025-01-16 11:31:25.813631,5.969590312383722,6.298328193572774,57.26177017422049,57.25777414614742,57.37362893649665,57.67442903683599,57.378214022820174,57.26177022617055,57.257774207789296,0.0,0.0,0.0,0.0,-17.37463801589456,1.0,-20.61605178028003,1.0,0
80,2025-01-16 11:31:34.989095,5.857457242391754,6.215403124488034,57.15543945840525,57.153276907914,57.26008724546482,57.59320609579242,57.26438016947986,57.15543950851933,57.15327697139186,0.0,0.0,0.0,0.0,-16.760596820404317,1.0,-21.230095873079335,1.0,0
81,2025-01-16 11:31:43.413912,5.97397808302397,6.239793253950211,67.29651272292097,62.424495952513865,57.20476826284119,57.51041578415087,57.15268286748014,67.29651213222809,62.424495718883605,0.0,0.0,313.6844242419063,1.0,197.55653554398123,1.0,78.1373628745996,1.0,0
82,2025-01-16 11:31:52.106948,6.086224126103699,6.267357578276643,67.3160090952559,62.446118712790955,57.319024763298025,57.53480913213372,57.269188617494166,67.31600850756439,62.44611847923182,0.0,0.0,312.65683096211535,1.0,196.55272805266577,1.0,78.11357596722246,1.0,0
83,2025-01-16 11:32:00.848350,6.1939022482361334,6.298411454698011,67.3351118695359,62.468898051206004,57.42890230008569,57.56237737800913,57.381419067733894,67.33511128473185,62.46889781776988,0.0,0.0,311.649983014289,1.0,195.58702017548057,1.0,78.07243707588896,1.0,0
84,2025-01-16 11:32:09.136320,6.296365622926574,6.333627103854883,67.35376457452969,62.49293850796795,57.53394156691206,57.59343644986367,57.48908006841615,67.35376399248484,62.49293827471218,0.0,0.0,310.6668568217714,1.0,194.6642098562279,1.0,78.0121151012736,1.0,0
85,2025-01-16 11:32:17.809834,6.339781300419097,6.350268961394383,67.1890009222392,61.905779781642146,57.6224845109365,57.628633339154035,57.591401873373236,67.18900034835005,61.905779564883694,0.0,0.0,319.3510375985295,1.0,191.93654983155284,1.0,72.49461010758296,1.0,0
86,2025-01-16 11:32:26.371825,6.376490442974971,6.373186195966582,67.19663853343948,61.917554618004395,57.66313817488136,57.645280240198275,57.6348078676895,67.19663796062063,61.91755440137926,0.0,0.0,318.94848281509485,1.0,191.57858729727195,1.0,72.45001762385073,1.0,0
87,2025-01-16 11:32:35.780878,6.411478712833114,6.397408551003538,67.20400343103938,61.93206350065637,57.699157851810746,57.66819869423879,57.67151475060675,67.2040028591508,61.93206328426159,0.0,0.0,318.5603019191829,1.0,191.26745686662616,1.0,72.372978175963,1.0,0
88,2025-01-16 11:32:45.651482,6.445243440199295,6.422446551316377,67.21122889532806,61.947097565191214,57.73366068285514,57.69242184042602,57.70650147013313,67.21122832432624,61.94709734904838,0.0,0.0,318.1794701203804,1.0,190.97088251669447,1.0,72.28871573659035,1.0,0
89,2025-01-16 11:32:53.778324,6.47803944824535,6.44805170426016,67.21834246304792,61.96244709878616,57.767043867566684,57.717460403667616,57.7402650031466,67.21834189290126,61.962446882909234,0.0,0.0,317.804536042456,1.0,190.68487755021124,1.0,72.19978283501405,1.0,0
90,2025-01-16 11:33:02.715327,6.510030082586059,6.474066077813849,67.22535992370109,61.978006658385084,57.79952456851001,57.74306596942076,57.773060040796594,67.22535935438434,61.97800644278416,0.0,0.0,317.4346674697538,1.0,190.4073153423269,1.0,72.10747456838362,1.0,0
91,2025-01-16 11:33:11.242878,6.541330451112115,6.500379357101889,67.23229270088389,61.993709980017194,57.83124633637008,57.76908064801784,57.80504985981612,67.23229213237607,61.99370976469988,0.0,0.0,317.06926229996384,1.0,190.1367704169843,1.0,72.0126224643991,1.0,0
92,2025-01-16 11:33:20.058363,6.572026709255638,6.526909715994943,67.23914868947296,62.00951111649068,57.86231243980788,57.795394150701824,57.836349527235846,67.23914812175613,62.00951090146283,0.0,0.0,316.70790441864006,1.0,189.8722229213945,1.0,71.91580888218141,1.0,0
93,2025-01-16 11:33:28.217357,6.6021859935191145,6.553593990552459,67.24593441857422,62.02537586407583,57.89280128526571,57.8219246689357,57.86704517197437,67.24593385163274,62.02537564934203,0.0,0.0,316.3502496968719,1.0,189.61290796596586,1.0,71.81746841808945,1.0,0
94,2025-01-16 11:33:36.951173,6.631862129377542,6.580382035023264,67.2526546966976,62.041277612604986,57.922774605905296,57.84860905136375,57.897203912211765,67.25265413051763,62.04127739816877,0.0,0.0,315.9960446930245,1.0,189.35822870503216,1.0,71.7179371599741,1.0,0
95,2025-01-16 11:33:45.364612,6.661099199676115,6.607233221797825,67.25931399766041,62.05719618113538,57.95228228677656,57.875397161646525,57.92687956018083,67.25931343222952,62.05719596699952,0.0,0.0,315.6450536060704,1.0,189.1076925960533,1.0,71.61748455757788,1.0,0
96,2025-01-16 11:33:53.932655,6.689933896045942,6.634114114542108,67.26591559533347,62.073114513015184,57.98136543220445,57.902248379428684,57.95611618880836,67.26591503064047,62.073114299181796,0.0,0.0,315.29710388044015,1.0,188.86090560499724,1.0,71.51632501177119,1.0,0
97,2025-01-16 11:34:01.695311,6.7165338870785405,6.660117740121296,67.26604362494398,62.067548343987625,58.009742386619926,57.929128368793265,57.984948527531685,67.26604306117936,62.06754813105405,0.0,0.0,315.2903558370044,1.0,188.5504067877264,1.0,71.21538151977802,1.0,0
98,2025-01-16 11:34:10.215249,6.742863850195284,6.686044855445521,67.27218222882286,62.08284877197295,58.03624020092893,57.95513191679664,58.011548244676,67.27218166572811,62.08284855933692,0.0,0.0,314.96680907738875,1.0,188.32636946740422,1.0,71.11587054282609,1.0,0
99,2025-01-16 11:34:19.056142,6.768937639585222,6.711884044843858,67.27827760222074,62.09809233391106,58.062473410362514,57.98105894321096,58.03787795015917,67.27827703978926,62.098092121572364,0.0,0.0,314.64554086226184,1.0,188.10454569120338,1.0,71.01642620398252,1.0,0
