iteration,timestamp,V24F
68,2025-07-10 18:50:21.020987,78.63098611096575
69,2025-07-10 18:50:33.699962,78.38716016976832
70,2025-07-10 18:50:45.702795,78.1435051698054
71,2025-07-10 18:50:56.279580,77.90004428954944
72,2025-07-10 18:51:07.704184,77.0527697147827
73,2025-07-10 18:51:18.332450,76.82323330186591
74,2025-07-10 18:51:30.544362,76.5940619498906
75,2025-07-10 18:51:42.061980,76.36527304271112
76,2025-07-10 18:51:53.542079,76.13690134803619
77,2025-07-10 18:52:05.360201,75.90899322281075
78,2025-07-10 18:52:16.849574,75.68155446165292
79,2025-07-10 18:52:29.826707,-25.6248443520235
80,2025-07-10 18:52:42.448165,-25.748768055109394
81,2025-07-10 18:52:54.152729,-25.865245673912796
82,2025-07-10 18:53:05.702691,-25.974755264428495
83,2025-07-10 18:53:17.380054,-26.077722731088215
84,2025-07-10 18:53:28.937095,-37.86916796229889
85,2025-07-10 18:53:40.500410,-37.96406642322836
86,2025-07-10 18:53:51.988587,-38.054888370311346
87,2025-07-10 18:54:04.220408,-38.14180764209141
88,2025-07-10 18:54:16.338401,-38.224992282493986
89,2025-07-10 18:54:28.672071,74.24220319137476
90,2025-07-10 18:54:39.928255,74.1397659322729
91,2025-07-10 18:54:51.459567,74.03677238983164
92,2025-07-10 18:55:02.323782,73.9333500456496
93,2025-07-10 18:55:14.304640,73.82962348401634
94,2025-07-10 18:55:25.943263,73.72569121343986
95,2025-07-10 18:55:38.432988,73.62164884511913
96,2025-07-10 18:55:50.793285,73.31545253180138
97,2025-07-10 18:56:02.390218,73.21603426873935
98,2025-07-10 18:56:13.428192,73.11672610342157
99,2025-07-10 18:56:24.575449,73.01758598202923
100,2025-07-10 18:56:36.351721,72.9186515695801
101,2025-07-10 18:56:48.311835,72.81996342840102
102,2025-07-10 18:57:01.146848,72.72156212081882
103,2025-07-10 18:57:12.408116,72.62346503068784
104,2025-07-10 18:57:24.612964,72.52570982302586
105,2025-07-10 18:57:35.595203,72.42830518976007
106,2025-07-10 18:57:46.641014,72.3312830012901
107,2025-07-10 18:57:57.713585,72.23466064147033
108,2025-07-10 18:58:10.232463,76.76864220456991
109,2025-07-10 18:58:22.383838,76.56804701184683
110,2025-07-10 18:58:34.027358,76.36747210028716
111,2025-07-10 18:58:45.703050,76.16697831338115
112,2025-07-10 18:58:57.715495,75.96661490538281
113,2025-07-10 18:59:09.343927,75.76642533592803
114,2025-07-10 18:59:21.554874,75.56645885927082
115,2025-07-10 18:59:33.118866,75.36675603773801
116,2025-07-10 18:59:45.052559,75.16735453634737
117,2025-07-10 18:59:57.762825,74.96829202011668
118,2025-07-10 19:00:10.671964,74.76960325675464
119,2025-07-10 19:00:23.201823,74.57132301396996
120,2025-07-10 19:00:35.763560,77.11584992762255
121,2025-07-10 19:00:46.962324,-22.505699927251044
122,2025-07-10 19:00:58.815615,-22.621835663585443
123,2025-07-10 19:01:10.460983,-22.730163152004934
124,2025-07-10 19:01:22.193542,-22.831258957012324
125,2025-07-10 19:01:33.082768,-22.925624313074877
126,2025-07-10 19:01:45.416746,-23.013731481569266
127,2025-07-10 19:01:56.518670,-23.09602664809063
128,2025-07-10 19:02:07.958270,-23.172903846671034
129,2025-07-10 19:02:19.630704,-23.244748419415373
130,2025-07-10 19:02:31.181385,-23.311887762247352
131,2025-07-10 19:02:42.516190,-23.374660860326912
132,2025-07-10 19:02:53.769685,-26.17291092292362
