iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,J41_LEVEL,J2U_LEVEL,J42_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V41_FLOW,V41_STATUS,V_U_FLOW,V_U_STATUS,V42_FLOW,V42_STATUS,plc4AttackerUnit
22,2025-01-20 19:45:38.194353,6.181856915272533,6.555657083867133,69.68342569746277,70.11169140846553,58.49783250852629,57.698142797826,58.45046200062567,7.155461597703151,69.68342507301819,57.69814237099676,165.30509248829088,1.0,187.87764901476407,1.0,-134.75696185423658,1.0,208.84475295929406,1.0,142.75253528637677,1.0,0
23,2025-01-20 19:45:43.112381,6.325396775391188,6.707298007564843,69.70307116332941,70.12824208012691,58.63044963358675,57.85103090660941,58.58348048428159,7.288480083565596,69.70307054229815,57.85103048327791,164.43275794917227,1.0,186.8421974776199,1.0,-134.01899116104232,1.0,207.70317262758908,1.0,141.58272067788857,1.0,0
24,2025-01-20 19:45:47.801255,6.468143358671254,6.857694218537156,69.72266995966265,70.14474510762547,58.762288496010505,58.00266617036308,58.71572058655628,7.420720188054844,69.7226693420385,58.0026657505064,163.56293458601664,1.0,185.80920574674633,1.0,-133.27833466235006,1.0,206.5636667691706,1.0,140.42056945186232,1.0,0
25,2025-01-20 19:45:52.536459,6.602252990635793,7.000323400732964,69.70276828342459,70.12347175945224,58.78439410880852,58.15302796292023,58.73890262246392,7.443902248074008,69.70276766707971,58.15302756474652,164.68418674749054,1.0,186.85816133743114,1.0,-125.21426304942906,1.0,206.13581534576042,1.0,133.16872366601729,1.0,0
26,2025-01-20 19:45:57.460800,6.720989349438412,7.0894483580332945,67.79835918924451,63.61405236594611,58.71414844495919,58.295463190075715,58.676034982086634,7.381034650613842,67.79835863116378,58.29546294126819,0.0,0.0,287.23365445654366,1.0,-110.86068395741222,1.0,186.6494417515696,1.0,83.21338170844683,1.0,0
27,2025-01-20 19:46:02.092324,6.838409847701082,7.178596637467222,67.82125580074599,63.663994208549255,58.81637284980803,58.384588215074146,58.77886293586692,7.4838626080675645,67.82125524530201,58.38458796620153,0.0,0.0,286.0268451227502,1.0,-109.63210612658258,1.0,185.76758199856158,1.0,83.23515208871868,1.0,0
28,2025-01-20 19:46:07.188694,6.954546274162392,7.267739593223164,67.8440967737212,63.71391937053477,58.91783029862395,58.47373647905349,58.880905080762155,7.585904756547515,67.84409622090094,58.47373623019574,0.0,0.0,284.8229683230049,1.0,-108.43320253513866,1.0,184.8900855929969,1.0,83.23018320368192,1.0,0
29,2025-01-20 19:46:12.087121,7.069428626382618,7.356850506767622,67.86687922810792,63.76381454392296,59.018519853460724,58.5628793418078,58.982161585497714,7.687161264784029,67.86687867789814,58.56287909303949,0.0,0.0,283.6221758564501,1.0,-107.26231302498945,1.0,184.0170104810568,1.0,83.20026848764428,1.0,0
30,2025-01-20 19:46:16.960284,7.0310989850619965,7.295402216617081,58.26835843580607,58.30537112790842,58.268450830758056,58.651780250774245,58.268490055788476,6.9734901627922,58.268358436934506,58.651780422317614,0.0,0.0,0.0,0.0,35.78726887269568,1.0,-0.3774034780690272,1.0,-57.37247632794151,1.0,0
31,2025-01-20 19:46:21.661896,6.991767642495789,7.234955617854266,58.22503380386033,58.25818049048108,58.22540441379112,58.59033406455872,58.225465311830945,6.930465421631099,58.22503380624059,58.59033423330571,0.0,0.0,0.0,0.0,36.722531826285376,1.0,-0.7960762263792276,1.0,-56.43723075820617,1.0,0
