iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,plc3AttackerUnit,plc2AttackerUnit
377,2025-12-25 19:29:21.080668,10.668000000000001,10.668000000000001,79.11689106971943,75.00391351100002,72.14981538229726,72.15449140303193,72.13168734045239,0.0,0.0,0.0,276.443572112226,1.0,1.0,1,1
378,2025-12-25 19:29:36.314398,10.668000000000001,10.668000000000001,79.11689106971946,75.00391351099962,72.1498153822964,72.15449140303107,72.13168734045152,0.0,0.0,0.0,276.4435721122202,1.0,1.0,1,1
379,2025-12-25 19:29:51.647862,10.668000000000001,10.668000000000001,79.11689106971941,75.00391351099975,72.14981538229667,72.15449140303133,72.13168734045178,0.0,0.0,0.0,276.4435721122376,1.0,1.0,1,1
380,2025-12-25 19:30:06.646464,10.668000000000001,10.668000000000001,79.11689106971947,75.0039135110003,72.14981538229782,72.15449140303245,72.13168734045294,0.0,0.0,0.0,276.4435721122086,1.0,1.0,1,1
381,2025-12-25 19:30:21.664175,10.668000000000001,10.668000000000001,79.11689106971946,75.00391351100033,72.14981538229787,72.15449140303251,72.13168734045298,0.0,0.0,0.0,276.4435721122144,1.0,1.0,1,1
382,2025-12-25 19:30:37.350515,10.668000000000001,10.668000000000001,79.11689106971951,75.00391351100052,72.14981538229821,72.15449140303285,72.13168734045334,0.0,0.0,0.0,276.443572112197,1.0,1.0,1,1
383,2025-12-25 19:30:52.464465,10.668000000000001,10.668000000000001,79.11689106971941,75.00391351099964,72.14981538229645,72.15449140303113,72.13168734045156,0.0,0.0,0.0,276.4435721122376,1.0,1.0,1,1
384,2025-12-25 19:31:07.518641,10.668000000000001,10.668000000000001,79.35768319758695,77.49717194023037,76.2061234397114,76.2082383945297,76.19792322314801,0.0,0.0,0.0,180.12672096521553,1.0,1.0,1,1
385,2025-12-25 19:31:23.060376,10.668000000000001,10.668000000000001,79.35768319758695,77.49717194023056,76.20612343971177,76.20823839453003,76.19792322314841,0.0,0.0,0.0,180.12672096522132,1.0,1.0,1,1
386,2025-12-25 19:31:38.074245,10.668000000000001,10.668000000000001,79.35768319758685,77.49717194022962,76.20612343970983,76.20823839452815,76.19792322314642,0.0,0.0,0.0,180.12672096525608,1.0,1.0,1,1
387,2025-12-25 19:31:53.489754,10.668000000000001,10.668000000000001,79.35768319758701,77.49717194023083,76.2061234397124,76.20823839453064,76.19792322314903,0.0,0.0,0.0,180.12672096519233,1.0,1.0,1,1
388,2025-12-25 19:32:08.657310,10.668000000000001,10.668000000000001,79.35768319758691,77.49717194023017,76.20612343971099,76.20823839452926,76.19792322314761,0.0,0.0,0.0,180.1267209652445,1.0,1.0,1,1
389,2025-12-25 19:32:24.104660,10.668000000000001,10.668000000000001,79.35768319758677,77.49717194022908,76.20612343970882,76.20823839452716,76.19792322314542,0.0,0.0,0.0,180.12672096529664,1.0,1.0,1,1
390,2025-12-25 19:32:38.924412,10.668000000000001,10.668000000000001,79.35768319758684,77.49717194022972,76.20612343971018,76.20823839452848,76.19792322314679,0.0,0.0,0.0,180.12672096526188,1.0,1.0,1,1
391,2025-12-25 19:32:53.957139,10.668000000000001,10.668000000000001,79.35768319758684,77.49717194022958,76.20612343970983,76.20823839452815,76.19792322314643,0.0,0.0,0.0,180.12672096526188,1.0,1.0,1,1
392,2025-12-25 19:32:59.175239,10.668000000000001,10.668000000000001,61.340808589919575,61.34954160544562,61.39211921595401,61.96284982266537,61.39437347055115,0.0,0.0,0.0,0.0,0.0,0.0,0,0
393,2025-12-25 19:33:04.815295,10.567808291103642,10.575268748560454,61.243694729905094,61.252862170058016,61.29427339131913,61.87011790840858,61.29650005049885,0.0,0.0,0.0,0.0,0.0,0.0,0,0
394,2025-12-25 19:33:10.688015,10.4678373517345,10.482316730015082,61.14660583188898,61.15619023527015,61.19650122529592,61.77716526622829,61.19870211365594,0.0,0.0,0.0,0.0,0.0,0.0,0,0
395,2025-12-25 19:33:16.774974,10.368073724158165,10.389157402103741,61.049541979079976,61.0595259622727,61.09879920812388,61.68400535147931,61.10097601653903,0.0,0.0,0.0,0.0,0.0,0.0,0,0
396,2025-12-25 19:33:22.300764,10.268504817865121,10.295803355329628,61.005442664488214,61.015071364612645,61.0497407698537,61.5906635326126,61.051703358810094,0.0,0.0,0.0,0.0,0.0,0.0,0,0
397,2025-12-25 19:33:27.539054,10.173850171408896,10.206581126303812,60.9129870994644,60.922957480337466,60.95676883571979,61.50144082079816,60.958711920990304,0.0,0.0,0.0,0.0,0.0,0.0,0,0
398,2025-12-25 19:33:33.112499,10.079361740653301,10.117192683895508,60.82055547259568,60.830851243031304,60.86385549393362,61.412051925114305,60.86578037711774,0.0,0.0,0.0,0.0,0.0,0.0,0,0
399,2025-12-25 19:33:38.300177,9.985029125896165,10.02764842779337,60.72814720718006,60.73875253702437,60.770997637902965,61.32250724340602,60.77290552624649,0.0,0.0,0.0,0.0,0.0,0.0,0,0
400,2025-12-25 19:33:43.646959,9.890842605777962,9.93795807935704,60.635761661378524,60.64666121499818,60.67819230060804,61.23281649530935,60.68008431459908,0.0,0.0,0.0,0.0,0.0,0.0,0,0
401,2025-12-25 19:33:48.422371,9.796793089881778,9.848130729011956,60.543398136214265,60.55457710114184,60.58543664719475,61.14298876963771,60.58731382757979,0.0,0.0,0.0,0.0,0.0,0.0,0,0
402,2025-12-25 19:33:52.672924,9.702872074773811,9.758174880178784,60.45105589150798,60.462499997537826,60.49272797315153,61.05303256830377,60.49459128729488,0.0,0.0,0.0,0.0,0.0,0.0,0,0
