iteration,timestamp,P79,T41,T42,P1,J2,J13,V1F,V2F
114.0,2024-12-25 13:04:10.401906,0.0,8.63037395477295,5.9075236320495605,1.0,59.84908676147461,57.134220123291016,279.3305358886719,-47.4965705871582
115.0,2024-12-25 13:04:18.439957,0.0,8.762791633605957,5.977776050567627,1.0,59.84908676147461,57.134220123291016,279.3305358886719,-48.645328521728516
116.0,2024-12-25 13:04:26.474954,0.0,8.887651443481445,6.0496110916137695,1.0,59.98495864868164,57.202613830566406,272.4367370605469,-50.4620361328125
117.0,2024-12-25 13:04:34.459647,0.0,8.887651443481445,6.0496110916137695,1.0,60.2342414855957,57.34470748901367,260.0527648925781,-51.16532897949219
118.0,2024-12-25 13:04:42.222902,0.0,9.005535125732422,6.197061061859131,1.0,60.348751068115234,57.41788101196289,254.48463439941406,-51.7513542175293
119.0,2024-12-25 13:04:50.145933,0.0,9.222442626953125,6.272253513336182,1.0,60.457157135009766,57.492164611816406,249.2870330810547,-52.232269287109375
120.0,2024-12-25 13:04:58.336811,0.0,9.322392463684082,6.348178863525391,1.0,60.559906005859375,57.56735610961914,244.43008422851562,-52.232269287109375
121.0,2024-12-25 13:05:06.420930,0.0,9.439191818237305,6.439072608947754,1.0,60.66204833984375,57.64332580566406,244.43008422851562,-52.618751525878906
122.0,2024-12-25 13:05:14.695755,0.0,9.55007553100586,6.53057336807251,1.0,60.66204833984375,57.64332580566406,242.12411499023438,-57.98706817626953
123.0,2024-12-25 13:05:22.892200,0.0,9.655472755432129,6.53057336807251,1.0,60.77594757080078,57.73421859741211,231.9046630859375,-58.5399169921875
124.0,2024-12-25 13:05:30.906608,0.0,9.655472755432129,6.622515678405762,1.0,60.98727035522461,57.91766357421875,227.26760864257812,-58.69361877441406
125.0,2024-12-25 13:05:39.045774,0.0,9.755775451660156,6.807138919830322,1.0,61.085445404052734,58.0098991394043,222.91378784179688,-58.77581787109375
126.0,2024-12-25 13:05:46.767733,0.0,9.942522048950195,6.899561882019043,1.0,61.17909622192383,58.10228729248047,218.82179260253906,-58.79322814941406
127.0,2024-12-25 13:05:54.803864,0.0,10.029607772827148,6.99190616607666,1.0,61.26852798461914,58.19470977783203,214.97203063964844,-58.79322814941406
128.0,2024-12-25 13:06:03.014635,0.0,10.112887382507324,7.084070682525635,1.0,61.354034423828125,58.28705596923828,214.97203063964844,-58.75189971923828
129.0,2024-12-25 13:06:11.133724,0.0,10.192625045776367,7.17596435546875,1.0,61.354034423828125,58.28705596923828,211.34649658203125,-58.51432800292969
130.0,2024-12-25 13:06:19.361997,0.0,10.269061088562012,7.17596435546875,1.0,61.435874938964844,58.37921905517578,204.70321655273438,-58.32749557495117
131.0,2024-12-25 13:06:27.699203,0.0,10.269061088562012,7.26750373840332,1.0,61.589542388916016,58.56264877319336,201.65618896484375,-58.10087585449219
132.0,2024-12-25 13:06:34.324764,0.0,10.34242057800293,7.449224472045898,1.0,61.66181182861328,58.65375900268555,198.7746124267578,-57.83818817138672
