iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,T41MiM
44,2024-12-25 12:54:45.781561,6.42193829593574,6.430046012683391,57.74463194315538,57.7529341839731,57.74463194491963,57.752934216445084,57.74482615070824,0.0,0.0,0.0,0.0,-0.5900514764789477,1.0,10.860215331831569,1.0,0
45,2024-12-25 12:54:54.039244,6.394034063894487,6.402141711697772,57.716727839336386,57.725029736525755,57.71672784110087,57.72502976899753,57.71692205232421,0.0,0.0,0.0,0.0,-0.5901297038235498,1.0,10.860145796414145,1.0,0
46,2024-12-25 12:55:01.478928,6.366129805199836,6.374237434007267,57.688823606180755,57.6971254355653,57.68882360794528,57.69712546803702,57.689017820254215,0.0,0.0,0.0,0.0,-0.5901441903688465,1.0,10.860131309868848,1.0,0
47,2024-12-25 12:55:09.470185,6.338225538027774,6.346333163540664,57.66091934712907,57.66922115788259,57.66091934889359,57.66922119035431,57.66111356155043,0.0,0.0,0.0,0.0,-0.5901441903688465,1.0,10.860128412559789,1.0,0
48,2024-12-25 12:55:17.523308,6.310321262924697,6.318428899486358,57.63301507962235,57.6413168874229,57.633015081386894,57.641316919894614,57.63320929436981,0.0,0.0,0.0,0.0,-0.5901470876779058,1.0,10.86012551525073,1.0,0
49,2024-12-25 12:55:25.628496,6.255008401184,6.27249366621929,57.60432351245095,57.613387959964136,57.604323523041586,57.613388011486016,57.60526358420576,0.0,0.0,0.0,0.0,-3.5420269631458723,1.0,17.231429823709732,1.0,0
50,2024-12-25 12:55:33.601374,6.202630499269493,6.223623474152589,57.549247303877046,57.56744775248662,57.549247309842414,57.567447808635464,57.549956262042514,0.0,0.0,0.0,0.0,-1.9951101967308205,1.0,18.778914462700413,1.0,0
51,2024-12-25 12:55:41.839682,6.151169082903468,6.173836809578895,57.496937075149255,57.518575953604895,57.496937079670474,57.51857601119857,57.49758003713526,0.0,0.0,0.0,0.0,-1.5121171873033745,1.0,19.262136359543547,1.0,0
52,2024-12-25 12:55:48.138379,6.100122041463667,6.123635772904091,57.44550526854556,57.46878855416582,57.44550527241386,57.468788612412744,57.446119370688045,0.0,0.0,0.0,0.0,-1.293749900810326,1.0,19.48061664108991,1.0,0
53,2024-12-25 12:55:56.561945,6.049279371558104,6.073230360537879,57.39447260512475,57.41858715314294,57.394472608671045,57.418587211712065,57.3950726972176,0.0,0.0,0.0,0.0,-1.1860540257657703,1.0,19.58837625693377,1.0,0
54,2024-12-25 12:56:05.200787,5.998541094770216,6.022720551911295,57.34363722163824,57.36818155417986,57.34363722502006,57.36818161291356,57.34423021478595,0.0,0.0,0.0,0.0,-1.1310457159652287,1.0,19.643416437133965,1.0,0
55,2024-12-25 12:56:13.316030,6.39820866138792,6.0208804782284,57.5578035000441,57.3177204646402,57.557802187026006,57.31772044665572,57.29578832703878,0.0,0.0,465.97210450020236,1.0,439.13735195133086,1.0,-6.014888937215801,1.0,0
56,2024-12-25 12:56:21.446228,6.75652412537456,6.042967635350312,57.91273060964743,57.31589106866735,57.912729382995444,57.31589101296262,57.695044359803205,0.0,0.0,449.70301468022546,1.0,410.25230768298115,1.0,-18.630381016464526,1.0,0
57,2024-12-25 12:56:29.456517,7.084168549011697,6.0804582719811116,58.24034195284134,57.33799578302682,58.240340793094525,57.33799570303821,58.0530794733429,0.0,0.0,435.4481556036672,1.0,387.875952324066,1.0,-26.75209749043006,1.0,0
58,2024-12-25 12:56:37.591036,6.941765528680872,6.1216131995922085,58.358968087175946,57.375491716580925,58.35896823502058,57.37549163081546,58.378836181032945,0.0,0.0,0.0,0.0,-49.446464389006906,1.0,-28.684156447411624,1.0,0
59,2024-12-25 12:56:44.637489,6.807740299740421,6.15439033413252,58.2193634708487,57.41663515677325,58.21936360551942,57.41663508421564,58.23646846393061,0.0,0.0,0.0,0.0,-45.04046565898534,1.0,-24.266806060495583,1.0,0
60,2024-12-25 12:56:52.641280,6.682117049911892,6.17876549048489,58.08795061948101,57.44940303871753,58.08795074090625,57.4494029794058,58.1024768005402,0.0,0.0,0.0,0.0,-40.61052646420649,1.0,-19.83673938411812,1.0,0
61,2024-12-25 12:57:00.623364,6.530286915247601,6.172049229884559,57.960189097634064,57.47376435077599,57.96018921702283,57.47376432865702,57.97674278717408,0.0,0.0,0.0,0.0,-39.92943284515604,1.0,-7.397661556183266,1.0,0
