iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,T1,T2,P1,J1,J2
70.0,2025-12-25 20:10:49.844513,False,0.0,0,0,6.259947299957275,6.202429294586182,0.0,56.92904281616211,56.9344596862793
71.0,2025-12-25 20:10:55.483886,False,0.0,0,0,6.159811973571777,6.113108158111572,0.0,56.83354187011719,56.83948516845703
72.0,2025-12-25 20:11:00.520165,False,0.0,0,0,6.060006141662598,6.023457050323486,0.0,56.68000793457031,56.6872673034668
73.0,2025-12-25 20:11:05.648564,False,0.0,0,1,5.955537796020508,5.928805828094482,0.0,56.579681396484375,56.58745574951172
74.0,2025-12-25 20:11:11.481533,False,0.0,0,1,5.851354122161865,5.833868980407715,1.0,78.33712768554688,68.62881469726562
75.0,2025-12-25 20:11:16.866660,False,0.0,0,1,5.9991583824157715,5.965794086456299,1.0,78.35038757324219,68.69146728515625
76.0,2025-12-25 20:11:23.368479,False,0.0,0,0,6.145962238311768,6.097298622131348,1.0,78.36361694335938,68.75393676757812
77.0,2025-12-25 20:11:29.065488,False,0.0,0,0,6.291775226593018,6.228377819061279,0.0,56.900325775146484,56.90625
78.0,2025-12-25 20:11:33.984869,False,0.0,0,0,6.186522483825684,6.134510517120361,0.0,56.79995346069336,56.80643081665039
79.0,2025-12-25 20:11:39.553775,False,0.0,0,0,6.081603050231934,6.040310382843018,0.0,56.6995964050293,56.70661163330078
80.0,2025-12-25 20:11:44.796466,False,0.0,0,1,5.976996421813965,5.945796966552734,0.0,56.59925842285156,56.60679626464844
81.0,2025-12-25 20:11:50.333325,False,0.0,0,1,5.872683525085449,5.850990295410156,1.0,78.33895874023438,68.63700866699219
82.0,2025-12-25 20:11:55.313560,False,0.0,0,0,6.020318984985352,5.9828877449035645,1.0,78.35221099853516,68.69964599609375
83.0,2025-12-25 20:12:00.286560,False,0.0,0,0,6.166956424713135,6.114363670349121,0.0,56.7801399230957,56.78658676147461
84.0,2025-12-25 20:12:05.527866,False,0.0,0,0,6.062020301818848,6.0201802253723145,0.0,56.03413009643555,56.05010986328125
85.0,2025-12-25 20:12:10.551768,False,0.0,0,1,5.911645889282227,5.882704257965088,0.0,55.8891487121582,55.90583801269531
86.0,2025-12-25 20:12:16.370039,False,0.0,0,1,5.761544227600098,5.744955539703369,1.0,78.17920684814453,67.7701416015625
87.0,2025-12-25 20:12:21.798073,False,0.0,0,1,5.8703460693359375,5.844066619873047,1.0,78.18913269042969,67.8185806274414
88.0,2025-12-25 20:12:27.422488,False,0.0,0,1,5.9783935546875,5.942868232727051,1.0,78.19902801513672,67.86688232421875
89.0,2025-12-25 20:12:32.830758,False,0.0,0,0,6.085696220397949,6.041355133056641,1.0,78.20889282226562,67.91503143310547
90.0,2025-12-25 20:12:38.423262,False,0.0,0,0,6.192263126373291,6.139521598815918,0.0,56.15979766845703,56.17518997192383
91.0,2025-12-25 20:12:44.350075,False,0.0,0,0,6.0416579246521,6.00227689743042,0.0,56.01479721069336,56.030914306640625
92.0,2025-12-25 20:12:49.893630,False,0.0,0,1,5.891335487365723,5.864748954772949,0.0,55.86981964111328,55.88663864135742
93.0,2025-12-25 20:12:55.186085,False,0.0,0,1,5.741283893585205,5.726950645446777,1.0,78.17738342285156,67.7613296508789
94.0,2025-12-25 20:13:00.590684,False,0.0,0,1,5.85023307800293,5.826109409332275,1.0,78.18731689453125,67.8097915649414
95.0,2025-12-25 20:13:05.582032,False,0.0,0,1,5.958425998687744,5.924960613250732,1.0,78.19721221923828,67.85811614990234
96.0,2025-12-25 20:13:10.584895,False,0.0,0,0,6.0658721923828125,6.02349853515625,1.0,78.20194244384766,67.87738037109375
97.0,2025-12-25 20:13:16.031815,False,0.0,0,0,6.171146869659424,6.1205315589904785,0.0,56.112831115722656,56.12871551513672
98.0,2025-12-25 20:13:20.661116,False,0.0,0,0,6.018950939178467,5.981708526611328,0.0,55.96623992919922,55.98284912109375
99.0,2025-12-25 20:13:26.207066,False,0.0,0,1,5.867034912109375,5.842604637145996,0.0,55.81967544555664,55.83699035644531
100.0,2025-12-25 20:13:31.569686,False,0.0,0,1,5.71538782119751,5.703232288360596,1.0,78.16986846923828,67.72066497802734
101.0,2025-12-25 20:13:36.377873,False,0.0,0,1,5.823086738586426,5.801276683807373,1.0,78.1796875,67.76863098144531
102.0,2025-12-25 20:13:41.506303,False,0.0,0,1,5.930037021636963,5.89901876449585,1.0,78.18946838378906,67.81645202636719
103.0,2025-12-25 20:13:46.979666,False,0.0,0,0,6.036248207092285,5.996451377868652,1.0,78.19922637939453,67.8641357421875
104.0,2025-12-25 20:13:52.179839,False,0.0,0,0,6.14172887802124,6.093569755554199,0.0,56.08444595336914,56.100460052490234
105.0,2025-12-25 20:13:57.960489,False,0.0,0,1,5.989584445953369,5.954695224761963,0.0,55.93785858154297,55.954593658447266
106.0,2025-12-25 20:14:03.668256,False,0.0,0,1,5.8377180099487305,5.815541744232178,1.0,78.18106079101562,67.77558135986328
107.0,2025-12-25 20:14:09.556284,False,0.0,0,1,5.944581985473633,5.913222312927246,1.0,78.19084167480469,67.82337951660156
108.0,2025-12-25 20:14:14.812073,False,0.0,0,0,6.0507073402404785,6.010593891143799,1.0,78.3224105834961,68.53959655761719
109.0,2025-12-25 20:14:20.676185,False,0.0,0,0,6.188808441162109,6.134944438934326,0.0,56.68117904663086,56.68921661376953
110.0,2025-12-25 20:14:26.225303,False,0.0,0,0,6.074161052703857,6.031618595123291,0.0,56.57133102416992,56.57994842529297
111.0,2025-12-25 20:14:32.182939,False,0.0,0,1,5.9598188400268555,5.927987098693848,0.0,56.46150588989258,56.47068786621094
112.0,2025-12-25 20:14:37.630253,False,0.0,0,1,5.845765113830566,5.82406759262085,1.0,78.30382537841797,68.45055389404297
113.0,2025-12-25 20:14:43.266636,False,0.0,0,1,5.985222816467285,5.949052333831787,1.0,78.31637573242188,68.5102767944336
114.0,2025-12-25 20:14:48.557090,False,0.0,0,0,6.12373161315918,6.073640823364258,1.0,78.32889556884766,68.56982421875
115.0,2025-12-25 20:14:54.379592,False,0.0,0,0,6.2613019943237305,6.197827339172363,0.0,56.74957275390625,56.75713348388672
116.0,2025-12-25 20:14:59.648940,False,0.0,0,0,6.146394729614258,6.094760894775391,0.0,56.639713287353516,56.64786148071289
117.0,2025-12-25 20:15:05.451917,False,0.0,0,0,6.0318074226379395,5.991374969482422,0.0,56.529869079589844,56.538597106933594
118.0,2025-12-25 20:15:10.898581,False,0.0,0,1,5.917522430419922,5.887686729431152,0.0,56.420047760009766,56.42933654785156
119.0,2025-12-25 20:15:16.545513,False,0.0,0,1,5.803522109985352,5.783713340759277,1.0,78.29991912841797,68.43135833740234
120.0,2025-12-25 20:15:22.664668,False,0.0,0,1,5.943233013153076,5.908863067626953,1.0,78.38868713378906,68.89373016357422
121.0,2025-12-25 20:15:28.352725,False,0.0,0,0,6.101254463195801,6.0499043464660645,1.0,78.4028549194336,68.96015930175781
122.0,2025-12-25 20:15:34.108827,False,0.0,0,0,6.2582197189331055,6.190485000610352,0.0,57.009090423583984,57.01288604736328
123.0,2025-12-25 20:15:39.405049,False,0.0,0,0,6.165506362915039,6.1089348793029785,0.0,56.92122268676758,56.92552185058594
124.0,2025-12-25 20:15:45.429707,False,0.0,0,0,6.0731611251831055,6.027016639709473,0.0,56.833370208740234,56.838157653808594
125.0,2025-12-25 20:15:50.795029,False,0.0,0,1,5.981158256530762,5.944756031036377,0.0,56.74552917480469,56.750797271728516
126.0,2025-12-25 20:15:56.094350,False,0.0,0,1,5.889473915100098,5.862176418304443,1.0,78.3839340209961,68.87171173095703
127.0,2025-12-25 20:16:01.368909,False,0.0,0,0,6.0478692054748535,6.003353118896484,1.0,78.39811706542969,68.93819427490234
128.0,2025-12-25 20:16:06.878705,False,0.0,0,0,6.205204963684082,6.144071102142334,0.0,56.95895004272461,56.963035583496094
129.0,2025-12-25 20:16:12.193180,False,0.0,0,0,6.112709045410156,6.06230354309082,0.0,56.87108612060547,56.87567138671875
130.0,2025-12-25 20:16:17.150115,False,0.0,0,0,6.020566463470459,5.980182647705078,0.0,56.783241271972656,56.78831100463867
131.0,2025-12-25 20:16:22.557058,False,0.0,0,1,5.928752422332764,5.897733211517334,0.0,56.69540786743164,56.700950622558594
132.0,2025-12-25 20:16:27.665865,False,0.0,0,1,5.837244033813477,5.814978122711182,1.0,78.34205627441406,68.65425872802734
133.0,2025-12-25 20:16:33.204875,False,0.0,0,1,5.986696243286133,5.948434829711914,1.0,78.35545349121094,68.7175521850586
134.0,2025-12-25 20:16:38.791474,False,0.0,0,0,6.135140419006348,6.081464767456055,1.0,78.36882019042969,68.78065490722656
135.0,2025-12-25 20:16:44.232097,False,0.0,0,0,6.282585620880127,6.214061737060547,0.0,56.91147994995117,56.91685485839844
136.0,2025-12-25 20:16:49.268809,False,0.0,0,0,6.179075717926025,6.122159481048584,0.0,56.812965393066406,56.81888961791992
137.0,2025-12-25 20:16:54.324599,False,0.0,0,0,6.075911521911621,6.029911994934082,0.0,56.7144660949707,56.72092819213867
138.0,2025-12-25 20:17:00.182049,False,0.0,0,1,5.973071098327637,5.937339782714844,0.0,56.61598205566406,56.62297058105469
