iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,T41MiM
126,2024-12-24 16:12:03.209503,10.668000000000001,10.668000000000001,79.06987234227765,78.9425672274648,78.97336389888316,78.89249380180352,78.97336389888314,0.0,0.0,33.16240565449314,1.0,1
127,2024-12-24 16:12:10.362499,10.668000000000001,10.668000000000001,79.06987228105426,78.94256713061732,78.97336373442067,78.89249367486119,78.9733637344206,0.0,0.0,33.162417052579414,1.0,1
128,2024-12-24 16:12:17.102186,10.668000000000001,10.668000000000001,79.06987229661082,78.94256715522576,78.9733637762098,78.89249370711661,78.97336377620974,0.0,0.0,33.16241415638292,1.0,1
129,2024-12-24 16:12:24.019007,10.668000000000001,10.668000000000001,79.06987231974429,78.94256719181998,78.97336383835258,78.89249375508227,78.97336383835254,0.0,0.0,33.16240984957646,1.0,1
130,2024-12-24 16:12:30.221515,10.668000000000001,10.668000000000001,79.06987230109212,78.94256716231462,78.97336378824774,78.89249371640824,78.9733637882477,0.0,0.0,33.16241332208829,1.0,1
131,2024-12-24 16:12:36.501083,10.668000000000001,10.668000000000001,79.06987232477258,78.94256719977405,78.9733638518599,78.89249376550805,78.97336385185986,0.0,0.0,33.162408913450115,1.0,1
132,2024-12-24 16:12:42.897051,10.668000000000001,10.668000000000001,79.06987233282348,78.94256721250956,78.97336387348672,78.892493782201,78.97336387348668,0.0,0.0,33.16240741459681,1.0,1
133,2024-12-24 16:12:49.494822,10.668000000000001,10.668000000000001,79.04825549176826,78.89086780712347,78.92894167048405,78.82896147910814,78.928941670484,0.0,0.0,37.18686078252647,1.0,1
134,2024-12-24 16:12:55.708082,10.668000000000001,10.668000000000001,79.04825533107476,78.89086754334244,78.92894121104122,78.82896112823961,78.92894121104115,0.0,0.0,37.18689069917502,1.0,1
135,2024-12-24 16:13:02.273704,10.668000000000001,10.668000000000001,79.0482553370137,78.89086755309123,78.92894122802132,78.82896114120697,78.92894122802123,0.0,0.0,37.186889593506834,1.0,1
136,2024-12-24 16:13:08.913276,10.668000000000001,10.668000000000001,79.04825546684158,78.890867766206,78.92894159921568,78.82896142468174,78.92894159921563,0.0,0.0,37.18686542317247,1.0,1
137,2024-12-24 16:13:15.376129,10.668000000000001,10.668000000000001,79.04825542753149,78.89086770167775,78.9289414868231,78.82896133884945,78.92894148682306,0.0,0.0,37.1868727416187,1.0,1
138,2024-12-24 16:13:22.080175,10.668000000000001,10.668000000000001,79.04825539729073,78.89086765203702,78.92894140036094,78.82896127281981,78.92894140036087,0.0,0.0,37.18687837160592,1.0,1
139,2024-12-24 16:13:29.257285,10.668000000000001,10.668000000000001,79.04825545838455,78.89086775232354,78.92894157503581,78.82896140621597,78.92894157503578,0.0,0.0,37.18686699763975,1.0,1
140,2024-12-24 16:13:36.130717,10.668000000000001,10.668000000000001,79.04825538855995,78.8908676377053,78.92894137539852,78.82896125375646,78.92894137539845,0.0,0.0,37.18687999703397,1.0,1
141,2024-12-24 16:13:42.946600,10.668000000000001,10.668000000000001,79.04825547894798,78.89086778607876,78.92894163382928,78.82896145111555,78.92894163382924,0.0,0.0,37.18686316930361,1.0,1
