iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,ScadaCommand_V2,T41,T42,P1,J2,J13,V1F,V2F
133.0,2025-01-02 17:50:28.233288,0.0,0,1,,,5.918398380279541,5.736508846282959,0.0,57.20381164550781,57.06755828857422,-25.81745147705078,7.734065055847168
134.0,2025-01-02 17:50:39.271573,0.0,0,1,,,5.790942192077637,5.715652942657471,1.0,57.337738037109375,57.031497955322266,442.3853759765625,-0.28773754835128784
135.0,2025-01-02 17:50:50.154354,0.0,0,1,,,6.158376693725586,5.716555118560791,1.0,57.66471481323242,57.01065444946289,415.6069641113281,-11.757048606872559
136.0,2025-01-02 17:51:00.926507,0.0,0,1,,,6.487659454345703,5.732077598571777,1.0,57.96530532836914,57.01156234741211,394.3463134765625,-19.466909408569336
137.0,2025-01-02 17:51:11.883343,0.0,0,1,,,6.787806987762451,5.758725166320801,1.0,58.24320602416992,57.02709197998047,376.3887939453125,-25.332847595214844
138.0,2025-01-02 17:51:22.949853,0.0,0,0,,,7.063878536224365,5.758725166320801,1.0,58.50102615356445,57.053749084472656,360.4713439941406,-30.0325870513916
139.0,2025-01-02 17:51:34.060410,0.0,0,0,,,7.319021701812744,5.831411838531494,0.0,58.57908630371094,57.08931350708008,-64.40459442138672,-30.85764503479004
140.0,2025-01-02 17:51:45.025472,0.0,0,0,,,6.926603317260742,5.859643936157227,0.0,58.38227844238281,57.12643051147461,-59.722740173339844,-26.168209075927734
141.0,2025-01-02 17:51:56.123791,0.0,0,0,,,6.743773460388184,5.878942966461182,0.0,58.19417190551758,57.1546516418457,-55.012752532958984,-21.45815086364746
142.0,2025-01-02 17:52:06.562527,0.0,0,0,,,6.569937705993652,5.889248371124268,0.0,58.01481246948242,57.173946380615234,-50.27080154418945,-16.716157913208008
143.0,2025-01-02 17:52:18.119334,0.0,0,0,,,6.405188083648682,5.890467643737793,0.0,57.84425735473633,57.18424987792969,-45.48017883300781,-11.925556182861328
144.0,2025-01-02 17:52:28.292372,0.0,0,0,,,6.405188083648682,5.88245964050293,0.0,57.682613372802734,57.18546676635742,-40.61496353149414,-7.060455322265625
145.0,2025-01-02 17:52:39.089936,0.0,0,0,,,6.115151405334473,5.872569561004639,0.0,57.531517028808594,57.17745590209961,-34.37818145751953,-4.748477935791016
146.0,2025-01-02 17:52:49.511453,0.0,0,0,,,6.115151405334473,5.853196620941162,0.0,57.399559020996094,57.16756057739258,-29.378589630126953,0.2498784214258194
147.0,2025-01-02 17:53:00.379397,0.0,0,1,,,5.875156402587891,5.823754787445068,0.0,57.27696228027344,57.14817810058594,-24.069902420043945,5.5561723709106445
148.0,2025-01-02 17:53:11.226358,0.0,0,1,,,5.875156402587891,5.810220718383789,1.0,57.423118591308594,57.118751525878906,439.7728271484375,-2.8266234397888184
149.0,2025-01-02 17:53:21.138379,0.0,0,1,,,6.250113487243652,5.818472385406494,1.0,57.757137298583984,57.105220794677734,412.6503601074219,-14.313468933105469
150.0,2025-01-02 17:53:31.815753,0.0,0,1,,,6.586538791656494,5.841350555419922,1.0,58.0648193359375,57.11348342895508,391.3829650878906,-22.025474548339844
151.0,2025-01-02 17:53:42.052162,0.0,0,1,,,6.893819332122803,5.875343322753906,1.0,58.34953689575195,57.136375427246094,373.13409423828125,-27.886058807373047
152.0,2025-01-02 17:53:52.667537,0.0,0,0,,,7.176715850830078,5.918230056762695,1.0,58.61391830444336,57.170379638671875,356.9415588378906,-32.57530975341797
153.0,2025-01-02 17:54:03.210520,0.0,0,0,,,7.4383978843688965,5.962737083435059,0.0,58.700782775878906,57.2132682800293,-63.051212310791016,-33.4298210144043
154.0,2025-01-02 17:54:13.603237,0.0,0,0,,,7.249485969543457,5.998508930206299,0.0,58.515533447265625,57.25776290893555,-58.453670501708984,-28.8239688873291
155.0,2025-01-02 17:54:24.482759,0.0,0,0,,,6.897891998291016,6.025521278381348,0.0,58.33882522583008,57.29352569580078,-53.83503723144531,-24.20524024963379
156.0,2025-01-02 17:54:35.185175,0.0,0,0,,,6.897891998291016,6.025521278381348,0.0,58.170684814453125,57.32052993774414,-49.19432830810547,-19.564453125
157.0,2025-01-02 17:54:45.989023,0.0,0,0,,,6.589445114135742,6.058239459991455,0.0,58.0123291015625,57.33873748779297,-43.655052185058594,-16.709430694580078
158.0,2025-01-02 17:54:56.337598,0.0,0,0,,,6.589445114135742,6.063935279846191,0.0,57.8692741394043,57.353240966796875,-39.00898361206055,-12.063334465026855
159.0,2025-01-02 17:55:07.302335,0.0,0,0,,,6.32435941696167,6.0606770515441895,0.0,57.7348518371582,57.35893630981445,-34.288211822509766,-7.342618465423584
160.0,2025-01-02 17:55:18.827536,0.0,0,0,,,6.32435941696167,6.0482258796691895,0.0,57.609214782714844,57.355674743652344,-29.440950393676758,-2.4956753253936768
161.0,2025-01-02 17:55:29.809445,0.0,0,0,,,6.20548677444458,6.026137351989746,0.0,57.49263381958008,57.34321594238281,-24.360023498535156,2.5739433765411377
162.0,2025-01-02 17:55:40.870546,0.0,0,1,,,5.997652053833008,5.993412494659424,0.0,57.38560485839844,57.32111358642578,-18.752479553222656,8.190718650817871
