iteration,timestamp,P2
76,2025-12-04 17:27:49.512099,0
77,2025-12-04 17:27:52.862868,0
78,2025-12-04 17:27:55.871608,0
79,2025-12-04 17:27:58.914509,0
80,2025-12-04 17:28:01.516732,1
81,2025-12-04 17:28:04.559035,1
82,2025-12-04 17:28:07.546693,1
83,2025-12-04 17:28:10.543040,1
84,2025-12-04 17:28:13.563023,1
85,2025-12-04 17:28:16.651893,0
86,2025-12-04 17:28:19.516696,0
87,2025-12-04 17:28:22.484207,0
88,2025-12-04 17:28:25.042878,0
89,2025-12-04 17:28:28.021434,0
90,2025-12-04 17:28:30.906625,1
91,2025-12-04 17:28:33.897544,1
92,2025-12-04 17:28:37.043742,1
93,2025-12-04 17:28:39.678796,1
94,2025-12-04 17:28:42.683272,1
95,2025-12-04 17:28:45.522790,0
96,2025-12-04 17:28:48.364032,0
97,2025-12-04 17:28:51.330021,0
98,2025-12-04 17:28:54.417325,0
99,2025-12-04 17:28:57.280672,0
100,2025-12-04 17:29:00.259287,1
101,2025-12-04 17:29:03.176262,1
102,2025-12-04 17:29:05.980240,1
103,2025-12-04 17:29:08.706584,1
104,2025-12-04 17:29:11.643972,1
105,2025-12-04 17:29:14.688912,0
106,2025-12-04 17:29:17.594428,0
107,2025-12-04 17:29:20.476165,0
108,2025-12-04 17:29:23.028371,0
109,2025-12-04 17:29:26.158079,0
110,2025-12-04 17:29:29.379661,1
111,2025-12-04 17:29:32.218852,1
112,2025-12-04 17:29:35.255849,1
113,2025-12-04 17:29:38.299608,1
114,2025-12-04 17:29:41.084775,1
115,2025-12-04 17:29:43.974520,0
116,2025-12-04 17:29:46.890966,0
117,2025-12-04 17:29:50.052108,0
118,2025-12-04 17:29:52.973562,0
119,2025-12-04 17:29:55.854066,0
120,2025-12-04 17:29:59.040743,1
121,2025-12-04 17:30:02.062867,1
122,2025-12-04 17:30:04.890602,1
123,2025-12-04 17:30:07.769833,1
124,2025-12-04 17:30:10.749365,1
125,2025-12-04 17:30:13.542226,0
126,2025-12-04 17:30:16.362823,0
127,2025-12-04 17:30:19.336806,0
128,2025-12-04 17:30:22.234529,0
129,2025-12-04 17:30:24.652093,0
130,2025-12-04 17:30:27.531029,1
131,2025-12-04 17:30:30.145592,1
132,2025-12-04 17:30:32.896141,1
133,2025-12-04 17:30:35.497696,1
134,2025-12-04 17:30:38.428852,1
135,2025-12-04 17:30:41.447815,0
136,2025-12-04 17:30:44.026799,0
137,2025-12-04 17:30:46.938785,0
138,2025-12-04 17:30:49.972501,0
139,2025-12-04 17:30:53.163086,0
140,2025-12-04 17:30:56.561522,1
141,2025-12-04 17:30:58.958670,1
142,2025-12-04 17:31:01.856641,1
143,2025-12-04 17:31:04.574800,1
144,2025-12-04 17:31:07.683829,1
145,2025-12-04 17:31:09.955256,0
146,2025-12-04 17:31:12.991617,0
147,2025-12-04 17:31:15.929745,0
148,2025-12-04 17:31:19.084711,0
149,2025-12-04 17:31:22.136646,0
150,2025-12-04 17:31:24.796181,1
151,2025-12-04 17:31:27.842797,1
152,2025-12-04 17:31:30.812149,1
153,2025-12-04 17:31:33.899098,1
154,2025-12-04 17:31:36.998943,1
155,2025-12-04 17:31:40.032626,0
156,2025-12-04 17:31:43.163308,0
157,2025-12-04 17:31:46.015651,0
158,2025-12-04 17:31:48.583569,0
159,2025-12-04 17:31:51.554054,0
160,2025-12-04 17:31:54.470814,1
161,2025-12-04 17:31:57.382444,1
162,2025-12-04 17:32:00.431941,1
163,2025-12-04 17:32:03.177060,1
164,2025-12-04 17:32:06.113146,1
165,2025-12-04 17:32:09.157802,0
166,2025-12-04 17:32:11.565151,0
167,2025-12-04 17:32:14.194562,0
168,2025-12-04 17:32:16.965818,0
169,2025-12-04 17:32:19.741073,0
170,2025-12-04 17:32:22.597705,1
171,2025-12-04 17:32:25.502543,1
172,2025-12-04 17:32:28.495157,1
173,2025-12-04 17:32:31.743559,1
174,2025-12-04 17:32:34.783018,1
175,2025-12-04 17:32:37.922322,0
176,2025-12-04 17:32:40.870750,0
177,2025-12-04 17:32:44.020851,0
178,2025-12-04 17:32:47.254812,0
179,2025-12-04 17:32:50.404630,0
180,2025-12-04 17:32:53.561907,1
181,2025-12-04 17:32:56.619002,1
182,2025-12-04 17:32:59.662701,1
183,2025-12-04 17:33:02.611397,1
184,2025-12-04 17:33:05.441249,1
185,2025-12-04 17:33:08.468988,0
186,2025-12-04 17:33:11.130649,0
187,2025-12-04 17:33:14.007296,0
188,2025-12-04 17:33:16.787622,0
189,2025-12-04 17:33:19.531730,0
190,2025-12-04 17:33:22.510954,1
191,2025-12-04 17:33:25.535747,1
192,2025-12-04 17:33:28.464730,1
193,2025-12-04 17:33:31.356760,1
194,2025-12-04 17:33:34.660820,1
195,2025-12-04 17:33:37.786401,0
196,2025-12-04 17:33:40.458605,0
