iteration,timestamp,J1,P1F,V1F,P1
92,2025-12-04 17:28:37.031317,69.27639095969792,209.33118683109353,214.3181464225563,1
93,2025-12-04 17:28:39.668216,69.28575682089209,208.83754135401463,213.77010303012867,1
94,2025-12-04 17:28:42.664047,69.2950643292509,208.3469714737927,213.22495694676036,1
95,2025-12-04 17:28:45.544979,56.27024198650885,0.0,-13.974017118698612,0
96,2025-12-04 17:28:48.344688,56.10025732951349,0.0,-14.221354598475955,0
97,2025-12-04 17:28:51.311015,55.95521730073136,0.0,-14.250591344193708,0
98,2025-12-04 17:28:54.353090,55.81015605956251,0.0,-14.278672063596787,0
99,2025-12-04 17:28:57.373871,55.665075607261365,0.0,-14.305637319012021,0
100,2025-12-04 17:29:00.290741,69.19972521694916,213.37200020321382,218.5437905609433,1
101,2025-12-04 17:29:03.240663,69.20933788117512,212.86534650427043,217.98295844632776,1
102,2025-12-04 17:29:06.011627,69.21887533972728,212.36265666299457,217.42592180657994,1
103,2025-12-04 17:29:08.736755,69.22834642816912,211.86346498425854,216.87221127763223,1
104,2025-12-04 17:29:11.683635,69.23775629521928,211.36750009508035,216.3215371285787,1
105,2025-12-04 17:29:14.728954,55.86554156066745,0.0,-14.131735034652593,0
106,2025-12-04 17:29:17.598953,55.720564038478585,0.0,-14.16453257320427,0
107,2025-12-04 17:29:20.408475,55.57556250347794,0.0,-14.196029219988304,0
108,2025-12-04 17:29:23.060117,55.97741255396904,0.0,-9.114908224887586,0
109,2025-12-04 17:29:26.203427,55.87003850923452,0.0,-9.219335935313211,0
110,2025-12-04 17:29:29.438618,69.28549934833347,208.85111193352643,220.20481784466028,1
111,2025-12-04 17:29:32.218167,69.2988277131206,208.14861518948854,219.44296463288993,1
112,2025-12-04 17:29:35.300625,69.31213876226357,207.44703109931385,218.6802248445474,1
113,2025-12-04 17:29:38.225548,69.32543083199114,206.74644735522475,217.9167433450857,1
114,2025-12-04 17:29:41.020807,69.33870265897092,206.04693054355036,217.15262443763095,1
115,2025-12-04 17:29:44.031150,56.25197079142547,0.0,-8.493105138427381,0
116,2025-12-04 17:29:46.904253,56.14521712885401,0.0,-8.627496819144653,0
117,2025-12-04 17:29:50.078859,56.03832412942495,0.0,-8.755468062986438,0
118,2025-12-04 17:29:52.931071,55.93130127383821,0.0,-8.877279627768075,0
119,2025-12-04 17:29:55.898844,55.82415708986686,0.0,-8.993224141704559,0
120,2025-12-04 17:29:59.032612,69.36375841036383,204.72631964685849,219.51674171077684,1
121,2025-12-04 17:30:02.097546,69.37921263385097,203.9117754882339,218.62882078721668,1
122,2025-12-04 17:30:04.927761,69.39463123863514,203.09910868090375,217.74176905637432,1
123,2025-12-04 17:30:07.791393,69.41001371299836,202.28834619592965,216.85563866981283,1
124,2025-12-04 17:30:10.749403,69.4253589895752,201.47954429083748,215.9705223414221,1
125,2025-12-04 17:30:13.519850,56.549443113272126,0.0,-4.933056912932443,0
126,2025-12-04 17:30:16.362961,56.46635751013383,0.0,-5.167260890743819,0
127,2025-12-04 17:30:19.334816,56.382952578007874,0.0,-5.388673249058229,0
128,2025-12-04 17:30:22.258840,56.299253718652125,0.0,-5.597899525469074,0
129,2025-12-04 17:30:24.652922,56.21528527912185,0.0,-5.795536565642578,0
130,2025-12-04 17:30:27.544638,69.38402558189257,203.65809993369697,218.30682544759838,1
131,2025-12-04 17:30:30.153682,69.3993957221596,202.84798754065767,217.42450791975898,1
132,2025-12-04 17:30:32.862825,69.37375673797041,204.19933882800836,217.0758863098854,1
133,2025-12-04 17:30:35.509435,69.38803981164048,203.44652234163908,216.25484686865093,1
134,2025-12-04 17:30:38.461242,69.40229191868964,202.6953380097547,215.43418407759418,1
135,2025-12-04 17:30:41.575420,56.55765577093355,0.0,-6.775455743763814,0
