iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2,ScadaCommand_PU1,T1S,ScadaCommand_PU2
154,2025-02-21 00:10:39.174983,4.363547325134277,92.7163962552709,92.7342649858259,2.97701965482868,36.8686601012606,1,1,1.0,4.357957363128662,1.0
155,2025-02-21 00:11:27.535178,4.369143009185791,92.7099429431515,92.727809814305,2.97702262086358,36.8720736039291,1,1,1.0,4.363547325134277,1.0
156,2025-02-21 00:12:16.579527,4.374744892120361,92.7034844845915,92.7213494949249,2.97702558256793,36.8754897372032,1,1,1.0,4.369143009185791,1.0
157,2025-02-21 00:13:05.343137,4.383214473724365,92.1819898077528,92.1997047760297,2.97726437561481,37.1510482612924,1,1,1.0,4.383214473724365,1.0
158,2025-02-21 00:13:54.478292,4.3916707038879395,92.1733678628808,92.191080354284,2.9772683137362,37.1555990987358,1,1,1.0,4.383214473724365,1.0
159,2025-02-21 00:14:44.033983,4.400130748748779,92.1638187874818,92.1815285354969,2.97727267210717,37.1606394978059,1,1,1.0,4.3916707038879395,1.0
160,2025-02-21 00:15:37.399180,4.408594131469727,92.1542645572675,92.1719715605671,2.97727703924889,37.1656824206305,1,1,1.0,4.408594131469727,1.0
161,2025-02-21 00:16:27.411047,4.4170613288879395,92.1447139676707,92.1624182274418,2.97728139943564,37.1707232299709,1,1,1.0,4.408594131469727,1.0
162,2025-02-21 00:17:15.149935,4.42553186416626,92.1351538086944,92.1528553223288,2.97728576928431,37.1757689089047,1,1,1.0,4.42553186416626,1.0
163,2025-02-21 00:18:04.980896,4.434006214141846,92.1255909026155,92.1432896694652,2.97729012938444,37.1808158397012,1,1,1.0,4.42553186416626,1.0
164,2025-02-21 00:18:53.508904,4.442483901977539,92.1160265138217,92.1337225336021,2.97729449854874,37.1858633744268,1,1,1.0,4.434006214141846,1.0
165,2025-02-21 00:19:41.310382,4.45096492767334,92.1064616260486,92.1241548987577,2.97729886601971,37.1909109835491,1,1,1.0,4.442483901977539,1.0
166,2025-02-21 00:20:31.912820,4.459449291229248,92.0968837930254,92.1145743150864,2.97730323536526,37.1959652329895,1,1,1.0,4.459449291229248,1.0
167,2025-02-21 00:21:20.869488,4.467937469482422,92.0873075999114,92.1049953719373,2.97730760554584,37.2010184308592,1,1,1.0,4.459449291229248,1.0
168,2025-02-21 00:22:09.045570,4.476428985595703,92.0777305931977,92.0954156150963,2.9773119784393,37.2060718729376,1,1,1.0,4.467937469482422,1.0
169,2025-02-21 00:22:59.658837,4.4832329750061035,92.4020739221243,92.4198521610359,2.97716373947892,37.0348230994873,1,1,1.0,4.4832329750061035,1.0
170,2025-02-21 00:23:51.632821,4.490026473999023,92.3950396662707,92.4128158818104,2.9771669604586,37.0385393629627,1,1,1.0,4.490026473999023,1.0
171,2025-02-21 00:24:42.515120,4.496826648712158,92.3872166757772,92.4049906411387,2.97717054127546,37.0426722250852,1,1,1.0,4.490026473999023,1.0
172,2025-02-21 00:25:30.292928,4.503632545471191,92.3793897509419,92.3971614650969,2.97717412216457,37.0468070271347,1,1,1.0,4.496826648712158,1.0
173,2025-02-21 00:26:18.619390,4.483136177062988,113.932647235694,0.0,2.99067798620378,25.2319729567685,1,0,1.0,4.503632545471191,0.0
174,2025-02-21 00:27:07.284981,4.462643146514893,113.962330099622,0.0,2.99067348702997,25.2150822925291,1,0,1.0,4.462643146514893,0.0
175,2025-02-21 00:27:58.488082,4.442178726196289,113.98917297253,0.0,2.99066942081646,25.1998062670834,1,0,1.0,4.442178726196289,0.0
