T41,V41F,J21,V41
5.97542432176505,-78.4230375478501,57.5966318254579,1
6.058607553816,-77.6657678790116,57.673320537669,1
6.14099734452433,-76.9249549256301,57.7494154393316,1
6.22261049741768,-76.1998251061868,57.824923111566,1
6.30346304122003,-75.4896685799622,57.8998500472864,1
6.38357029290906,-74.7938102739454,57.9742027942338,1
6.46294690778016,-74.1116359586158,58.0479878746387,1
6.54160690890939,-73.4425545829254,58.1212116336078,1
6.6195637402513,-72.78602435008,58.1938804516982,1
6.69683029314356,-72.1415324363761,58.266000549764,1
6.77341893735085,-71.5085862992737,58.3375780387207,1
6.84934155732347,-70.8867455477957,58.4086189784305,1
6.91473718229411,-61.05799541956,58.402379026,1
6.97958205266278,-60.5437694184729,58.4637646174617,1
7.04388565104535,-60.0384004911803,58.5246964532293,1
6.94106287754432,96.002631206602,57.7422954675056,1
6.83854305003523,95.7197814096844,57.642723689991,1
6.73630753007987,95.4543299536681,57.543247626713,1
6.63433886292935,95.2051787584196,57.4438624491057,1
6.53262075527112,94.9712413330417,57.3445643114103,1
6.43113797836728,94.7515181059089,57.2453493226248,1
6.32987629012525,94.5450993219765,57.1462136760646,1
6.22882235309066,94.351124480454,57.047153549271,1
6.12796368463658,94.1688026159682,56.9481653814459,1
6.03924736911037,82.8318437703501,56.9690332164628,1
5.95068832201236,82.685005249914,56.8818060223483,1
6.03430132427108,-78.0670306971842,57.6524480912803,1
6.11714411352175,-77.347906999421,57.7291490526623,1
6.19923174481011,-76.6428323532864,57.8052678360513,1
6.28057861358634,-75.9512041184962,57.8808106445653,1
6.36119852649827,-75.272466011711,57.9557838519068,1
6.44110473721523,-74.6061052092273,58.0301937587693,1
6.52030996948523,-73.9516233738868,58.1040465006233,1
6.59882644796327,-73.3085540389311,58.1773481238383,1
6.67666593418506,-72.6764655053103,58.250104644982,1
6.75383975075936,-72.0549434578288,58.3223219715792,1
6.83759888612456,-78.2034678780974,58.456917110966,1
6.92065019594466,-77.542591681663,58.5343125432919,1
7.0030042969423,-76.8916271795206,58.611140602618,1
7.08467146936729,-76.2502643596008,58.6874069566859,1
7.16566166095285,-75.6181845179071,58.7631170735016,1
7.24598448728832,-74.9950892316065,58.8382761985919,1
7.32564927699972,-74.38069746172,58.912889740027,1
7.40466506308562,-73.7747397585053,58.9869628351765,1
7.48304060299735,-73.1769611587652,59.0605005875704,1
7.56078438502343,-72.5871038019932,59.1335079629823,1
7.63790464491053,-72.0049445953919,59.205989878132,1
7.71440938735069,-71.4302517542365,59.2779512513635,1
7.77427537386716,-55.8951297466592,59.2284987615601,1
7.83371788607087,-55.4997426712589,59.2855048615227,1
7.89274068184865,-55.1078671344385,59.3421283040907,1
7.95134746167789,-54.7194422927078,59.3983736884858,1
8.00954183334529,-54.334387021413,59.4542436727946,1
8.06732731363254,-53.9526201959006,59.5097408513739,1
8.12470735367192,-53.5740751780622,59.5648679106659,1
8.18168532532025,-53.1986708432441,59.6196273960339,1
8.23826452658942,-52.8263521425743,59.674021823691,1
8.29444818149265,-52.4570466433261,59.7280536490109,1
8.35023945096046,-52.0906848100822,59.7817253368628,1
8.40564142846145,-51.7272144912795,59.8350392732172,1
8.47287952292292,-62.778252392377,59.9723039307081,1
8.53958859483338,-62.2843191439415,60.0355974095522,1
8.60577501448092,-61.7963398656229,60.0984348530482,1
8.67144501043524,-61.3141638973502,60.1608212819243,1
8.736604597155,-60.8376145032707,60.2227604767064,1
8.80125964114922,-60.3665323313862,60.2842565330162,1
8.86541583226581,-59.9007696189346,60.3453132288372,1
8.92907871283995,-59.440178603154,60.4059344151261,1
8.99225366111962,-58.9846115212822,60.4661237129014,1
9.05494592139281,-58.5339379944116,60.5258848290592,1
9.11716058901636,-58.0880276436346,60.5852212630272,1
9.17890263606115,-57.6467529873526,60.6441365772434,1
9.23868766586472,-55.8195418506102,60.6924452845409,1
9.2980278860662,-55.404238672736,60.7492285301518,1
9.35692745257421,-54.9928062997651,60.8056138545741,1
9.41539040483851,-54.5851578124257,60.8616041304923,1
9.47342070844623,-54.1812033941369,60.9172024182708,1
9.5310222173233,-53.7808532283179,60.9724114725669,1
9.58819871481623,-53.3840348822423,61.0272342261964,1
9.64495389206114,-52.9906556420201,61.0816734162935,1
9.70129135254275,-52.600648869543,61.1357317354166,1
9.75721463088942,-52.2139392347754,61.1894119259596,1
9.81272718333306,-51.8304572022998,61.2427166148449,1
9.86783239498093,-51.4501303393899,61.2956484118629,1
9.90208326738348,-31.9790429477962,61.2407255078522,1
9.936261453083,-31.9111792776994,61.2746705148285,1
9.97035753253762,-31.8345193772984,61.3085038637949,1
10.0043625335881,-31.7494775617888,61.3422182513343,1
10.0382679360416,-31.6564884275294,61.3758068499156,1
10.0720656685126,-31.5559633924067,61.4092632758175,1
10.1057481040439,-31.448308079689,61.4425815771893,1
10.1393080329642,-31.3339281126446,61.4757561320581,1
10.172738667191,-31.2132117306874,61.5087817493247,1
10.2060336312141,-31.0865384813042,61.5416536149442,1
10.2391869534763,-30.9542966039089,61.574367282301,1
10.2721930499338,-30.8168337755887,61.6069186296716,1
10.316363782406,-41.2409287639548,61.6919519203035,1
10.3601911609081,-40.9203473111575,61.7343339434079,1
10.4036788616454,-40.6032020669045,61.77640208091,1
10.4468306343726,-40.2895567719952,61.818161437351,1
10.4896500994163,-39.97928684214,61.8596147338516,1
10.5321407608523,-39.672293768831,61.9007646495632,1
10.5743060082862,-39.3684645570147,61.9416137749634,1
10.6161491281152,-39.0677064928013,61.9821646603511,1
10.6576733096456,-38.7699181703738,62.0224197994207,1
10.668,-38.4750155677693,62.0623815467502,1
10.668,-5.79461811867077e-06,63.2375422871969,1
10.668,-1.73838543560123e-05,66.9705014824602,1
10.668,-1.15892362373415e-05,66.9705015115421,1
