,J1,J2,J3,J4,J5,J1S,J2S
70,-0.00015881032667893814,-0.00014284323806747768,-0.00012756283632171848,-0.0001264057631277937,-0.00012745994273078099,0,0
71,-0.00015886101950631225,-0.0001429659727618937,-0.00012778293430332877,-0.000126623215011753,-0.00012768090340314008,0,0
72,-0.0001588265720492804,-0.00014285493854453824,-0.0001278864889956832,-0.00012683985052229673,-0.00012778691151643429,0,0
73,-0.0001588738280314944,-0.0001429701282726825,-0.0001280901792784206,-0.00012704328102053353,-0.00012799136228055285,0,0
74,-0.0001589208688460697,-0.0001430848632223336,-0.00012829236899273511,-0.0001272458977597235,-0.00012819429620152033,0,0
75,-0.00015896769387336695,-0.0001431991370499691,-0.00012849307581673907,-0.0001274476795929058,-0.00012839573165914108,0,0
76,-0.00015901430447432918,-0.00014331293908590893,-0.00012869231704374596,-0.00012764860675952726,-0.00012859568661446774,0,0
77,-0.00015906069979730597,-0.00014342626156627013,-0.00012889010940684732,-0.00012784866078358382,-0.0001287941784174018,0,0
78,-0.0001591068808523943,-0.00014353909767784943,-0.00012908646933921795,-0.00012804782441703245,-0.00012899122410095165,0,0
79,-0.0001261389018394915,-0.00012616067798042863,-0.00012633819002610624,-0.00012824534680412226,-0.00012634683649608957,0,0
80,-0.00012580325826435645,-0.0001258268356148018,-0.0001259988654905464,-0.00012793021904331292,-0.0001260073734838696,0,0
81,-0.0001254676839615043,-0.00012549301041233586,-0.00012565985805188196,-0.0001276140500790368,-0.00012566823688294092,0,0
82,-0.0001251321793610044,-0.0001251592025399656,-0.00012532115196731253,-0.00012729690315411822,-0.00012532941027144638,0,0
83,-0.0001247967512392778,-0.00012482541596734397,-0.00012498273557969618,-0.00012697883743138184,-0.00012499088135845771,0,0
84,-0.0001223016584731007,-0.00012236221855898676,-0.0001226629508756294,-0.00012665938695902046,-0.00012267881631368603,0,0
85,-0.00012181702472660705,-0.00012187976929298294,-0.00012217460332216711,-0.00012619690651293424,-0.0001221903287613446,0,0
86,-0.00012133248288196451,-0.00012139734784567313,-0.00012168652221927978,-0.00012573363119689819,-0.00012170211422379395,0,0
