iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
63.0,2025-07-10 18:49:18.896268,False,0.0,0,1,,,6.0010457038879395,6.039187908172607,1.0,67.37623596191406,62.44977951049805,193.48451232910156,79.85077667236328
64.0,2025-07-10 18:49:31.202231,False,0.0,0,1,,,6.0766472816467285,6.105597972869873,1.0,67.39186096191406,62.48728942871094,192.90509033203125,79.60689544677734
65.0,2025-07-10 18:49:43.326401,False,0.0,0,1,,,6.151533603668213,6.171842098236084,1.0,67.40740966796875,62.52470016479492,192.32923889160156,79.36292266845703
66.0,2025-07-10 18:49:54.375354,False,0.0,0,1,,,6.225719928741455,6.237907409667969,1.0,67.42290496826172,62.56200408935547,191.75689697265625,79.11891174316406
67.0,2025-07-10 18:50:06.136894,False,0.0,0,1,,,6.299221992492676,6.303782939910889,1.0,67.43832397460938,62.59919357299805,191.18801879882812,78.87491607666016
68.0,2025-07-10 18:50:17.796173,False,0.0,0,1,,,6.372053146362305,6.3694586753845215,1.0,67.45368194580078,62.63626480102539,190.62255859375,78.63098907470703
69.0,2025-07-10 18:50:29.195416,False,0.0,0,1,,,6.444227695465088,6.434924602508545,1.0,67.4689712524414,62.6732177734375,190.06048583984375,78.38716125488281
70.0,2025-07-10 18:50:42.729932,False,0.0,0,1,,,6.515758037567139,6.500171184539795,1.0,67.48419189453125,62.710044860839844,189.5017547607422,78.14350891113281
71.0,2025-07-10 18:50:53.317081,False,0.0,0,1,,,6.5866570472717285,6.565189361572266,1.0,67.49935150146484,62.746742248535156,188.94631958007812,77.9000473022461
72.0,2025-07-10 18:51:04.722543,False,0.0,0,1,,,6.656936168670654,6.629971981048584,1.0,67.48905181884766,62.71354293823242,188.49282836914062,77.05277252197266
73.0,2025-07-10 18:51:15.390538,False,0.0,0,1,,,6.722090244293213,6.690797805786133,1.0,67.50318145751953,62.74798583984375,187.97763061523438,76.82323455810547
74.0,2025-07-10 18:51:27.164216,False,0.0,0,1,,,6.7866902351379395,6.751380920410156,1.0,67.51725006103516,62.782291412353516,187.46548461914062,76.59406280517578
75.0,2025-07-10 18:51:38.959969,False,0.0,0,1,,,6.850745677947998,6.811714172363281,1.0,67.53125,62.81645584106445,186.95632934570312,76.36527252197266
76.0,2025-07-10 18:51:50.280612,False,0.0,0,1,,,6.914266109466553,6.871791839599609,1.0,67.54518127441406,62.85048294067383,186.45016479492188,76.13690185546875
77.0,2025-07-10 18:52:02.010837,False,0.0,0,1,,,6.977261066436768,6.931608200073242,1.0,67.5590591430664,62.884368896484375,185.94691467285156,75.90899658203125
78.0,2025-07-10 18:52:13.568390,False,0.0,0,0,,,7.039738655090332,6.991158485412598,1.0,67.57286071777344,62.91810607910156,185.44656372070312,75.68155670166016
79.0,2025-07-10 18:52:25.784508,False,0.0,0,0,,,7.10170841217041,7.050437927246094,0.0,57.715457916259766,57.72196960449219,-12.366022109985352,-25.62484359741211
80.0,2025-07-10 18:52:39.097517,False,0.0,0,0,,,6.996810436248779,6.956215858459473,0.0,57.6151008605957,57.62215042114258,-12.242098808288574,-25.748767852783203
81.0,2025-07-10 18:52:50.530928,False,0.0,0,0,,,6.892224311828613,6.861682415008545,0.0,57.51476287841797,57.522335052490234,-12.125615119934082,-25.865245819091797
82.0,2025-07-10 18:53:02.667723,False,0.0,0,0,,,6.787930011749268,6.766856670379639,0.0,57.41444778442383,57.42252731323242,-12.016114234924316,-25.974754333496094
83.0,2025-07-10 18:53:14.364931,False,0.0,0,0,,,6.683910846710205,6.671755790710449,0.0,57.31415557861328,57.32272720336914,-11.913141250610352,-26.077722549438477
84.0,2025-07-10 18:53:25.655332,False,0.0,0,0,,,6.580150127410889,6.576396942138672,0.0,56.56812286376953,56.58623123168945,-17.050668716430664,-37.86916732788086
85.0,2025-07-10 18:53:37.253097,False,0.0,0,0,,,6.430580139160156,6.438116550445557,0.0,56.4232177734375,56.441978454589844,-16.955764770507812,-37.96406555175781
86.0,2025-07-10 18:53:48.917615,False,0.0,0,0,,,6.281248092651367,6.299598693847656,0.0,56.27833938598633,56.29773712158203,-16.864940643310547,-38.05488967895508
87.0,2025-07-10 18:54:00.831428,False,0.0,0,0,,,6.132143497467041,6.160852909088135,0.0,56.133487701416016,56.153499603271484,-16.778030395507812,-38.141807556152344
88.0,2025-07-10 18:54:12.964293,False,0.0,0,1,,,5.9832563400268555,6.021889686584473,0.0,55.98866271972656,56.00926971435547,-16.694843292236328,-38.22499084472656
89.0,2025-07-10 18:54:24.751207,False,0.0,0,1,,,5.8345770835876465,5.882718563079834,1.0,67.09431457519531,61.64779281616211,195.17977905273438,74.24220275878906
90.0,2025-07-10 18:54:36.911183,False,0.0,0,1,,,5.866397857666016,5.910431385040283,1.0,67.1009750366211,61.664093017578125,194.9311065673828,74.13976287841797
91.0,2025-07-10 18:54:47.863436,False,0.0,0,1,,,5.897783279418945,5.93820333480835,1.0,67.10760498046875,61.680397033691406,194.684814453125,74.03677368164062
92.0,2025-07-10 18:54:59.308950,False,0.0,0,1,,,5.928764343261719,5.966005325317383,1.0,67.11419677734375,61.69670104980469,194.44081115722656,73.933349609375
93.0,2025-07-10 18:55:10.297662,False,0.0,0,1,,,5.959367752075195,5.993812561035156,1.0,67.1207504272461,61.712989807128906,194.19898986816406,73.82962036132812
94.0,2025-07-10 18:55:22.682207,False,0.0,0,1,,,5.989617347717285,6.021604061126709,1.0,67.12727355957031,61.72925567626953,193.95925903320312,73.72569274902344
95.0,2025-07-10 18:55:35.163133,False,0.0,0,1,,,6.019533634185791,6.049360752105713,1.0,67.13375091552734,61.745487213134766,193.72157287597656,73.62165069580078
96.0,2025-07-10 18:55:46.996451,False,0.0,0,1,,,6.049133777618408,6.0770673751831055,1.0,67.13291931152344,61.739349365234375,193.46710205078125,73.3154525756836
97.0,2025-07-10 18:55:59.334055,False,0.0,0,1,,,6.076941013336182,6.103444576263428,1.0,67.13902282714844,61.75476837158203,193.24468994140625,73.21603393554688
98.0,2025-07-10 18:56:10.224085,False,0.0,0,1,,,6.104481220245361,6.129744052886963,1.0,67.14509582519531,61.7701301574707,193.0240020751953,73.11672973632812
99.0,2025-07-10 18:56:21.437363,False,0.0,0,1,,,6.1317667961120605,6.155956268310547,1.0,67.15113067626953,61.78543472290039,192.80496215820312,73.01758575439453
100.0,2025-07-10 18:56:33.101235,False,0.0,0,1,,,6.158807754516602,6.182071685791016,1.0,67.15713500976562,61.800682067871094,192.58750915527344,72.91864776611328
