iteration,timestamp,P79,T41,V1F,J21,V1,T42,J2,P1F,P1
89.0,2025-01-14 15:49:59.841721,0.0,6.457934379577637,-82.77320861816406,57.74646759033203,1.0,6.341640472412109,62.86262893676758,234.3256072998047,1.0
90.0,2025-01-14 15:50:04.300053,0.0,6.464182376861572,-82.56832885742188,57.75293731689453,1.0,6.345393180847168,62.864444732666016,234.2465057373047,1.0
91.0,2025-01-14 15:50:08.749073,0.0,6.4702324867248535,-82.38389587402344,57.75918197631836,1.0,6.349259853363037,62.86623001098633,234.16893005371094,1.0
92.0,2025-01-14 15:50:13.328315,0.0,6.476105213165283,-82.21842956542969,57.76523208618164,1.0,6.353222846984863,62.86798095703125,234.0927276611328,1.0
93.0,2025-01-14 15:50:17.577030,0.0,6.481817722320557,-82.06865692138672,57.7711067199707,1.0,6.357265472412109,62.86970138549805,234.01780700683594,1.0
94.0,2025-01-14 15:50:22.073803,0.0,6.48738431930542,-81.93260192871094,57.776817321777344,1.0,6.361375331878662,62.871395111083984,233.944091796875,1.0
95.0,2025-01-14 15:50:26.493900,0.0,6.492818355560303,-81.80856323242188,57.782386779785156,1.0,6.365540027618408,62.87306594848633,233.8714599609375,1.0
96.0,2025-01-14 15:50:31.111177,0.0,6.498130798339844,-81.6950912475586,57.787818908691406,1.0,6.369749546051025,62.87471008300781,233.7998809814453,1.0
97.0,2025-01-14 15:50:35.462959,0.0,6.501821041107178,-81.0254898071289,57.79313278198242,1.0,6.373116970062256,62.870670318603516,233.97561645507812,1.0
98.0,2025-01-14 15:50:39.896035,0.0,6.505456447601318,-80.97418212890625,57.79682159423828,1.0,6.3764848709106445,62.87184524536133,233.92454528808594,1.0
99.0,2025-01-14 15:50:44.293190,0.0,6.509039878845215,-80.92604064941406,57.80045700073242,1.0,6.379849910736084,62.87300491333008,233.87400817871094,1.0
100.0,2025-01-14 15:50:48.842100,0.0,6.512575149536133,-80.8807373046875,57.804039001464844,1.0,6.383210182189941,62.8741569519043,233.823974609375,1.0
101.0,2025-01-14 15:50:53.122981,0.0,6.516064643859863,-80.83794403076172,57.80757522583008,1.0,6.386563301086426,62.87529373168945,233.77442932128906,1.0
102.0,2025-01-14 15:50:57.544025,0.0,6.519510746002197,-80.79743194580078,57.811065673828125,1.0,6.389906883239746,62.87642288208008,233.72535705566406,1.0
103.0,2025-01-14 15:51:01.939909,0.0,6.522915363311768,-80.75895690917969,57.814510345458984,1.0,6.393239974975586,62.877540588378906,233.6767578125,1.0
104.0,2025-01-14 15:51:06.422101,0.0,6.526280879974365,-80.72230529785156,57.81791687011719,1.0,6.396560192108154,62.87864685058594,233.6285858154297,1.0
105.0,2025-01-14 15:51:10.908740,0.0,6.529609203338623,-80.68730163574219,57.82128143310547,1.0,6.399867534637451,62.87974548339844,233.58084106445312,1.0
