iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J1S_LEVEL,J2S_LEVEL,P2_FLOW,P2_STATUS,P1_FLOW,P1_STATUS,V13_FLOW,V13_STATUS,V24_FLOW,V24_STATUS,plc3AttackerUnit,plc2AttackerUnit
327,2025-07-28 23:48:13.692035,9.291788558556377,9.143498799612022,68.33992025917027,64.7871398796816,61.06092326775989,60.43862507251031,61.03506593727947,68.33991976401121,64.78713966097764,0.0,0.0,258.6896511675253,1.0,165.60536470933584,1.0,73.14528487881944,1.0,1,1
328,2025-07-28 23:48:38.314406,9.379906610327176,9.227943127190228,68.36052316474321,64.83408230919385,61.14202496427744,60.52306817015037,61.11644343321236,68.3605226718106,64.83408209151033,0.0,0.0,257.60373595482764,1.0,164.86072730799606,1.0,72.80399925548409,1.0,1,1
329,2025-07-28 23:49:01.151192,9.46730673000653,9.311942332630604,68.38104631127469,64.88080238499127,61.222530406435254,60.60706614270431,61.197220423545325,68.38104582055803,64.88080216832614,0.0,0.0,256.5220245936773,1.0,164.1196072398543,1.0,72.46339739708674,1.0,1,1
330,2025-07-28 23:49:25.711559,9.55399649663263,9.39549332284267,68.40148983654855,64.92729992799555,61.3024440942487,60.69061589771717,61.2774015137866,68.40148934803733,64.9272997123467,0.0,0.0,255.44450982191486,1.0,163.38200450491058,1.0,72.12350248209987,1.0,1,1
331,2025-07-28 23:49:48.829139,9.639983320700228,9.478593193154593,68.42185359041387,64.97357307172435,61.38177044521067,60.77371453107834,61.35699122415103,68.42185310409769,64.97357285708965,0.0,0.0,254.3711995535298,1.0,162.64787274621995,1.0,71.78432030514159,1.0,1,1
332,2025-07-28 23:50:09.234370,9.725274447177718,9.56123920314269,68.44213752091005,65.01962029895748,61.46051382624626,60.85635930291083,61.435994020345944,68.44213703677853,65.01962008533472,0.0,0.0,253.3020965272065,1.0,161.9172119637824,1.0,71.4458798393025,1.0,1,1
333,2025-07-28 23:50:31.517017,9.809876961785065,9.643428774033808,68.46234136109987,65.06544104664758,61.53867852605641,60.938547634988524,61.51441428722973,68.46234087914272,65.06544083403446,0.0,0.0,252.23721481237396,1.0,161.18999897912545,1.0,71.10820426305509,1.0,1,1
334,2025-07-28 23:50:54.543811,9.89379779398081,9.725159491621232,68.4824651306452,65.11103357207648,61.61626880255684,61.02027711359823,61.5922563744606,68.48246465085215,65.11103336047063,0.0,0.0,251.1765533727177,1.0,160.46621640839476,1.0,70.77132834410804,1.0,1,1
335,2025-07-28 23:51:17.180940,9.97704372490117,9.806429089195605,68.5025089883521,65.15639748392647,61.69328886973341,61.101545472539414,61.66952458415449,68.50250851071293,65.1563972733255,0.0,0.0,250.1201038380625,1.0,159.7458584569722,1.0,70.43524628784326,1.0,1,1
336,2025-07-28 23:51:38.876939,10.059621393390266,9.887235455907657,68.44092996437823,65.00323852662989,61.65179279191154,61.18232271540893,61.62966389862582,68.44092948750018,65.0032383226791,0.0,0.0,253.3657430844095,1.0,159.491300883019,1.0,68.21110380997197,1.0,1,1
337,2025-07-28 23:52:00.986399,10.127310007273254,9.956404041324516,68.45777809436784,65.04223778429217,61.7156035202065,61.25149023481079,61.693651192234185,68.45777761927387,65.04223758121245,0.0,0.0,252.47773043995633,1.0,158.89461746610323,1.0,67.91977358943768,1.0,1,1
338,2025-07-28 23:52:23.692411,10.194505092216925,10.025115056704204,68.47455079570958,65.08100880439301,61.77896962215168,61.32020019221378,61.757192037901845,68.47455032239122,65.08100860218092,0.0,0.0,251.59369340544504,1.0,158.30076182282937,1.0,67.629596497909,1.0,1,1
339,2025-07-28 23:52:46.108262,10.261210026130229,10.093369384872684,68.49124858929311,65.11955139991608,61.84189480557205,61.3884534704685,61.82029014132439,68.49124811774209,65.1195511985681,0.0,0.0,250.71360452639576,1.0,157.70968180163436,1.0,67.3405899192403,1.0,1,1
340,2025-07-28 23:53:08.633886,10.327428140138803,10.161167917840684,68.50787156059116,65.15786644486676,61.904381603917834,61.456250961674606,61.882948064518075,68.50787109079916,65.15786624437945,0.0,0.0,249.8374592978073,1.0,157.1213774025182,1.0,67.05274226419533,1.0,1,1
341,2025-07-28 23:53:33.064026,10.39316272021187,10.228511599374048,68.52441959406232,65.19595388720626,61.96643251106171,61.523593609657354,61.945168329861076,68.52441912602106,65.19595368757608,0.0,0.0,248.9652638095082,1.0,156.53584862548087,1.0,66.76607671124657,1.0,1,1
342,2025-07-28 23:53:55.313022,10.45841700646216,10.29540141315678,68.540892862498,65.23381415684446,62.028050017997984,61.5904823981677,62.00695345506791,68.5408923961992,65.2338139580679,0.0,0.0,248.09700895420002,1.0,155.95308388128615,1.0,66.4805874657759,1.0,1,1
343,2025-07-28 23:54:16.836941,10.523194197360752,10.361838387038508,68.55729122939962,65.2714477805438,62.089236568681635,61.65691835511721,62.0683059112461,68.55729076483505,65.27144758261727,0.0,0.0,247.2327019262995,1.0,155.3730715806978,1.0,66.19629191163767,1.0,1,1
344,2025-07-28 23:54:38.798364,10.587497447692071,10.427823591814164,68.57361481374498,65.30885506602978,62.14999460333492,61.722902551353734,62.129228164106635,68.5736143509064,65.30885486894978,0.0,0.0,246.37233645485435,1.0,154.79581751833393,1.0,65.91317266497754,1.0,1,1
345,2025-07-28 23:55:01.570554,10.651329872501012,10.493358138155203,68.58986358467057,65.34603604662136,62.21032652844174,61.78843609758879,62.18972264551785,68.58986312354978,65.34603585038425,0.0,0.0,245.5159141665869,1.0,154.2213043103402,1.0,65.63127028812232,1.0,1,1
346,2025-07-28 23:55:23.290224,10.668000000000001,10.587486128884656,69.02836539261232,65.63849029435286,64.43478937726336,61.88267083890449,64.43058468425154,69.02836500642658,65.63849009228566,0.0,0.0,222.40384473765798,1.0,129.15936075160062,1.0,67.58113610658256,1.0,1,1
347,2025-07-28 23:55:45.641949,10.668000000000001,10.668000000000001,70.86526958365191,69.91128081550904,69.24929069548847,69.25037507420446,69.24508599671704,70.86526936396226,69.91128073642967,0.0,0.0,125.58632556510469,1.0,73.47494070359062,1.0,26.448004623489396,1.0,1,1
348,2025-07-28 23:56:07.624973,10.668000000000001,10.668000000000001,70.78000681591476,69.76183396785865,69.05530496132614,69.05646231097212,69.05081736994929,70.78000658836382,69.76183388594949,0.0,0.0,130.08026144393975,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
349,2025-07-28 23:56:31.054113,10.668000000000001,10.668000000000001,70.78000687920745,69.76183406378425,69.05530503948043,69.05646239001021,69.05081744810359,70.7800066516565,69.76183398187509,0.0,0.0,130.08025810797955,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
350,2025-07-28 23:56:52.973090,10.668000000000001,10.668000000000001,70.78000681644045,69.76183390001829,69.05530493071812,69.0564622785124,69.05081733934128,70.7800065888895,69.76183381810912,0.0,0.0,130.08026141623353,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
351,2025-07-28 23:57:15.785902,10.668000000000001,10.668000000000001,70.78000687800865,69.76183421848216,69.05530510928837,69.05646246404,69.05081751791154,70.78000665045771,69.76183413657301,0.0,0.0,130.08025817116408,1.0,76.10414437181134,1.0,27.394416422339418,1.0,1,1
352,2025-07-28 23:57:39.410745,10.668000000000001,10.668000000000001,70.78000706855958,69.76183441942136,69.05530530456747,69.05646265960063,69.05081771319064,70.78000684100864,69.7618343375122,0.0,0.0,130.0802481278168,1.0,76.10414437181134,1.0,27.394422216957537,1.0,1,1
353,2025-07-28 23:58:02.455810,10.668000000000001,10.668000000000001,70.7800071316665,69.76183453930777,69.05530539353546,69.05646275010628,69.05081780215862,70.78000690411558,69.76183445739862,0.0,0.0,130.08024480164585,1.0,76.10413857719323,1.0,27.394416422339418,1.0,1,1
