iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,V2_FLOW,V2_STATUS,plc2AttackerUnit
53,2025-01-14 16:23:17.278721,6.459928173627642,6.515000909855032,57.80656162693878,57.85880720531674,57.80656162159211,57.8588072727825,57.80727189932528,0.0,0.0,0.0,0.0,1.7881872810221466,1.0,22.563843125453786,1.0,0
54,2025-01-14 16:23:28.172692,6.407866740003262,6.4658142549106605,57.75419079309005,57.809954432393646,57.75419078680968,57.80995450079302,57.75487661640983,0.0,0.0,0.0,0.0,2.100465046055433,1.0,22.87608902008742,1.0,0
55,2025-01-14 16:23:37.801421,6.356069626801098,6.416363280496007,57.70214888581708,57.76076731377789,57.702148878798816,57.76076738291507,57.70281566651685,0.0,0.0,0.0,0.0,2.3472520371115024,1.0,23.122849935361955,1.0,0
56,2025-01-14 16:23:48.825124,6.3044839124486565,6.366700904835742,57.65036721025155,57.711315967000644,57.65036720264312,57.711316036727936,57.651018938684395,0.0,0.0,0.0,0.0,2.5446312167787255,1.0,23.320211731174822,1.0,0
57,2025-01-14 16:24:02.109824,6.253068773035472,6.316867958431966,57.59879383600529,57.66165328991208,57.598793827920666,57.66165336011551,57.599433534302605,0.0,0.0,0.0,0.0,2.7038933984613323,1.0,23.479453631694014,1.0,0
58,2025-01-14 16:24:12.447392,6.201792193471316,6.266896452856411,57.547388644006666,57.61182009800306,57.547388635535235,57.611820168593255,57.54801864603792,0.0,0.0,0.0,0.0,2.8332611452697165,1.0,23.6088068919571,1.0,0
59,2025-01-14 16:24:23.619386,6.150628749020129,6.216811816178265,57.4961201355999,57.5618483915469,57.49612012681264,57.561848462452886,57.49674227111002,0.0,0.0,0.0,0.0,2.9388883416459066,1.0,23.714422499097054,1.0,0
60,2025-01-14 16:24:34.302716,6.099558058115022,6.1666344202034775,57.44496327404395,57.511763589872956,57.444963264997746,57.511763661037875,57.44557899414205,0.0,0.0,0.0,0.0,3.0254918067385006,1.0,23.80102306688059,1.0,0
61,2025-01-14 16:24:43.958813,6.013753004663647,6.093893081783267,57.392369408622834,57.461538534972114,57.39236941073889,57.461538630133575,57.394427991034085,0.0,0.0,0.0,0.0,-0.7077111973785577,1.0,31.826638696657028,1.0,0
62,2025-01-14 16:24:55.130987,5.9290017499553604,6.020097945059725,57.30669219594173,57.388794607743726,57.30669219511592,57.38879470584678,57.30862588048077,0.0,0.0,0.0,0.0,0.27618888339020486,1.0,32.81044896084495,1.0,0
63,2025-01-14 16:25:07.088301,5.845077204295836,5.9454761076942555,57.22203868569267,57.31499741792438,57.222038682558974,57.31499751833512,57.2238769127568,0.0,0.0,0.0,0.0,1.0480609898877447,1.0,33.58225153192507,1.0,0
64,2025-01-14 16:25:18.548732,6.236512301290581,5.901627575358,57.41704182724939,57.240438578403435,57.41704049706817,57.2404385929159,57.14223946221996,0.0,0.0,472.5613870108918,1.0,444.8775383247039,1.0,4.853676439324772,1.0,0
65,2025-01-14 16:25:29.020554,6.594164052134722,5.873825742155974,57.77080416607427,57.19661147386325,57.77080293020502,57.19661144359303,57.53334170670066,0.0,0.0,456.00119739479624,1.0,413.3350097544053,1.0,-10.123838158619947,1.0,0
66,2025-01-14 16:25:41.091867,6.926074768970047,5.8562240140130735,58.101460509036954,57.168818881475026,58.10145934502818,57.168818822733186,57.890757115380005,0.0,0.0,441.4910947475927,1.0,389.3013588458416,1.0,-19.64613990764974,1.0,0
67,2025-01-14 16:25:50.490469,7.235739336447974,5.846431737456182,58.41124364687141,57.15122175884817,58.41124254496656,57.1512216783072,58.22247575144497,0.0,0.0,428.01196752607177,1.0,368.53077618957286,1.0,-26.936832813362344,1.0,0
68,2025-01-14 16:26:01.258176,7.525474062060137,5.843017435617244,58.70204009616461,57.14143150392401,58.702039049897316,57.141431405579496,58.53197792378284,0.0,0.0,415.35897949389465,1.0,349.9228609075544,1.0,-32.891205656255806,1.0,0
69,2025-01-14 16:26:12.091649,7.368285807730249,5.8416592861128445,58.80180137218658,57.138017479511866,58.801801573581,57.13801737542777,58.82007497134431,0.0,0.0,0.0,0.0,-67.35612529041646,1.0,-34.81080328697317,1.0,0
70,2025-01-14 16:26:22.041558,7.2142061139386024,5.8371925826767415,58.64563492439957,57.13665883576397,58.64563511711593,57.13665874035715,58.66290121059679,0.0,0.0,0.0,0.0,-64.45375752946347,1.0,-31.908696283835525,1.0,0
71,2025-01-14 16:26:32.967136,7.063251917373278,5.829600378655141,58.4925558001001,57.13219121151286,58.492555984091084,57.132191124830605,58.508835840268006,0.0,0.0,0.0,0.0,-61.53556756373746,1.0,-28.990778665161088,1.0,0
72,2025-01-14 16:26:44.854289,6.915443307526827,5.818862598573078,58.34258134582971,57.12459768618938,58.34258152103924,57.124597608287694,58.35789580634244,0.0,0.0,0.0,0.0,-58.598623316470366,1.0,-26.054127046108988,1.0,0
73,2025-01-14 16:26:55.315811,6.765889751933201,5.80178383744922,58.19507032994979,57.113856120891626,58.19507049792195,57.11385605518803,58.210079371478216,0.0,0.0,0.0,0.0,-56.178086744012035,1.0,-21.97448990045814,1.0,0
74,2025-01-14 16:27:06.476838,6.619579018018862,5.781462269900909,58.04648909206756,57.096774865127834,58.046489250986816,57.09677480847609,58.06054029543705,0.0,0.0,0.0,0.0,-53.15035821467973,1.0,-18.94710904821295,1.0,0
75,2025-01-14 16:27:16.812298,6.476549441044602,5.757859536428395,57.901132251461284,57.07645040421119,57.90113240122064,57.07645035671826,57.91424393663654,0.0,0.0,0.0,0.0,-50.08683922653745,1.0,-15.88395222370309,1.0,0
76,2025-01-14 16:27:26.935903,6.336848138221227,5.730928529680211,57.75903933934334,57.0528443646242,57.75903947981124,57.05284432642151,57.77122865692422,0.0,0.0,0.0,0.0,-46.979324600329164,1.0,-12.776846118072172,1.0,0
77,2025-01-14 16:27:37.919851,6.200533828336356,5.700610541752561,57.620259063953924,57.0259096170884,57.62025919496647,57.025909588339665,57.6315416086481,0.0,0.0,0.0,0.0,-43.81699288671825,1.0,-9.614980871219814,1.0,0
78,2025-01-14 16:27:48.699538,6.0676812311723,5.666830838078487,57.484852367484336,56.99558742036643,57.48485248883292,56.99558740127999,57.49524155920615,0.0,0.0,0.0,0.0,-40.58489107364949,1.0,-6.38343534149044,1.0,0
79,2025-01-14 16:28:00.158037,5.938388099206246,5.629491665552375,57.35289721941694,56.9618029891862,57.35289733082867,56.96180298003442,57.36240329865519,0.0,0.0,0.0,0.0,-37.2615211279026,1.0,-3.060801312244621,1.0,0
80,2025-01-14 16:28:10.257656,5.8127873375431784,5.58846012933943,57.224496422628675,56.92445849056471,57.224496523732526,56.924458491712834,57.23312468735768,0.0,0.0,0.0,0.0,-33.81406233245343,1.0,0.3839890615608965,1.0,0
81,2025-01-14 16:28:21.057390,6.188520231471113,5.554586857122971,57.369991875857394,56.88343688883946,57.36999057740286,56.88343687001697,57.10979170769703,0.0,0.0,474.7638716480855,1.0,434.2665871831741,1.0,-6.295160129070609,1.0,0
82,2025-01-14 16:28:32.594536,6.5356325966231985,5.532062927952849,57.71447019977579,56.849575983213086,57.714468981220314,56.84957593270887,57.48525105269433,0.0,0.0,458.6382818476763,1.0,407.5444391764904,1.0,-16.891074236582426,1.0,0
83,2025-01-14 16:28:42.742473,6.8589371326795225,5.517986430328859,58.036980279337556,56.82705842785304,58.036979127245694,56.827058353769,57.832150005660225,0.0,0.0,444.2967258915821,1.0,385.31576255763866,1.0,-24.777320608677655,1.0,0
84,2025-01-14 16:28:53.964165,7.16131542292097,5.510727839292319,58.33971740854078,56.81298518191524,58.3397163148681,56.812985088799685,58.15527767750531,0.0,0.0,431.12418103412466,1.0,365.77753582321293,1.0,-31.14238701073191,1.0,0
85,2025-01-14 16:29:04.271869,7.400546107033973,5.479891988739786,58.60728955191277,56.8057083727453,58.60728852332954,56.80570829491655,58.45718412413277,0.0,0.0,419.48171725556506,1.0,344.0084477512073,1.0,-26.029731703829384,1.0,0
86,2025-01-14 16:29:16.155358,7.188800333415754,5.450750143812729,58.66695361040052,56.77487446847058,58.66695384079497,56.774874385913186,58.69485314339906,0.0,0.0,0.0,0.0,-77.05515130282947,1.0,-27.611222059249485,1.0,0
87,2025-01-14 16:29:27.672485,6.980486972545489,5.418175889208875,58.456581908634874,56.745728582469425,58.45658212944716,56.74572850949324,58.48312802942954,0.0,0.0,0.0,0.0,-73.85040877920801,1.0,-24.40679823962455,1.0,0
