iteration,timestamp,error_flag,P2,ScadaCommand_P2,ScadaCommand_P1,ScadaCommand_V13,ScadaCommand_V24,T1,T2,P1,J1,J2,V13F,V24F
114.0,2025-07-27 14:06:00.928844,,0.0,,,,,6.716424465179443,6.706528186798096,1.0,67.45560455322266,62.620426177978516,188.14476013183594,75.56645965576172
115.0,2025-07-27 14:06:12.367966,,0.0,,,,,6.772778034210205,6.759189605712891,1.0,67.46791076660156,62.65050506591797,187.6959686279297,75.36675262451172
116.0,2025-07-27 14:06:24.729679,,0.0,,,,,6.828638076782227,6.811649322509766,1.0,67.48015594482422,62.68046951293945,187.24998474121094,75.16735076904297
117.0,2025-07-27 14:06:35.917160,,0.0,,,,,6.8840155601501465,6.863900184631348,1.0,67.49234008789062,62.71031188964844,186.80682373046875,74.96829223632812
118.0,2025-07-27 14:06:46.872166,,0.0,,,,,6.938920497894287,6.915936470031738,1.0,67.50446319580078,62.74003219604492,186.3664093017578,74.76959991455078
119.0,2025-07-27 14:06:58.218305,,0.0,,,,,6.993361949920654,6.9677510261535645,1.0,67.51653289794922,62.769630432128906,185.92869567871094,74.57131958007812
120.0,2025-07-27 14:07:09.909482,,0.0,,,,,7.047348976135254,7.019339561462402,1.0,67.64219665527344,63.110191345214844,185.10049438476562,77.11585235595703
121.0,2025-07-27 14:07:21.579167,,0.0,,,,,7.121405124664307,7.087474822998047,0.0,57.88682556152344,57.89221954345703,-10.74278736114502,-22.505699157714844
122.0,2025-07-27 14:07:33.092820,,0.0,,,,,7.029801845550537,7.004814147949219,0.0,57.799007415771484,57.804866790771484,-10.626654624938965,-22.621835708618164
123.0,2025-07-27 14:07:45.347520,,0.0,,,,,6.938490390777588,6.921862602233887,0.0,57.711212158203125,57.71751403808594,-10.518315315246582,-22.73016357421875
124.0,2025-07-27 14:07:56.782409,,0.0,,,,,6.847450256347656,6.838638782501221,0.0,57.623435974121094,57.63016891479492,-10.417228698730469,-22.83125877380371
125.0,2025-07-27 14:08:08.145133,,0.0,,,,,6.756664276123047,6.755161285400391,0.0,57.53568649291992,57.54283142089844,-10.322856903076172,-22.92562484741211
126.0,2025-07-27 14:08:19.559142,,0.0,,,,,6.666114330291748,6.67144775390625,0.0,57.447959899902344,57.455501556396484,-10.234749794006348,-23.013731002807617
127.0,2025-07-27 14:08:31.388775,,0.0,,,,,6.575785160064697,6.587512969970703,0.0,57.36025619506836,57.36817932128906,-10.152451515197754,-23.096027374267578
128.0,2025-07-27 14:08:42.896343,,0.0,,,,,6.485662460327148,6.503372669219971,0.0,57.272579193115234,57.28086471557617,-10.075577735900879,-23.172903060913086
129.0,2025-07-27 14:08:54.629154,,0.0,,,,,6.395731449127197,6.419039726257324,0.0,57.1849250793457,57.19355773925781,-10.003729820251465,-23.244749069213867
130.0,2025-07-27 14:09:05.715737,,0.0,,,,,6.305980682373047,6.334527492523193,0.0,57.09729766845703,57.10625457763672,-9.936591148376465,-23.311887741088867
131.0,2025-07-27 14:09:16.947264,,0.0,,,,,6.216397285461426,6.249846935272217,0.0,57.00969314575195,57.01896286010742,-9.873814582824707,-23.37466049194336
132.0,2025-07-27 14:09:27.876305,,0.0,,,,,6.126971244812012,6.16500997543335,0.0,56.80037307739258,56.811622619628906,-11.110543251037598,-26.172910690307617
133.0,2025-07-27 14:09:39.684619,,0.0,,,,,6.026595592498779,6.069972991943359,0.0,56.7021484375,56.71373748779297,-11.04858684539795,-26.234872817993164
134.0,2025-07-27 14:09:51.307637,,0.0,,,,,5.926375389099121,5.974781513214111,0.0,56.603946685791016,56.61586380004883,-10.990263938903809,-26.293190002441406
135.0,2025-07-27 14:10:02.549036,,0.0,,,,,5.826300621032715,5.879444122314453,1.0,67.3237075805664,62.31602096557617,194.8983612060547,80.06959533691406
136.0,2025-07-27 14:10:14.231794,,0.0,,,,,5.900688171386719,5.94407844543457,1.0,67.33894348144531,62.35261154174805,194.33139038085938,79.83348846435547
137.0,2025-07-27 14:10:25.665402,,0.0,,,,,5.974351406097412,6.0085768699646,1.0,67.35411071777344,62.38911437988281,193.76797485351562,79.59719848632812
138.0,2025-07-27 14:10:36.805152,,0.0,,,,,6.047308444976807,6.072925090789795,1.0,67.36922454833984,62.4255256652832,193.20811462402344,79.36076354980469
139.0,2025-07-27 14:10:47.623911,,0.0,,,,,6.119574546813965,6.137111663818359,1.0,67.38426208496094,62.46183395385742,192.65171813964844,79.124267578125
140.0,2025-07-27 14:10:59.982420,,0.0,,,,,6.191165447235107,6.2011237144470215,1.0,67.39924621582031,62.4980354309082,192.0987548828125,78.88774108886719
141.0,2025-07-27 14:11:11.085768,,0.0,,,,,6.262095928192139,6.264950752258301,1.0,67.41415405273438,62.53412628173828,191.54920959472656,78.65125274658203
142.0,2025-07-27 14:11:23.503292,,0.0,,,,,6.332380294799805,6.328582286834717,1.0,67.42900848388672,62.570106506347656,191.00299072265625,78.41484832763672
143.0,2025-07-27 14:11:34.999035,,0.0,,,,,6.402032375335693,6.392008304595947,1.0,67.44378662109375,62.60596466064453,190.46009826660156,78.17857360839844
144.0,2025-07-27 14:11:47.795993,,0.0,,,,,6.471063613891602,6.455219745635986,1.0,67.51959228515625,62.80836868286133,189.63865661621094,79.36528015136719
145.0,2025-07-27 14:12:00.254371,,0.0,,,,,6.550081253051758,6.527021408081055,1.0,67.53633117675781,62.848636627197266,189.0238037109375,79.09772491455078
146.0,2025-07-27 14:12:11.897264,,0.0,,,,,6.628410816192627,6.598566055297852,1.0,67.55300903320312,62.88875961303711,188.41241455078125,78.83037567138672
147.0,2025-07-27 14:12:23.588045,,0.0,,,,,6.706063270568848,6.669846057891846,1.0,67.56961059570312,62.928741455078125,187.804443359375,78.56327819824219
148.0,2025-07-27 14:12:35.685250,,0.0,,,,,6.783051013946533,6.740854263305664,1.0,67.58614349365234,62.96857452392578,187.19984436035156,78.29647064208984
149.0,2025-07-27 14:12:47.950837,,0.0,,,,,6.859384536743164,6.811583518981934,1.0,67.60260772705078,63.00825119018555,186.59860229492188,78.02996826171875
150.0,2025-07-27 14:12:59.214802,,0.0,,,,,6.935074329376221,6.882026672363281,1.0,67.6189956665039,63.04777908325195,186.0006866455078,77.76383209228516
151.0,2025-07-27 14:13:11.067580,,0.0,,,,,7.010130405426025,6.952178001403809,1.0,67.63532257080078,63.0871467590332,185.4060516357422,77.49807739257812
152.0,2025-07-27 14:13:23.146117,,0.0,,,,,7.0845627784729,7.022031784057617,0.0,57.84699249267578,57.85089874267578,-11.021968841552734,-21.90087127685547
153.0,2025-07-27 14:13:34.570690,,0.0,,,,,6.992890357971191,6.941147804260254,0.0,57.75999069213867,57.76438903808594,-10.879673957824707,-22.043167114257812
154.0,2025-07-27 14:13:45.761186,,0.0,,,,,6.901575565338135,6.859906196594238,0.0,57.673004150390625,57.67788314819336,-10.747188568115234,-22.1756591796875
155.0,2025-07-27 14:13:59.134821,,0.0,,,,,6.810594081878662,6.7783308029174805,0.0,57.586029052734375,57.59138107299805,-10.623757362365723,-22.299089431762695
156.0,2025-07-27 14:14:12.380127,,0.0,,,,,6.7199225425720215,6.696445465087891,0.0,57.580650329589844,57.585323333740234,-9.610654830932617,-20.330284118652344
157.0,2025-07-27 14:14:24.374866,,0.0,,,,,6.63759183883667,6.6218485832214355,0.0,57.50157928466797,57.50666046142578,-9.500983238220215,-20.439956665039062
158.0,2025-07-27 14:14:35.926191,,0.0,,,,,6.555535793304443,6.5469770431518555,0.0,57.42253112792969,57.428001403808594,-9.39933967590332,-20.541603088378906
159.0,2025-07-27 14:14:48.348249,,0.0,,,,,6.4737348556518555,6.4718499183654785,0.0,57.343502044677734,57.3493537902832,-9.305102348327637,-20.635839462280273
160.0,2025-07-27 14:15:01.754805,,0.0,,,,,6.392170429229736,6.396487236022949,0.0,57.26449966430664,57.27070999145508,-9.217693328857422,-20.723243713378906
161.0,2025-07-27 14:15:13.610374,,0.0,,,,,6.310824394226074,6.3209052085876465,0.0,57.18552017211914,57.192073822021484,-9.136591911315918,-20.804338455200195
162.0,2025-07-27 14:15:25.116914,,0.0,,,,,6.229681968688965,6.245120525360107,0.0,57.1065673828125,57.113441467285156,-9.061327934265137,-20.87961196899414
163.0,2025-07-27 14:15:36.794104,,0.0,,,,,6.1487274169921875,6.16914701461792,0.0,57.02763748168945,57.034820556640625,-8.991439819335938,-20.949485778808594
164.0,2025-07-27 14:15:48.623245,,0.0,,,,,6.067947864532471,6.09299898147583,0.0,56.948734283447266,56.956207275390625,-8.926563262939453,-21.014371871948242
