iteration,timestamp,error_flag,P2,T1,V5F,J5,V5,T2,V4F,J4,V4,J1,P1F,V1F,P1
174.0,2026-01-02 14:03:43.863514,False,0.0,8.711201667785645,49.022438049316406,60.17803192138672,1.0,8.607818603515625,50.77457809448242,59.90287399291992,1.0,67.976318359375,277.8541259765625,171.6011962890625,1.0
175.0,2026-01-02 14:03:49.958439,False,0.0,8.763707160949707,48.701419830322266,60.228458404541016,1.0,8.662199974060059,50.425537109375,59.95725631713867,1.0,67.98902893066406,277.18408203125,171.15274047851562,1.0
176.0,2026-01-02 14:03:55.993459,False,0.0,8.815868377685547,48.38172912597656,60.278560638427734,1.0,8.716207504272461,50.07841873168945,60.011260986328125,1.0,68.00167846679688,276.51727294921875,170.70640563964844,1.0
177.0,2026-01-02 14:04:02.425083,False,0.0,8.867687225341797,48.06338119506836,60.32834243774414,1.0,8.769844055175781,49.73321533203125,60.06489944458008,1.0,68.01426696777344,275.85369873046875,170.26219177246094,1.0
178.0,2026-01-02 14:04:08.473813,False,0.0,8.919164657592773,47.74637222290039,60.377803802490234,1.0,8.823110580444336,49.3899040222168,60.1181640625,1.0,68.02679443359375,275.1933898925781,169.82009887695312,1.0
179.0,2026-01-02 14:04:14.807425,False,0.0,8.97030258178711,47.43070983886719,60.426944732666016,1.0,8.876008987426758,49.048484802246094,60.17106246948242,1.0,68.03926086425781,274.53631591796875,169.38011169433594,1.0
180.0,2026-01-02 14:04:20.786041,False,0.0,9.021102905273438,58.59778594970703,60.555213928222656,1.0,8.928542137145996,57.65559005737305,60.22361373901367,1.0,68.1169662475586,270.4408874511719,168.75592041015625,1.0
181.0,2026-01-02 14:04:27.150960,False,0.0,9.083864212036133,58.1385383605957,60.61451721191406,1.0,8.990293502807617,57.32851791381836,60.285362243652344,1.0,68.13188171386719,269.6545715332031,168.2208709716797,1.0
182.0,2026-01-02 14:04:33.022675,False,0.0,9.146132469177246,57.684593200683594,60.67338943481445,1.0,9.051694869995117,56.99985885620117,60.346763610839844,1.0,68.14673614501953,268.8719482421875,167.68869018554688,1.0
183.0,2026-01-02 14:04:39.265554,False,0.0,9.207915306091309,57.23582077026367,60.73183822631836,1.0,9.112743377685547,56.66969680786133,60.407814025878906,1.0,68.16151428222656,268.093017578125,167.15936279296875,1.0
184.0,2026-01-02 14:04:45.575741,False,0.0,9.269217491149902,56.79208755493164,60.78986358642578,1.0,9.173439025878906,56.33818435668945,60.468505859375,1.0,68.17622375488281,267.3177795410156,166.6328887939453,1.0
185.0,2026-01-02 14:04:51.484149,False,0.0,9.33004379272461,56.353233337402344,60.84747314453125,1.0,9.233779907226562,56.00545120239258,60.528846740722656,1.0,68.19085693359375,266.5461730957031,166.1092071533203,1.0
186.0,2026-01-02 14:04:58.273448,False,0.0,9.390399932861328,55.91913604736328,60.904666900634766,1.0,9.293764114379883,55.671627044677734,60.588829040527344,1.0,68.20542907714844,265.77825927734375,165.5883331298828,1.0
187.0,2026-01-02 14:05:03.506134,False,0.0,9.450291633605957,55.48966598510742,60.961448669433594,1.0,9.35339069366455,55.33683776855469,60.64845657348633,1.0,68.21993255615234,265.0140075683594,165.0702362060547,1.0
188.0,2026-01-02 14:05:10.249806,False,0.0,9.509723663330078,55.06468963623047,61.017826080322266,1.0,9.41265869140625,55.00121307373047,60.70772171020508,1.0,68.23435974121094,264.25341796875,164.5548858642578,1.0
189.0,2026-01-02 14:05:16.361721,False,0.0,9.568700790405273,54.64409637451172,61.073795318603516,1.0,9.471567153930664,54.66485595703125,60.766632080078125,1.0,68.24871826171875,263.4964599609375,164.0422821044922,1.0
190.0,2026-01-02 14:05:22.650714,False,0.0,9.627226829528809,54.227760314941406,61.12936782836914,1.0,9.530115127563477,54.327880859375,60.82518005371094,1.0,68.26301574707031,262.7431640625,163.5323944091797,1.0
191.0,2026-01-02 14:05:28.849458,False,0.0,9.685306549072266,53.815582275390625,61.184539794921875,1.0,9.588302612304688,53.99039077758789,60.883365631103516,1.0,68.27723693847656,261.9934997558594,163.0252227783203,1.0
192.0,2026-01-02 14:05:34.765123,False,0.0,9.742945671081543,52.01057815551758,61.22967529296875,1.0,9.64612865447998,52.56486892700195,60.94118881225586,1.0,68.28345489501953,261.6657409667969,162.54393005371094,1.0
193.0,2026-01-02 14:05:41.071732,False,0.0,9.798650741577148,51.624412536621094,61.282752990722656,1.0,9.702427864074707,52.22549819946289,60.99748611450195,1.0,68.2972183227539,260.9402160644531,162.05445861816406,1.0
194.0,2026-01-02 14:05:47.698614,False,0.0,9.85394287109375,51.24161911010742,61.33545684814453,1.0,9.758363723754883,51.88633728027344,61.05342102050781,1.0,68.31092071533203,260.21826171875,161.56756591796875,1.0
195.0,2026-01-02 14:05:53.501026,False,0.0,9.908824920654297,50.86210632324219,61.387786865234375,1.0,9.813936233520508,51.54744338989258,61.10899353027344,1.0,68.32454681396484,259.4998474121094,161.08322143554688,1.0
196.0,2026-01-02 14:05:59.678706,False,0.0,9.963299751281738,50.48581314086914,61.43975067138672,1.0,9.869145393371582,51.208892822265625,61.16420364379883,1.0,68.3381118774414,258.7850036621094,160.60142517089844,1.0
197.0,2026-01-02 14:06:06.564274,False,0.0,10.017372131347656,50.11266326904297,61.49134826660156,1.0,9.923992156982422,50.87074279785156,61.21904754638672,1.0,68.35160827636719,258.07373046875,160.12213134765625,1.0
198.0,2026-01-02 14:06:12.731832,False,0.0,10.071044921875,0.0,63.269386291503906,0.0,9.978476524353027,83.46898651123047,61.273616790771484,1.0,68.68390655517578,240.559326171875,141.061279296875,1.0
199.0,2026-01-02 14:06:18.514112,False,0.0,10.071044921875,0.0,63.32111358642578,0.0,10.067875862121582,82.57713317871094,61.363014221191406,1.0,68.7008285522461,239.66746520996094,140.57034301757812,1.0
200.0,2026-01-02 14:06:24.840975,False,0.0,10.071044921875,0.0,67.81513977050781,0.0,10.156319618225098,0.0,67.8231430053711,0.0,70.26754760742188,157.0904541015625,91.9066390991211,1.0
201.0,2026-01-02 14:06:31.081546,False,0.0,10.071044921875,0.0,6.320695355999106e-11,0.0,10.156318664550781,0.0,5.235056277363981e-10,0.0,-8.669824302920404e-10,0.0,-0.008266746997833252,0.0
202.0,2026-01-02 14:06:37.232148,False,0.0,10.071044921875,-78.96944427490234,60.95053482055664,1.0,10.156318664550781,-78.12105560302734,61.451194763183594,1.0,60.917171478271484,0.0,-8.826698303222656,0.0
203.0,2026-01-02 14:06:43.778204,False,0.0,9.986465454101562,-78.94197845458984,60.8662223815918,1.0,10.072648048400879,-78.14852905273438,61.367523193359375,1.0,60.832942962646484,0.0,-8.814868927001953,0.0
204.0,2026-01-02 14:06:49.869324,False,0.0,9.901915550231934,-99.47454071044922,60.55975341796875,1.0,9.988947868347168,-96.3427963256836,61.28376388549805,1.0,60.50577163696289,0.0,-11.448673248291016,0.0
205.0,2026-01-02 14:06:55.815645,False,0.0,9.795373916625977,-99.38980102539062,60.45421600341797,1.0,9.885760307312012,-96.42752075195312,61.18057632446289,1.0,60.400550842285156,0.0,-11.412262916564941,0.0
206.0,2026-01-02 14:07:02.116582,False,0.0,9.688922882080078,-99.30970764160156,60.348716735839844,1.0,9.782483100891113,-96.50761413574219,61.07729721069336,1.0,60.295345306396484,0.0,-11.377842903137207,0.0
207.0,2026-01-02 14:07:08.268314,False,0.0,9.582558631896973,-99.23399353027344,60.243247985839844,1.0,9.679119110107422,-96.58332824707031,60.973934173583984,1.0,60.19015884399414,0.0,-11.345296859741211,0.0
208.0,2026-01-02 14:07:14.352537,False,0.0,9.476274490356445,-99.16241455078125,60.13780975341797,1.0,9.575674057006836,-96.6549072265625,60.87049102783203,1.0,60.08498764038086,0.0,-11.31452465057373,0.0
209.0,2026-01-02 14:07:20.915716,False,0.0,9.370067596435547,-99.09474182128906,60.03240203857422,1.0,9.472152709960938,-96.72257995605469,60.7669677734375,1.0,59.97983169555664,0.0,-11.28542423248291,0.0
210.0,2026-01-02 14:07:26.664380,False,0.0,9.263933181762695,-99.03075408935547,59.927024841308594,1.0,9.368558883666992,-96.78656005859375,60.66337585449219,1.0,59.87468719482422,0.0,-11.257911682128906,0.0
