iteration,timestamp,J1,P1F,T1,V1F,P1
53,2026-01-02 13:56:32.272584,57.37295620748149,0.0,6.32048225402832,-6.293775215340247,0
54,2026-01-02 13:56:34.864003,57.312417146877884,0.0,6.25979471206665,-6.287114301812835,0
55,2026-01-02 13:56:37.910967,57.25188195380954,0.0,6.199123859405518,-6.281021260861053,0
56,2026-01-02 13:56:40.545083,57.191350196221826,0.0,6.138468265533447,-6.275449735539951,0
57,2026-01-02 13:56:43.486797,57.130821643224536,0.0,6.077826499938965,-6.27035336890458,0
58,2026-01-02 13:56:46.673606,57.070295983983925,0.0,6.017197132110596,-6.265691598628109,0
59,2026-01-02 13:56:49.406118,57.00977308136295,0.0,5.956579685211182,-6.2614354516199455,0
60,2026-01-02 13:56:52.512757,67.35464819262076,310.6202840544534,5.895972728729248,194.28673684274145,1
61,2026-01-02 13:56:54.984960,67.37035827686726,309.7922542692542,5.9725799560546875,193.7023843731822,1
62,2026-01-02 13:56:57.841514,67.38600299644833,308.96766965271456,6.04844856262207,193.12164774532903,1
63,2026-01-02 13:57:00.775738,67.401582259639,308.14653503937194,6.12359619140625,192.54449219147318,1
64,2026-01-02 13:57:03.839652,67.41709569303885,307.32887011000435,6.198038578033447,191.97084817619725,1
65,2026-01-02 13:57:06.469558,67.4325431320549,306.5146835397961,6.271790504455566,191.40069831564688,1
66,2026-01-02 13:57:09.353319,67.44792413871728,305.7039984127791,6.34486722946167,190.833990458259,1
67,2026-01-02 13:57:11.922960,67.4632390759569,304.8967955999945,6.417282581329346,190.27067824708865,1
68,2026-01-02 13:57:14.101003,67.47848769704913,304.09308810553034,6.489048957824707,189.7107153251909,1
69,2026-01-02 13:57:16.702953,67.49366978113632,303.2928875701079,6.560179710388184,189.15407851409327,1
70,2026-01-02 13:57:19.302724,67.50878526238944,302.49619746337004,6.6306867599487305,188.60070986761457,1
71,2026-01-02 13:57:22.207630,67.52383444107636,301.70300195912967,6.7005815505981445,188.0505804126642,1
72,2026-01-02 13:57:25.054449,67.51348216249303,302.2486384354962,6.769875526428223,187.59986342615775,1
73,2026-01-02 13:57:27.981815,67.52749979070364,301.509812755499,6.834047794342041,187.09006451331334,1
