,J1,J2,J3,J4,J5,J5S,J1S,J4S
115,-0.00015872956013720352,-0.0001425776134463158,-0.0001279465483394182,-0.00012715442001918432,-0.00012785041998776946,0,0,0
116,-0.00015877063538676683,-0.0001426782018911976,-0.0001281231441761821,-0.00012733059474452578,-0.00012802766892439755,0,0,0
117,-0.00015881151165853758,-0.00014277838892013395,-0.00012829842151663052,-0.000127506068553086,-0.0001282035840802731,0,0,0
118,-0.00015885218896666276,-0.0001428781648990063,-0.00012847239837274538,-0.00012768081977729384,-0.0001283781842539522,0,0,0
119,-0.00015889266862964435,-0.0001429775216055684,-0.0001286450916700177,-0.00012785482830575013,-0.00012855148705564145,0,0,0
120,-0.00015931332287704602,-0.00014411813362206704,-0.00012931585347930374,-0.0001280281916849657,-0.0001292155822642993,0,0,0
121,-0.00012659967293830897,-0.0001266176352783327,-0.0001267533994601877,-0.00012825607742961043,-0.0001267600803889146,0,0,0
122,-0.00012630596457594123,-0.00012632547505231738,-0.0001264566187335736,-0.00012797966820926154,-0.0001264631840755137,0,0,0
123,-0.00012601232520008664,-0.00012603333264305517,-0.00012616013897625566,-0.00012770228042843668,-0.00012616659741201852,0,0,0
124,-0.00012571875934062004,-0.00012574120952749457,-0.00012586394533386613,-0.00012742398049889192,-0.00012587030480275762,0,0,0
125,-0.00012542527260541892,-0.0001254491091235549,-0.00012556802518160715,-0.00012714482997712716,-0.00012557429297217038,0,0,0
126,-0.00012513186675154275,-0.000125157032152734,-0.00012527236447432033,-0.0001268648859548438,-0.00012527854726394726,0,0,0
127,-0.00012483854368318005,-0.00012486498009198042,-0.0001249769502363618,-0.0001265842014550611,-0.00012498305415354017,0,0,0
128,-0.00012454530342013659,-0.00012457295321857575,-0.00012468176939022912,-0.00012630282579427997,-0.00012468780008244806,0,0,0
129,-0.00012425214622271752,-0.00012428095240114677,-0.00012438681012599261,-0.0001260208046843414,-0.00012439277280501315,0,0,0
130,-0.0001239590699745291,-0.00012398897668618457,-0.00012409205985280724,-0.00012573818080962473,-0.00012409795930597988,0,0,0
131,-0.00012366607426247844,-0.0001236970268772397,-0.00012379750770010522,-0.00012545499378177727,-0.00012380334834695804,0,0,0
132,-0.0001229659966001856,-0.00012300357160331787,-0.00012312951317181687,-0.00012517118210088717,-0.0001231367727588051,0,0,0
133,-0.00012263748436933063,-0.0001226762040047702,-0.0001227993123700022,-0.00012485335212404026,-0.00012280650814828543,0,0,0
134,-0.00015832045490607016,-0.0001416411251771521,-0.0001255647638075563,-0.0001245357890334964,-0.00012545478657890907,0,0,0
135,-0.00015837121723773827,-0.00014176307123479393,-0.00012579138469571483,-0.00012475116277160358,-0.00012568243333516805,0,0,0
