iteration,timestamp,T1_LEVEL,T2_LEVEL,J1_LEVEL,J2_LEVEL,J3_LEVEL,J4_LEVEL,J5_LEVEL,J5S_LEVEL,J1S_LEVEL,J4S_LEVEL,P2_FLOW,P2_STATUS,P2_SPEED,P1_FLOW,P1_STATUS,P1_SPEED,V5_FLOW,V5_STATUS,V1_FLOW,V1_STATUS,V4_FLOW,V4_STATUS,plc4AttackerUnit
372,2026-01-01 18:23:27.432630,6.819040099129918,6.783401343753323,67.29051685743597,62.12104235105045,58.157554854374446,58.078413624401016,58.13373684892116,6.838736803409243,67.29051629774006,58.07841355761712,0.0,0.0,0.0,314.0004477037617,1.0,1.0,15.221407177250512,1.0,187.18963923106458,1.0,22.3357959293935,1.0,0
373,2026-01-01 18:23:29.991757,6.835342854166936,6.807323902139246,67.29501207981,62.13453693600942,58.174599519948174,58.102335678991714,58.15067661468978,6.855676568388936,67.2950115205295,58.10233561370513,0.0,0.0,0.0,313.7635184831173,1.0,1.0,15.485262215975126,1.0,187.0507016724332,1.0,21.83501923695985,1.0,0
374,2026-01-01 18:23:32.662394,6.851928206024763,6.830710104890109,67.29950355068289,62.14778285651982,58.191848599047155,58.12572141779172,58.167832793111714,6.8728327461135095,67.29950299182494,58.12572135391032,0.0,0.0,0.0,313.52678699245587,1.0,1.0,15.718492697942565,1.0,186.90937673113694,1.0,21.365058323681296,1.0,0
375,2026-01-01 18:23:35.161164,6.868763359117819,6.85359296568761,67.30398840095884,62.1607937291453,58.20926937290775,58.14860385195914,58.185172310937645,6.890172263330536,67.30398784252965,58.14860378939343,0.0,0.0,0.0,313.29040445291014,1.0,1.0,15.92214165441419,1.0,186.76598311117232,1.0,20.925026612985675,1.0,0
376,2026-01-01 18:23:37.842798,6.885816629607903,6.876004527976836,67.30846384599612,62.17358278212775,58.226831108988854,58.1710150224635,58.20266402408319,6.907663975952089,67.30846328800092,58.171014961127106,0.0,0.0,0.0,313.0545176343069,1.0,1.0,16.09739118748621,1.0,186.62083372191773,1.0,20.513883970920688,1.0,0
377,2026-01-01 18:23:40.171485,6.9030575955130145,6.897975746301117,67.31292776366631,62.18616310922405,58.24450516241301,58.192985881376686,58.22027881166826,6.925278763094206,67.3129272061095,58.1929858211867,0.0,0.0,0.0,312.8192383874499,1.0,1.0,16.245533496999087,1.0,186.474212499661,1.0,20.13046857655354,1.0,0
378,2026-01-01 18:23:42.583510,6.920457228533386,6.91953630991592,67.31737776890225,62.19854709025325,58.26226503893189,58.214546115518935,58.23798964886404,6.94298959992386,67.31737721178747,58.2145460563964,0.0,0.0,0.0,312.5846924218241,1.0,1.0,16.367985367082838,1.0,186.32638020221748,1.0,19.773462154262234,1.0,0
379,2026-01-01 18:23:45.333754,6.937988016569327,6.940714502069525,67.32181238213677,62.21074695134186,58.2800864440645,58.23572400576403,58.25577165884627,6.960771609612192,67.32181182546685,58.23572394763423,0.0,0.0,0.0,312.3509577208257,1.0,1.0,16.46627947422985,1.0,186.1775975874025,1.0,19.441445022607695,1.0,0
380,2026-01-01 18:23:47.891925,6.955624073730902,6.96153709123555,67.32622952666078,62.22277390744983,58.29794728664814,58.256546318269365,58.273602132165394,6.978602082704918,67.32622897043795,58.25654626106208,0.0,0.0,0.0,312.1181437413446,1.0,1.0,16.54199774918652,1.0,186.0280674668502,1.0,19.13290768357001,1.0,0
381,2026-01-01 18:23:50.602914,6.973341230732539,6.98202922627754,67.33062794927602,62.234638874411026,58.315827652843815,58.2770381996507,58.29146050568648,6.9964604560621275,67.33062739350183,58.277038143300466,0.0,0.0,0.0,311.8863165355715,1.0,1.0,16.59680614466197,1.0,185.87802162528533,1.0,18.846268206402783,1.0,0
382,2026-01-01 18:23:53.138329,6.991117097816712,7.002214352280495,67.33500653851236,62.24635206313811,58.333709680299144,58.297223092852335,58.30932824961232,7.014328199881577,67.33500598318783,58.29722303729855,0.0,0.0,0.0,311.655534685649,1.0,1.0,16.632387997219666,1.0,185.72763390125147,1.0,18.579898303414666,1.0,0
383,2026-01-01 18:23:55.743659,7.008931073693089,7.022114184438009,67.339364412267,62.25792301341099,58.35157755344485,58.31712271103617,58.32718887686123,7.032188827076536,67.33936385739268,58.317122656223084,0.0,0.0,0.0,311.42584468447836,1.0,1.0,16.650432438041207,1.0,185.5770607494378,1.0,18.332172584223372,1.0,0
384,2026-01-01 18:23:57.828000,7.02676437310927,7.04174869813136,57.70574009987916,57.71535484266896,57.75558631502367,58.33659692948851,57.757785352241335,6.462785630706793,57.70574013345607,58.33659718960015,0.0,0.0,0.0,0.0,0.0,0.0,-93.13244385737107,1.0,-11.229758410422619,1.0,-86.99403104571957,1.0,0
385,2026-01-01 18:24:00.317585,6.927015689918972,6.948574511346171,57.60867812078974,57.61869116096583,57.657889416427345,58.24342215796066,57.66006449481323,6.36506477273761,57.60867815413504,58.24342241861336,0.0,0.0,0.0,0.0,0.0,0.0,-92.95148083083404,1.0,-11.152295955412228,1.0,-87.17498827763848,1.0,0
386,2026-01-01 18:24:02.935977,6.827460824521073,6.855206505876741,57.51164107440067,57.52203523814903,57.5602590078452,58.15005360219324,57.562411686739004,6.267411964155054,57.51164110752827,58.15005386335427,0.0,0.0,0.0,0.0,0.0,0.0,-92.7814696325413,1.0,-11.07948657875113,1.0,-87.34499947593122,1.0,0
387,2026-01-01 18:24:05.681293,6.728088048730771,6.76165641104428,57.41462873113357,57.42538713056534,57.46269186458123,58.05650298943695,57.46482359191636,6.169823868854724,57.41462876405651,58.05650325107565,0.0,0.0,0.0,0.0,0.0,0.0,-92.62170911370049,1.0,-11.011037652224331,1.0,-87.50475420015391,1.0,0
