iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,plc4attack
37,2024-06-16 12:54:27.208643,9.803608857874938,9.277078388035104,61.00220956941575,60.78826749197192,61.14497501090254,60.53423676941168,61.15002154089643,0.0,0.0,0.0,0.0,1
38,2024-06-16 12:54:31.427838,9.755878954005333,9.311215358766097,60.96986452451504,60.78522948485576,61.09417539468714,60.57210198381188,61.09856496219981,0.0,0.0,0.0,0.0,1
39,2024-06-16 12:54:35.797765,9.711837311094461,9.341664068812833,60.93982860359068,60.78219918871026,61.04705899929866,60.60623445163614,61.05084113267163,0.0,0.0,0.0,0.0,1
40,2024-06-16 12:54:39.886136,9.67143605667981,9.368472390642765,60.912074513741125,60.77917780114573,61.00358144712364,60.636679150744484,61.00680507481753,0.0,0.0,0.0,0.0,1
41,2024-06-16 12:54:44.048058,9.634623981228472,9.391691533737552,60.886573371144216,60.77616696606621,60.963695511081724,60.663483947739714,60.96640892256498,0.0,0.0,0.0,0.0,1
42,2024-06-16 12:54:47.994650,9.601345974150204,9.411376608725892,60.863294535823584,60.77316902025424,60.927350672979784,60.686700045970035,60.929601473226,0.0,0.0,0.0,0.0,0
43,2024-06-16 12:54:51.915068,9.571542302432846,9.427587348547068,60.84220546462168,60.770187432416684,60.8944925679706,60.70638254968369,60.896327623594,0.0,0.0,0.0,0.0,0
44,2024-06-16 12:54:56.235289,9.545147672728431,9.4403890465279,60.82327165525383,60.76722764127866,60.8650622747728,60.72259118527644,60.86652764869363,0.0,0.0,0.0,0.0,0
45,2024-06-16 12:55:00.311226,9.522090002175519,9.449853785542905,60.80645689269476,60.76429880819107,60.8389953950067,60.73539123960963,60.84013626403812,0.0,0.0,0.0,0.0,0
46,2024-06-16 12:55:04.362043,9.502288844182935,9.456062012163619,60.79172446553505,60.76141795781938,60.81622085373023,60.74485478987537,60.81708139674537,0.0,0.0,0.0,0.0,0
47,2024-06-16 12:55:08.495169,9.485653735655978,9.459104189517586,60.779041834198075,60.75862166992414,60.79665939241769,60.75106228017847,60.797282611987235,0.0,0.0,0.0,0.0,0
48,2024-06-16 12:55:13.067075,9.472085523079823,9.459079459420007,60.76840127759195,60.756010644271,60.780222162125405,60.75410418948453,60.78064946265072,0.0,0.0,0.0,0.0,0
49,2024-06-16 12:55:17.386009,9.457656848009522,9.448848447497907,60.75491391889857,60.74749932798428,60.76660189631708,60.7540769262127,60.76708073469605,0.0,0.0,0.0,0.0,0
50,2024-06-16 12:55:21.787275,9.444186188803142,9.437659419950359,60.7417336262582,60.735572934430074,60.752231003416014,60.74384545754027,60.75265263172641,0.0,0.0,0.0,0.0,0
