iteration,timestamp,T1,PU1F,PU2F,J280,J269,PU1,PU2
69,2025-02-20 02:59:11.763757,3.1405019760131836,92.6788712393964,92.6967291575786,2.97703688327992,36.8885093915825,1,1
70,2025-02-20 03:00:34.913076,3.189842939376831,92.6398679954,92.6577146787529,2.97705477782497,36.9091359953765,1,1
71,2025-02-20 03:01:59.293119,3.189842939376831,93.5150366693956,93.5331360072147,2.97665169618061,36.445562264319,1,1
72,2025-02-20 03:03:27.107424,3.2119269371032715,93.4870892840048,93.5051805349029,2.97666461905096,36.4603907020504,1,1
73,2025-02-20 03:04:51.577574,3.2324841022491455,93.7934231026518,93.8116030543294,2.97652280023983,36.2977763233149,1,1
74,2025-02-20 03:06:12.934584,3.2530558109283447,93.7671814653002,93.7853538124773,2.97653497061552,36.3117144992425,1,1
75,2025-02-20 03:07:40.108648,3.2736423015594482,93.7409281127427,93.7590928535811,2.97654713683668,36.3256568296922,1,1
76,2025-02-20 03:09:06.364693,3.294243097305298,93.7146681308628,93.732825264497,2.97655929702745,36.3396012778017,1,1
77,2025-02-20 03:10:35.380521,3.3148579597473145,93.6884091331027,93.7065586608733,2.97657146493421,36.353543817155,1,1
78,2025-02-20 03:12:00.899259,3.3354873657226562,93.6621454886424,93.6802874102586,2.97658362454551,36.3674874190452,1,1
79,2025-02-20 03:13:25.365882,3.356130838394165,93.6358721879277,93.6540065016494,2.97659578672667,36.3814347502113,1,1
80,2025-02-20 03:14:50.734241,3.3767881393432617,93.6095975759641,93.6277242824687,2.97660795387088,36.395381385081,1,1
81,2025-02-20 03:16:11.219534,3.3974592685699463,93.583319623797,93.6014387231745,2.97662010909154,36.409328382731,1,1
82,2025-02-20 03:17:39.896792,3.438843011856079,93.5570396296635,93.5751511223803,2.97663226597378,36.4232750674508,1,1
83,2025-02-20 03:19:03.429239,3.438843011856079,93.5307492812703,93.5488531653875,2.97664443013418,36.4372258515815,1,1
84,2025-02-20 03:20:33.950650,3.459555149078369,93.5044608917561,93.5225571688998,2.97665658731509,36.4511741906647,1,1
85,2025-02-20 03:22:03.022918,3.4776930809020996,94.0216703018634,94.0399164366641,2.97641687912072,36.1764906452855,1,1
86,2025-02-20 03:23:26.921684,3.4958481788635254,93.9980616415563,94.0163009267382,2.97642783914706,36.1890410724265,1,1
87,2025-02-20 03:24:51.966207,3.5140202045440674,93.9744194453722,93.9926518723476,2.97643882412803,36.2016078147535,1,1
88,2025-02-20 03:26:16.927497,3.5322091579437256,93.950783980954,93.969009552531,2.97644979691898,36.2141698404543,1,1
89,2025-02-20 03:27:38.045469,3.550414800643921,93.9271268712937,93.9453455820479,2.97646078120888,36.2267422441789,1,1
90,2025-02-20 03:29:02.772654,3.5868756771087646,93.9034709383708,93.9216827894998,2.97647175841908,36.2393128852752,1,1
91,2025-02-20 03:30:19.871494,3.5868756771087646,93.8798056469903,93.8980106366357,2.97648274185219,36.2518873713287,1,1
92,2025-02-20 03:31:42.001652,3.605130910873413,93.8561352454196,93.8743333729566,2.97649372248247,36.2644634360543,1,1
93,2025-02-20 03:33:03.102623,3.6123952865600586,94.4539296399154,94.4723013320595,2.97621567593056,35.9465084051156,1,1
94,2025-02-20 03:34:28.556597,3.619703769683838,94.441145354836,94.4595133293488,2.97622163560003,35.9533158112885,1,1
95,2025-02-20 03:35:53.714530,3.6344544887542725,94.4282735802861,94.4466378121011,2.97622763829554,35.960169311004,1,1
96,2025-02-20 03:37:17.129678,3.6344544887542725,94.4153664377128,94.4337269168007,2.97623365778865,35.9670413064919,1,1
97,2025-02-20 03:38:43.686740,3.6391751766204834,94.8060738792077,94.8245480681122,2.97605118440103,35.7588730759389,1,1
98,2025-02-20 03:40:08.421174,3.6496212482452393,94.1868532588552,94.2051473403511,2.9763400852301,36.0886500297393,1,1
99,2025-02-20 03:41:37.419712,3.660139799118042,94.1656784018382,94.1839663344034,2.9763499348605,36.0999138247308,1,1
100,2025-02-20 03:43:02.470889,3.6707305908203125,94.1443634681157,94.1626452120765,2.97635984626969,36.111250804123,1,1
101,2025-02-20 03:44:29.141769,3.681393623352051,94.1229875170735,94.1412630554133,2.97636978738719,36.1226193156584,1,1
102,2025-02-20 03:45:53.483526,3.6921286582946777,94.1015334986086,94.1198028093645,2.97637976348002,36.1340284195306,1,1
103,2025-02-20 03:47:19.185484,3.702934741973877,94.0799951628988,94.0982582223024,2.97638977527144,36.1454814260363,1,1
104,2025-02-20 03:48:44.972827,3.7138121128082275,94.0584003164849,94.0766571088466,2.97639981177867,36.1569635402112,1,1
105,2025-02-20 03:50:13.081567,3.7247602939605713,94.0367268187232,94.054977321933,2.97640988275312,36.1684865270316,1,1
106,2025-02-20 03:51:39.474856,3.73577880859375,94.0149882379844,94.033232433878,2.97641997834146,36.1800431580375,1,1
107,2025-02-20 03:53:02.972647,3.7468671798706055,93.9931774373436,94.0114153056921,2.976430112718,36.1916372299398,1,1
108,2025-02-20 03:54:28.728623,3.765044927597046,93.9712857122246,93.9895172302816,2.97644028185149,36.2032733516144,1,1
109,2025-02-20 03:55:47.238035,3.765044927597046,94.6732699908799,94.691705503185,2.97611327919562,35.829665032575,1,1
110,2025-02-20 03:57:12.342905,3.779322862625122,94.6564623361854,94.6748929554747,2.9761211345416,35.8386219580567,1,1
111,2025-02-20 03:58:32.228824,3.779322862625122,94.6395631557398,94.657988855802,2.97612902859775,35.8476270821701,1,1
112,2025-02-20 03:59:58.295880,3.7939162254333496,94.6225789971083,94.6409997536451,2.97613696630235,35.8566769148372,1,1
113,2025-02-20 04:01:28.243840,3.7939162254333496,94.6054984859963,94.6239142714057,2.97614493975751,35.8657774941708,1,1
114,2025-02-20 04:02:52.495699,3.797278642654419,95.1175135183538,95.1360785138656,2.9759052712437,35.5927184600016,1,1
115,2025-02-20 04:04:20.190801,3.797278642654419,95.1121093716557,95.1306727902019,2.97590780905147,35.5956032878893,1,1
116,2025-02-20 04:05:48.323722,3.786627769470215,95.4164365769743,95.4350888680258,2.9757648464942,35.4330586569624,1,1
117,2025-02-20 04:07:17.815996,3.7760579586029053,95.4209182294853,95.4395718303456,2.97576273600834,35.4306635868674,1,1
