J2,P1F,V_UF,P1,T41
60.3822803247958,0.0,-11.7484259862977,0,6.5988264083862305
60.2769290917185,0.0,-11.6955500959648,0,6.5988264083862305
60.3126238458807,0.0,-10.2021205520941,0,6.5988264083862305
60.2189862989088,0.0,-10.1654637978754,0,6.5988264083862305
60.1253647027054,0.0,-10.1310118958509,0,6.5988264083862305
60.0317593195409,0.0,-10.0986518509671,0,6.5988264083862305
59.9381694119777,0.0,-10.0682330031532,0,6.5988264083862305
59.844594593262,0.0,-10.0396394600466,0,6.5988264083862305
59.7510338282068,0.0,-10.0127698158303,0,6.5988264083862305
59.6574865180913,0.0,-9.98750238352386,0,6.5988264083862305
59.5639519064161,0.0,-9.96375603847355,0,6.5988264083862305
59.4704294994272,0.0,-9.94143227217137,0,6.5988264083862305
59.3769186205157,0.0,-9.92043837072742,0,6.5988264083862305
59.2834188208254,0.0,-9.90069900410617,0,6.5988264083862305
59.1646499259147,0.0,-10.1593707569236,0,6.5988264083862305
59.06898124864,0.0,-10.1390171607818,0,6.5988264083862305
58.9733228303288,0.0,-10.1198630505905,0,6.5988264083862305
58.8776744088003,0.0,-10.1018244043871,0,6.5988264083862305
58.7820357585243,0.0,-10.0848403786813,0,6.5988264083862305
58.6864060018065,0.0,-10.0688559246009,0,6.5988264083862305
58.5907850145017,0.0,-10.0538044040377,0,6.5988264083862305
58.4951721355432,0.0,-10.0396278708104,0,6.5988264083862305
58.3995669723258,0.0,-10.0262828652831,0,6.5988264083862305
58.3039691020603,0.0,-10.0137143385837,0,6.5988264083862305
58.2083781285187,0.0,-10.0018759337672,0,6.5988264083862305
58.112793926645,0.0,-9.9907270885069,0,6.5988264083862305
58.2085901264031,0.0,-7.65512802843205,0,6.5988264083862305
58.1309572892592,0.0,-7.67865997261197,0,6.5988264083862305
58.0533080407569,0.0,-7.70060419142737,0,6.5988264083862305
57.975644033689,0.0,-7.7210505014591,0,6.5988264083862305
57.8979663748285,0.0,-7.74010900045141,0,6.5988264083862305
57.8202762275978,0.0,-7.75786950498514,0,6.5988264083862305
57.7425744400312,0.0,-7.77441893433206,0,6.5988264083862305
57.6648618056586,0.0,-7.78984420776396,0,6.5988264083862305
