iteration,timestamp,T2,J4,V4F,V4
181,2026-01-02 15:29:47.626958,8.990293323889313,60.285363480350505,57.328518354893276,1
182,2026-01-02 15:29:53.680977,9.051694532552341,60.34676394678696,56.99985920443851,1
183,2026-01-02 15:29:59.930805,9.112743731997924,60.40781240426352,56.669696350581944,1
184,2026-01-02 15:30:05.945162,9.173439309740921,60.46850724070482,56.33818335070373,1
185,2026-01-02 15:30:12.091869,9.233779824466895,60.52884701512228,56.005450583711536,1
186,2026-01-02 15:30:18.483533,9.293763968811719,60.58883042048032,55.67162553120397,1
187,2026-01-02 15:30:24.645677,9.353390573265777,60.64845628758702,55.33683857208871,1
188,2026-01-02 15:30:30.940777,9.4126586036015,60.70772358254246,55.00121139334624,1
189,2026-01-02 15:30:37.128931,9.471567168490168,60.76663141424682,54.664854092720816,1
190,2026-01-02 15:30:43.203429,9.530115473700334,60.82517898879278,54.327879665265755,1
191,2026-01-02 15:30:49.301111,9.58830287130207,60.88336565844259,53.99038951679813,1
192,2026-01-02 15:30:55.601473,9.64612879695794,60.94118855202044,52.56486999996923,1
193,2026-01-02 15:31:01.823923,9.702427939398838,60.997486982793696,52.2254994979221,1
194,2026-01-02 15:31:07.871096,9.758363598979967,61.05342193506688,51.88633760212724,1
195,2026-01-02 15:31:14.113969,9.81393600026077,61.10899363352492,51.54744225876584,1
196,2026-01-02 15:31:20.169879,9.869145434602638,61.164202369670704,51.20889459249156,1
197,2026-01-02 15:31:26.333887,9.923992269979996,61.21904851158733,50.87074385755841,1
198,2026-01-02 15:31:32.570775,9.978476935535323,61.27361752049082,83.46898810827952,1
199,2026-01-02 15:31:38.882085,10.067875655665059,61.363013473597334,82.57713553632584,1
200,2026-01-02 15:31:45.052733,10.1563191642826,67.82314415774574,0.0,0
201,2026-01-02 15:31:51.284286,10.156319133251223,5.235056164565322e-10,0.0,0
202,2026-01-02 15:31:57.313318,10.156318885000234,61.45119451213999,-78.12105681921366,1
203,2026-01-02 15:32:03.479873,10.072648012301132,61.36752355852312,-78.14852910371428,1
204,2026-01-02 15:32:09.813626,9.988947720667621,61.283764397018665,-96.34279267402235,1
205,2026-01-02 15:32:16.216856,9.885760624064831,61.18057700188814,-96.42752447746261,1
206,2026-01-02 15:32:22.408033,9.782482772113108,61.07729886756497,-96.50761768909888,1
207,2026-01-02 15:32:28.539634,9.679119136695455,60.97393496504345,-96.58333016943743,1
208,2026-01-02 15:32:34.813997,9.575674411597692,60.87048998727298,-96.65490818974831,1
209,2026-01-02 15:32:40.958969,9.472153027561472,60.76696836419127,-96.72258063744721,1
210,2026-01-02 15:32:47.016516,9.368559163274377,60.66337427373194,-96.78656191340451,1
211,2026-01-02 15:32:53.166902,9.264896761571473,60.55971165811664,-96.8470606238725,1
212,2026-01-02 15:32:59.324167,9.161169572963027,60.45598426704208,-96.90427958048531,1
213,2026-01-02 15:33:05.464430,9.057381095717599,60.352195598303005,-96.95837813524122,1
214,2026-01-02 15:33:11.659689,8.953534679584571,60.24834900097162,-97.00954171592002,1
215,2026-01-02 15:33:17.845713,8.84963346476548,60.144447614693945,-97.0579354691381,1
216,2026-01-02 15:33:24.110861,8.745680419370261,60.040528506134905,-87.03881185454065,1
217,2026-01-02 15:33:30.322065,8.652458268110463,59.947306338463186,-87.04388504270355,1
218,2026-01-02 15:33:36.544500,8.559230680475675,59.854078735368596,-87.04867139726957,1
219,2026-01-02 15:33:42.750245,8.465997966638666,59.760846006987904,-87.05317671285684,1
220,2026-01-02 15:33:48.995220,8.372760430588595,59.66760845725183,-87.05741257870159,1
221,2026-01-02 15:33:55.326541,8.27951835689467,59.57436637068922,-87.06139927596723,1
222,2026-01-02 15:34:01.454698,8.18627201671498,59.48112001840942,-87.0651425992719,1
223,2026-01-02 15:34:07.571251,8.093021665011916,59.387869655301365,-87.06867152170616,1
224,2026-01-02 15:34:13.760654,7.999767532369602,59.294615511941444,-87.07199183788816,1
225,2026-01-02 15:34:19.836692,7.906509846788034,59.20135781626407,-87.07511513705413,1
226,2026-01-02 15:34:26.053470,7.813248814500028,59.108096774465004,-87.07805590574935,1
227,2026-01-02 15:34:32.387143,7.719984629438207,59.014832580479705,-87.08081993859196,1
228,2026-01-02 15:34:38.505796,7.626717486461582,58.92155931047754,-88.95980309091556,1
229,2026-01-02 15:34:44.773960,7.531437869737724,58.82627965913938,-88.97032901472812,1
230,2026-01-02 15:34:50.845443,7.436146985980468,58.73098874273818,-88.98024650363823,1
231,2026-01-02 15:34:56.841938,7.340845478165078,58.63568720419255,-88.98958453073647,1
