,J1,J2,J3,J4,J5,J5S,J1S,J4S
165,-0.00016032543919715147,-0.000146560624817057,-0.00013313418580105927,-0.00013163413120351964,-0.00013304443691652512,0,0,0
166,-0.0001603809845220544,-0.0001466928559455488,-0.00013336073460733732,-0.0001318696249705198,-0.0001332717261380556,0,0,0
167,-0.00016043628874925136,-0.00014682444681117957,-0.0001335856739640917,-0.0001321038768048599,-0.0001334973945811313,0,0,0
168,-0.00016019676656684744,-0.00014617961985084526,-0.00013342190716851386,-0.00013233678726432886,-0.00013334005074059797,0,0,0
169,-0.00016024052911583375,-0.0001462870386593934,-0.0001335967134755467,-0.00013252631243896971,-0.0001335152985194399,0,0,0
170,-0.000160284081558984,-0.00014639379740208623,-0.00013377040582949307,-0.00013271454483657186,-0.0001336894297930735,0,0,0
171,-0.00016032742730855864,-0.00014649990098510924,-0.0001339429962892702,-0.0001329014919550542,-0.00013386245636576977,0,0,0
172,-0.00016037056490458555,-0.00014660535135792128,-0.00013411448937060587,-0.0001330871608905604,-0.00013403438274193878,0,0,0
173,-0.0001604134961409065,-0.0001467101522723113,-0.00013428488957225148,-0.0001332715586430344,-0.0001342052134373084,0,0,0
174,-0.00016045622079399857,-0.00014681430636245385,-0.00013445420139295838,-0.00013345469226334948,-0.00013437495293365352,0,0,0
175,-0.0001604987387902973,-0.0001469178163134527,-0.00013462242892404387,-0.00013363656872881436,-0.0001345436053392679,0,0,0
176,-0.00016054105034766676,-0.0001470206849490524,-0.00013478957676045899,-0.0001338171949148792,-0.0001347111752491026,0,0,0
177,-0.0001605831558961762,-0.0001471229152005149,-0.00013495564964994267,-0.00013399657771962948,-0.00013487766741655525,0,0,0
178,-0.0001606250560724415,-0.000147224510117937,-0.0001351206515593184,-0.00013417472400153896,-0.00013504308579147305,0,0,0
179,-0.00016066675044356383,-0.00014732547211479985,-0.00013528458736647764,-0.00013435164053985816,-0.00013520743528570023,0,0,0
180,-0.0001609266241623039,-0.00014799688242616958,-0.00013571741967159488,-0.0001345273976396022,-0.00013563644030213816,0,0,0
181,-0.0001609765191134871,-0.00014811423433061687,-0.00013591514232951462,-0.0001347339223507382,-0.00013583477646525121,0,0,0
182,-0.00016102617929209556,-0.00014823097282607055,-0.00013611143615004594,-0.0001349392754851586,-0.00013603167468029698,0,0,0
183,-0.00016107560626844818,-0.0001483470961328359,-0.00013630631697784777,-0.0001351434513274685,-0.00013622715093906335,0,0,0
184,-0.00016112479934226765,-0.00014846260129984523,-0.00013649979703028392,-0.00013534644449048394,-0.00013642121773619565,0,0,0
185,-0.00016117376007396988,-0.0001485774869095674,-0.00013669188836061273,-0.0001355482501529015,-0.00013661388736262213,0,0,0
186,-0.00016122248783967147,-0.0001486917504891039,-0.00013688260241094153,-0.0001357488639461224,-0.00013680517152075522,0,0,0
187,-0.0001612709834061407,-0.00014880539054170028,-0.0001370719507705065,-0.00013594828195425234,-0.00013699508201486576,0,0,0
188,-0.0001613192466757632,-0.00014891840528483247,-0.0001372599446267686,-0.0001361465007197604,-0.0001371836302644258,0,0,0
189,-0.00016136727899957904,-0.00014903079394607333,-0.0001374465948842485,-0.00013634351727177308,-0.00013737082738333184,0,0,0
190,-0.00016141507979190172,-0.00014914255479665738,-0.00013763191241351392,-0.0001365393289393335,-0.00013755668445152746,0,0,0
