iteration,timestamp,T1,P1F,J1,V1F,P1
85,2026-01-02 15:23:29.330789,6.207850933074951,0.0,56.20654442092843,-16.83224727344168,0
86,2026-01-02 15:23:31.428455,6.058828353881836,0.0,56.061702286417834,-16.746736093864456,0
87,2026-01-02 15:23:33.762682,5.910019397735596,0.0,55.916886531637736,-16.664884215629172,0
88,2026-01-02 15:23:36.416632,5.761415481567383,325.1822182144897,67.07836681176302,195.75906818204203,1
89,2026-01-02 15:23:38.730703,5.793896675109863,324.8266542186928,67.08511287383574,195.5064286266861,1
90,2026-01-02 15:23:41.287540,5.825916767120361,324.4728801352731,67.0918249761708,195.25624019479437,1
91,2026-01-02 15:23:44.051876,5.857509613037109,324.1209517302708,67.09850206072761,195.00840437785882,1
92,2026-01-02 15:23:46.601016,5.888704776763916,323.77090547863247,67.10514343547246,194.7628458458439,1
93,2026-01-02 15:23:49.243231,5.919528007507324,323.4227553881275,67.11174883463808,194.51944291176915,1
94,2026-01-02 15:23:52.027041,5.9500017166137695,323.0765273736403,67.11831776654527,194.27813183483522,1
95,2026-01-02 15:23:54.703841,5.980144500732422,322.7322110057682,67.1248504290695,194.03881990115224,1
96,2026-01-02 15:23:57.138186,6.009974479675293,322.77412897422187,67.1240551257753,193.78312658204777,1
97,2026-01-02 15:24:00.202716,6.03801155090332,322.44974375445895,67.1302096376321,193.5590892617256,1
98,2026-01-02 15:24:02.646063,6.0657830238342285,322.1271882744499,67.1363294341125,193.33676135374844,1
99,2026-01-02 15:24:05.423211,6.093301296234131,321.80645009008344,67.14241475131668,193.11607332269887,1
100,2026-01-02 15:24:07.839087,6.120575428009033,321.4875281498364,67.14846560919511,192.8969672223957,1
101,2026-01-02 15:24:09.829805,6.147615432739258,321.17040911528727,67.1544822608156,192.6794140797483,1
102,2026-01-02 15:24:12.579552,6.174428939819336,320.8550922142076,67.16046472082954,192.46336174319367,1
103,2026-01-02 15:24:15.033702,6.201023578643799,320.5415536722014,67.16641344030499,192.24878123964118,1
104,2026-01-02 15:24:17.649832,6.2274065017700195,320.22979623822386,67.17232836708635,192.03562041752775,1
105,2026-01-02 15:24:20.086577,6.25358247756958,319.91979949848724,67.17820988848143,191.82386189299905,1
106,2026-01-02 15:24:22.795131,6.279558181762695,319.6115588766875,67.1840580913157,191.61347669296447,1
107,2026-01-02 15:24:25.483879,6.305338382720947,319.3050724016267,67.18987301298844,191.40442425509718,1
108,2026-01-02 15:24:27.857232,6.33092737197876,309.6844991956988,67.37240269762822,191.18859790864917,1
109,2026-01-02 15:24:30.580514,6.3907246589660645,309.0151351909176,67.38510243994989,190.72046809469612,1
110,2026-01-02 15:24:33.047082,6.449952602386475,308.3489167163417,67.3977425026013,190.25546737452714,1
111,2026-01-02 15:24:35.812275,6.5086259841918945,307.68586077712405,67.41032256294629,189.79353780196107,1
112,2026-01-02 15:24:38.497606,6.5667572021484375,307.0259625394695,67.42284271269571,189.33462722543482,1
113,2026-01-02 15:24:41.144957,6.62436056137085,306.3691993807138,67.43530338106594,188.87868349338532,1
114,2026-01-02 15:24:43.834609,6.6814470291137695,305.7156003725226,67.44770401648468,188.42567183810388,1
115,2026-01-02 15:24:46.526973,6.738028526306152,305.065142514758,67.46004505533006,187.97554010802742,1
116,2026-01-02 15:24:48.918922,6.794116020202637,304.4178240258146,67.47232653140422,187.52824194621098,1
