iteration,timestamp,P79,T41,T42,P1,J2,J13,J21,V1F
19.0,2024-12-23 14:12:27.710278,1.0,9.980923652648926,7.6012983322143555,0.0,61.16658020019531,77.33068084716797,61.13295364379883,191.4371337890625
20.0,2024-12-23 14:12:34.874500,1.0,10.124311447143555,7.821718692779541,0.0,61.3099250793457,77.34062194824219,61.27626037597656,190.5761260986328
21.0,2024-12-23 14:12:41.983274,1.0,10.26776123046875,8.040093421936035,0.0,61.453338623046875,77.3505630493164,61.419647216796875,189.71133422851562
22.0,2024-12-23 14:12:48.942287,0.0,10.163951873779297,8.1273832321167,0.0,61.5440673828125,60.61391830444336,61.56257629394531,-42.66838836669922
23.0,2024-12-23 14:12:55.912123,0.0,10.064698219299316,8.21011734008789,0.0,61.441749572753906,60.58745193481445,61.45878219604492,-40.81565475463867
24.0,2024-12-23 14:13:03.139251,0.0,9.969968795776367,8.288326263427734,0.0,61.34391784667969,60.5620231628418,61.35954284667969,-38.97510528564453
25.0,2024-12-23 14:13:10.337649,0.0,9.878016471862793,8.359942436218262,0.0,61.25003433227539,60.51942443847656,61.26482009887695,-37.947471618652344
26.0,2024-12-23 14:13:17.374047,0.0,9.790515899658203,8.427105903625488,0.0,61.159393310546875,60.4950065612793,61.172882080078125,-36.135860443115234
27.0,2024-12-23 14:13:24.290782,0.0,9.707432746887207,8.489850997924805,0.0,61.07313919067383,60.47160339355469,61.085391998291016,-34.337852478027344
28.0,2024-12-23 14:13:31.736342,0.0,9.628732681274414,8.54821491241455,0.0,60.99123764038086,60.44921112060547,61.002323150634766,-32.553951263427734
29.0,2024-12-23 14:13:38.709048,0.0,9.554378509521484,8.602231979370117,0.0,60.913658142089844,60.427818298339844,60.92363357543945,-30.784685134887695
30.0,2024-12-23 14:13:45.568361,0.0,9.484333038330078,8.651941299438477,0.0,60.84035873413086,60.40742492675781,60.84928894042969,-29.030656814575195
31.0,2024-12-23 14:13:52.636073,0.0,9.418554306030273,8.697382926940918,0.0,60.77130126953125,60.38801574707031,60.77925491333008,-27.292490005493164
32.0,2024-12-23 14:13:59.318406,0.0,9.357001304626465,8.738598823547363,0.0,60.706451416015625,60.36958312988281,60.71348190307617,-25.570863723754883
33.0,2024-12-23 14:14:06.701051,0.0,9.299630165100098,8.775632858276367,0.0,60.64576721191406,60.35212326049805,60.651939392089844,-23.866531372070312
34.0,2024-12-23 14:14:13.640146,0.0,9.246395111083984,8.808530807495117,0.0,60.589202880859375,60.33562088012695,60.59457778930664,-22.180282592773438
35.0,2024-12-23 14:14:21.200750,0.0,9.197246551513672,8.837343215942383,0.0,60.536712646484375,60.320072174072266,60.54134750366211,-20.512985229492188
36.0,2024-12-23 14:14:28.035385,0.0,9.152132034301758,8.862120628356934,0.0,60.488250732421875,60.30546951293945,60.49220657348633,-18.865558624267578
37.0,2024-12-23 14:14:35.040042,0.0,9.113978385925293,8.886680603027344,0.0,60.4442024230957,60.30632400512695,60.44710159301758,-15.87266731262207
38.0,2024-12-23 14:14:42.249899,0.0,9.079784393310547,8.907281875610352,0.0,60.40658950805664,60.2953987121582,60.40895462036133,-14.258011817932129
39.0,2024-12-23 14:14:49.296319,0.0,9.049489974975586,8.923983573913574,0.0,60.37287521362305,60.285396575927734,60.3747673034668,-12.665971755981445
40.0,2024-12-23 14:14:56.601760,0.0,9.023032188415527,8.936847686767578,0.0,60.34300231933594,60.27630615234375,60.34447479248047,-11.097290992736816
41.0,2024-12-23 14:15:03.757070,0.0,9.000344276428223,8.945942878723145,0.0,60.31691360473633,60.268131256103516,60.31801986694336,-9.551895141601562
42.0,2024-12-23 14:15:10.999590,0.0,8.981356620788574,8.951337814331055,0.0,60.29454040527344,60.26087188720703,60.29533767700195,-8.02733039855957
43.0,2024-12-23 14:15:17.970150,0.0,8.966004371643066,8.953097343444824,0.0,60.275814056396484,60.25457763671875,60.27635192871094,-6.513014793395996
44.0,2024-12-23 14:15:24.902934,0.0,8.954266548156738,8.951242446899414,0.0,60.26067352294922,60.24941635131836,60.26100158691406,-4.9573187828063965
45.0,2024-12-23 14:15:32.200055,0.0,8.946174621582031,8.945741653442383,0.0,60.24909973144531,60.245304107666016,60.249263763427734,-3.2686803340911865
46.0,2024-12-23 14:15:39.096273,0.0,8.939587593078613,8.938735961914062,0.0,60.24106216430664,60.238582611083984,60.241172790527344,-2.8335278034210205
47.0,2024-12-23 14:15:45.843721,0.0,8.932671546936035,8.932058334350586,0.0,60.23446273803711,60.23179626464844,60.23458480834961,-2.901203155517578
48.0,2024-12-23 14:15:52.925050,0.0,8.925931930541992,8.92520523071289,0.0,60.22755432128906,60.22499465942383,60.22766876220703,-2.8624255657196045
49.0,2024-12-23 14:16:00.045258,0.0,8.914352416992188,8.912124633789062,0.0,60.220611572265625,60.21338653564453,60.22092819213867,-5.085751056671143
50.0,2024-12-23 14:16:06.976760,0.0,8.901951789855957,8.899866104125977,0.0,60.208988189697266,60.20110321044922,60.2093505859375,-5.2307844161987305
51.0,2024-12-23 14:16:13.794317,0.0,8.88961410522461,8.887543678283691,0.0,60.196590423583984,60.18877029418945,60.19694900512695,-5.216917991638184
