,J1,J2,J3,J4,J5,J1S,J2S
277,-0.00015939141793572253,-0.00014429678841283987,-0.00012942936398200767,-0.00012789734206077318,-0.00012932875310278646,0,0
278,-0.00012674152530444487,-0.00012675088960396817,-0.00012689504808523043,-0.00012814190152479643,-0.00012690162720070618,0,0
279,-0.00012646454426167326,-0.0001264755057028155,-0.00012661387448346218,-0.00012788651802536188,-0.00012662029627279246,0,0
280,-0.00012618756972935879,-0.00012620011495733608,-0.00012633306034041668,-0.0001276297910120272,-0.00012633933794335085,0,0
281,-0.0001259106229718826,-0.00012592472523044183,-0.00012605259187689955,-0.00012737181929321716,-0.0001260587371486377,0,0
282,-0.00012563371910533221,-0.00012564934146227114,-0.00012577245465163588,-0.00012711269379463874,-0.00012577847836088728,0,0
283,-0.00012535687260635002,-0.00012537397077726163,-0.0001254926353211594,-0.0001268524980855501,-0.00012549854720673049,0,0
284,-0.0001250800921385692,-0.0001250986163867862,-0.00012521311900280828,-0.00012659130922192284,-0.00012521892793204925,0,0
285,-0.00012480338455480466,-0.00012482328141450615,-0.00012493389115910802,-0.00012632919819348775,-0.00012493960519015967,0,0
286,-0.0001245267544966927,-0.00012454796833049063,-0.0001246549373204897,-0.00012606623055186228,-0.00012466056380414203,0,0
287,-0.00012425020478797787,-0.00012427267839665356,-0.00012437624323807794,-0.0001258024668406199,-0.00012438178888001693,0,0
