iteration,timestamp,P79,ScadaCommand_P79,ScadaCommand_P1,ScadaCommand_V1,T41,T42,P1,J2,J13,J21,V1F
42.0,2024-11-12 18:17:24.728484,0.0,0,0,,10.668000221252441,8.727784156799316,1.0,77.7187271118164,70.66752624511719,77.7187271118164,160.30445861816406
43.0,2024-11-12 18:17:39.098558,0.0,0,0,,10.668000221252441,9.016617774963379,1.0,77.73130798339844,70.7878189086914,77.73130798339844,158.9823455810547
44.0,2024-11-12 18:17:51.744787,0.0,0,0,,10.668000221252441,9.302946090698242,1.0,77.74386596679688,70.90714263916016,77.74386596679688,157.6625518798828
45.0,2024-11-12 18:18:05.375473,0.0,0,0,,10.668000221252441,9.586775779724121,1.0,77.75640106201172,71.0254898071289,77.75640106201172,156.34506225585938
46.0,2024-11-12 18:18:18.264820,0.0,0,0,,10.668000221252441,9.868108749389648,1.0,77.76891326904297,71.14287567138672,77.76891326904297,155.02993774414062
47.0,2024-11-12 18:18:31.704065,0.0,0,0,,10.668000221252441,10.146951675415039,1.0,77.78141021728516,71.25929260253906,77.78141021728516,153.7171630859375
48.0,2024-11-12 18:18:57.315332,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,77.78209686279297,71.32908630371094,77.78209686279297,153.32664489746094
49.0,2024-11-12 18:19:10.032558,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550256729125977
50.0,2024-11-12 18:19:22.062490,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.55034351348877
51.0,2024-11-12 18:19:35.209089,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550313949584961
52.0,2024-11-12 18:19:48.380033,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550308227539062
53.0,2024-11-12 18:20:01.631237,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550285339355469
54.0,2024-11-12 18:20:15.224776,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550332069396973
55.0,2024-11-12 18:20:28.113423,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.55031967163086
56.0,2024-11-12 18:20:40.930510,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550332069396973
57.0,2024-11-12 18:20:55.040693,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550313949584961
58.0,2024-11-12 18:21:08.078332,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550325393676758
59.0,2024-11-12 18:21:20.096416,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550337791442871
60.0,2024-11-12 18:21:33.675850,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.12432861328125,79.07583618164062,79.12432861328125,12.550325393676758
61.0,2024-11-12 18:21:46.105644,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654191970825195
62.0,2024-11-12 18:21:59.798537,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.6541805267334
63.0,2024-11-12 18:22:13.494747,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
64.0,2024-11-12 18:22:25.731182,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.6541805267334
65.0,2024-11-12 18:22:38.818221,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
66.0,2024-11-12 18:22:52.208572,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
67.0,2024-11-12 18:23:06.095342,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
68.0,2024-11-12 18:23:19.506393,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
69.0,2024-11-12 18:23:32.165550,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
70.0,2024-11-12 18:23:45.104020,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
71.0,2024-11-12 18:23:57.901139,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
72.0,2024-11-12 18:24:10.334370,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.0543441772461,78.94307708740234,79.0543441772461,19.654186248779297
73.0,2024-11-12 18:24:22.689095,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656688690185547
74.0,2024-11-12 18:24:35.718282,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656713485717773
75.0,2024-11-12 18:24:48.983223,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656719207763672
76.0,2024-11-12 18:25:01.267406,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656707763671875
77.0,2024-11-12 18:25:12.996230,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656719207763672
78.0,2024-11-12 18:25:26.867349,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656707763671875
79.0,2024-11-12 18:25:39.045276,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656719207763672
80.0,2024-11-12 18:25:53.224876,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656707763671875
81.0,2024-11-12 18:26:05.776836,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656719207763672
82.0,2024-11-12 18:26:18.861046,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656700134277344
83.0,2024-11-12 18:26:32.683701,0.0,0,0,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656707763671875
84.0,2024-11-12 18:26:46.350129,0.0,,,,10.668000221252441,10.668000221252441,1.0,79.04446411132812,78.92247009277344,79.04446411132812,20.656719207763672
