iteration,timestamp,T41_LEVEL,T42_LEVEL,J2_LEVEL,J13_LEVEL,J14_LEVEL,J19_LEVEL,J21_LEVEL,P79_FLOW,P79_STATUS,P1_FLOW,P1_STATUS,V1_FLOW,V1_STATUS,CloseP1Start
10,2024-11-12 18:10:13.185510,7.3664499454248675,4.836399022678648,58.75635426290266,57.57483120529452,58.75635440957391,56.037300477942814,58.780176188036386,0.0,0.0,0.0,0.0,-49.05402677422899,1.0,0
11,2024-11-12 18:10:26.100925,7.252096046296912,4.926041781172177,58.639088166275,57.54348512543108,58.63908830733711,56.13154006826055,58.66122854306758,0.0,0.0,0.0,0.0,-47.1780568233271,1.0,0
12,2024-11-12 18:10:39.339378,7.1423241458471844,5.011102539218367,58.52636528338673,57.513191187445585,58.52636541887404,56.22116976639453,58.54689079256007,0.0,0.0,0.0,0.0,-45.31357180553641,1.0,0
13,2024-11-12 18:10:52.639285,7.040790354878225,5.096116561075295,58.41938224146219,57.52749550851592,58.419382366273155,56.30623039421313,58.43714650446527,0.0,0.0,0.0,0.0,-41.742881763866535,1.0,0
14,2024-11-12 18:11:05.629508,6.943796834566479,5.176590308916934,58.31930594763427,57.50154723456856,58.31930606692359,56.39123205862824,58.3356271441064,0.0,0.0,0.0,0.0,-39.89617173715487,1.0,0
15,2024-11-12 18:11:17.245478,6.851312862336099,5.252554505993993,58.22370363286469,57.47663545105879,58.22370374666944,56.471694107014855,58.238647398052635,0.0,0.0,0.0,0.0,-38.061865090526226,1.0,0
16,2024-11-12 18:11:30.459547,6.763306584904284,5.324041010264935,58.132545026137706,57.45275332086314,58.13254513449633,56.54764725827018,58.14617654819907,0.0,0.0,0.0,0.0,-36.24041670150291,1.0,0
17,2024-11-12 18:11:44.102187,6.679745050887248,5.391082767665107,58.04579874178391,57.429893897331155,58.04579884473613,56.619123365892136,58.058182745892736,0.0,0.0,0.0,0.0,-34.432249577207585,1.0,0
18,2024-11-12 18:11:57.712848,6.600594099733168,5.453713948547586,57.9634323187384,57.40804998873837,57.9634324163253,56.686155371207036,57.97463304460447,0.0,0.0,0.0,0.0,-32.63782438978069,1.0,0
19,2024-11-12 18:12:11.193348,6.525818230451212,5.511970052593256,57.88541209794489,57.3872141845314,57.88541219020915,56.7487774398094,57.89549328874779,0.0,0.0,0.0,0.0,-30.85767424408914,1.0,0
